state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Ahilyanagar,RENEW GREEN POWER,:,,karandepradip@gmail.com,7755953434,1334,4493,2026-02-08T11:35:43.020162
MAHARASHTRA,Ahilyanagar,JAYSHREE ENERGY SOLUTIONS,,,jayshreenergy@gmail.com,9075016488,763,2591,2026-02-08T11:35:44.749448
MAHARASHTRA,Ahilyanagar,VIJAKSHAY SAURURJA PVT LTD,,,saururja@gmail.com,8668779728,648,1970,2026-02-08T11:35:46.299016
MAHARASHTRA,Ahilyanagar,FLARES ENERGY LLP,:,,contact@flaressolar.com,7053335111,564,2244,2026-02-08T11:35:47.931357
MAHARASHTRA,Ahilyanagar,EXIDE POWER POINT,,,dhande@gmail.com,9881881616,463,1521,2026-02-08T11:35:49.646912
MAHARASHTRA,Ahilyanagar,SURYAKSH ENERGY,:,,energy@gmail.com,9145575020,438,1458,2026-02-08T11:35:51.192001
MAHARASHTRA,Ahilyanagar,SUNPOWER SOLAR EQUIPMENTS,,,sunpowerindiasolar@gmail.com,9422224646,308,1079,2026-02-08T11:35:52.664896
MAHARASHTRA,Ahilyanagar,PRATHAM MULTITECH PRIVATE LIMITED,,,prathammultitech@gmail.com,7447299999,291,1000,2026-02-08T11:35:54.485282
MAHARASHTRA,Ahilyanagar,MAULI POWER SERVICES,,,maulipowerservices59@gmail.com,9423455549,269,885,2026-02-08T11:35:56.087688
MAHARASHTRA,Ahilyanagar,VIVAN ENERGY,,,vivanenergy1@gmail.com,9850606234,265,877,2026-02-08T11:35:57.616347
MAHARASHTRA,Ahilyanagar,LUCKY ELECTRICAL AND SOLAR SOLUTION,,,pateladib171217@gmail.com,8796171217,262,821,2026-02-08T11:35:58.992535
MAHARASHTRA,Ahilyanagar,SUN POINT SOLAR SOLUTIONS,,,sunpointsolarsolutions@gmail.com,9527246999,261,908,2026-02-08T11:36:00.416929
MAHARASHTRA,Ahilyanagar,TEJAS ENTERPRISES SAROLA,,,tejassolarservices@gmail.com,6262919162,255,876,2026-02-08T11:36:02.160179
MAHARASHTRA,Ahilyanagar,SONKUL SOLAR PVT LTD,,,sonkulsolar47@gmail.com,9096079646,248,818,2026-02-08T11:36:03.626218
MAHARASHTRA,Ahilyanagar,MANISHA ENGINEERS & ERECTORS,,,shridattaelec@rediffmail.com,9850069080,241,796,2026-02-08T11:36:05.145778
MAHARASHTRA,Ahilyanagar,VAISHNAVI SOLAR,,,vaishnavisolar2012@gmail.com,9422984321,238,762,2026-02-08T11:36:06.837585
MAHARASHTRA,Ahilyanagar,KAMLESHWAR SOLAR ENERGY,,,kamleshwar@gmail.com,8888033311,226,785,2026-02-08T11:36:08.409227
MAHARASHTRA,Ahilyanagar,VARAD ENTERPRISES NAGAR,,,langhepravin@gmail.com,7020080315,212,699,2026-02-08T11:36:10.140381
MAHARASHTRA,Ahilyanagar,B.S. ENGINEERS,,,bsengineers@gmail.com,9975775375,206,674,2026-02-08T11:36:11.803021
MAHARASHTRA,Ahilyanagar,SHRIRAJ SOLAR EQUIPMENT,,,pradipsonawane1974@gmail.com,9850309115,195,671,2026-02-08T11:36:13.482721
MAHARASHTRA,Ahilyanagar,AMARDEEP SOLAR AND MULTISERVICES,,,Amardeepsolarsolutions@gmail.com,8766547106,194,644,2026-02-08T11:36:22.218496
