state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Ahilyanagar,RENEW GREEN POWER,:,,karandepradip@gmail.com,7755953434,1334,4493,2026-02-08T11:53:45.982094
MAHARASHTRA,Ahilyanagar,JAYSHREE ENERGY SOLUTIONS,,,jayshreenergy@gmail.com,9075016488,763,2591,2026-02-08T11:53:47.411686
MAHARASHTRA,Ahilyanagar,VIJAKSHAY SAURURJA PVT LTD,,,saururja@gmail.com,8668779728,648,1970,2026-02-08T11:53:48.969393
MAHARASHTRA,Ahilyanagar,FLARES ENERGY LLP,:,,contact@flaressolar.com,7053335111,564,2244,2026-02-08T11:53:50.634065
MAHARASHTRA,Ahilyanagar,EXIDE POWER POINT,,,dhande@gmail.com,9881881616,463,1521,2026-02-08T11:53:52.187906
MAHARASHTRA,Ahilyanagar,SURYAKSH ENERGY,:,,energy@gmail.com,9145575020,438,1458,2026-02-08T11:53:53.575246
MAHARASHTRA,Ahilyanagar,SUNPOWER SOLAR EQUIPMENTS,,,sunpowerindiasolar@gmail.com,9422224646,308,1079,2026-02-08T11:53:55.086303
MAHARASHTRA,Ahilyanagar,PRATHAM MULTITECH PRIVATE LIMITED,,,prathammultitech@gmail.com,7447299999,291,1000,2026-02-08T11:53:56.575504
MAHARASHTRA,Ahilyanagar,MAULI POWER SERVICES,,,maulipowerservices59@gmail.com,9423455549,269,885,2026-02-08T11:53:58.245667
MAHARASHTRA,Ahilyanagar,VIVAN ENERGY,,,vivanenergy1@gmail.com,9850606234,265,877,2026-02-08T11:53:59.843441
MAHARASHTRA,Ahilyanagar,LUCKY ELECTRICAL AND SOLAR SOLUTION,,,pateladib171217@gmail.com,8796171217,262,821,2026-02-08T11:54:01.289190
MAHARASHTRA,Ahilyanagar,SUN POINT SOLAR SOLUTIONS,,,sunpointsolarsolutions@gmail.com,9527246999,261,908,2026-02-08T11:54:02.802774
MAHARASHTRA,Ahilyanagar,TEJAS ENTERPRISES SAROLA,,,tejassolarservices@gmail.com,6262919162,255,876,2026-02-08T11:54:04.205631
MAHARASHTRA,Ahilyanagar,SONKUL SOLAR PVT LTD,,,sonkulsolar47@gmail.com,9096079646,248,818,2026-02-08T11:54:05.818676
MAHARASHTRA,Ahilyanagar,MANISHA ENGINEERS & ERECTORS,,,shridattaelec@rediffmail.com,9850069080,241,796,2026-02-08T11:54:07.553003
MAHARASHTRA,Ahilyanagar,VAISHNAVI SOLAR,,,vaishnavisolar2012@gmail.com,9422984321,238,762,2026-02-08T11:54:09.172950
