state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Akola,GREEN SUN SOLAR,:,,greensunsolar17@gmail.com,9922175081,1169,4273,2026-02-08T11:59:07.886120
MAHARASHTRA,Akola,"SUNSHINE ENGINEERING, AKOLA",,,solarengineering@yahoo.com,7972801871,684,2494,2026-02-08T11:59:09.252966
MAHARASHTRA,Akola,SOLARFUEL,:,,aksolarfuel@gmail.com,9822107032,424,1491,2026-02-08T11:59:10.977721
MAHARASHTRA,Akola,SHREE BALAJI ELECTRICALS AKOLA,,,AkhileshShelke21@gmail.com,7721002100,390,1446,2026-02-08T11:59:12.590774
MAHARASHTRA,Akola,CHANDAK SOLAR,,,CHANDAKSYSTEMSMZR@GMAIL.COM,8626065107,352,1238,2026-02-08T11:59:13.893355
MAHARASHTRA,Akola,SUNSEED RENEWABLES,,,nileshdhani@gmail.com,8788626123,330,1212,2026-02-08T11:59:15.270083
MAHARASHTRA,Akola,SPANDAN ELECTRICALS,,,amitwankhade03@gmail.com,8805243272,274,1011,2026-02-08T11:59:16.955208
MAHARASHTRA,Akola,KRAFTING FUTURE BRICKS,:,,kfb@gmail.com,9028370007,270,1216,2026-02-08T11:59:18.238290
MAHARASHTRA,Akola,ORAX LED AND SOLAR POWER SOLUTIONS,,,info@oraxsolar.com,9422921481,219,831,2026-02-08T11:59:19.734005
MAHARASHTRA,Akola,MORE ELECTRICAL AND POWER SOLUTIONS,,,moreelectrical@gmail.com,9623789374,193,714,2026-02-08T11:59:21.179726
MAHARASHTRA,Akola,BAJAJ SOLAR SOLUTIONS,,,bajajsolarsolutions1188@gmail.com,8308401188,187,654,2026-02-08T11:59:22.778875
MAHARASHTRA,Akola,GALAXY SOLAR POWER,,,1@gmail.com,7387741631,183,641,2026-02-08T11:59:24.356626
MAHARASHTRA,Akola,SUNRASHTRA,,,sunrashtrasolar@gmail.com,9067574054,176,640,2026-02-08T11:59:26.047018
MAHARASHTRA,Akola,SUN POWER SERVICES,,,gdsps76@gmail.com,9422861526,175,663,2026-02-08T11:59:27.637650
MAHARASHTRA,Akola,ORACLE ENGINEERING SERVICES,,,oracleenggservices@gmail.com,9326446565,173,634,2026-02-08T11:59:29.076539
MAHARASHTRA,Akola,ECO ACTIVE ENERGY SOLUTIONS,,,ecoactivesolar@gmail.com,9049973330,173,616,2026-02-08T11:59:30.570436
MAHARASHTRA,Akola,SHREE WIKRTAN SOLAR,,,solarwikrtan@gmail.com,7822996281,169,617,2026-02-08T11:59:32.216460
MAHARASHTRA,Akola,VISHWAPRABHA POWER SOLUTION,,,vishwaprabhaps@gmail.com,9890574426,152,538,2026-02-08T11:59:33.625690
MAHARASHTRA,Akola,SHUBH ENTERPRISES,,,shubhenterprisesakola@gmail.com,9422893160,148,560,2026-02-08T11:59:35.314880
MAHARASHTRA,Akola,PATIRA ENGINEERING CORPORATION,,,patiraenergy@gmail.com,9271617770,140,526,2026-02-08T11:59:36.707037
MAHARASHTRA,Akola,SKIPPER ENGINEERS,,,skiptrans@gmail.com,9689909144,132,475,2026-02-08T11:59:45.969177
MAHARASHTRA,Akola,THE SOLAR WORLD,,,thesolarworld101@gmail.com,8788711543,131,546,2026-02-08T11:59:47.502635
MAHARASHTRA,Akola,SAMARTH SOLAR AND SYSTEM,,,vijaynawale66@gmail.com,9850818760,131,460,2026-02-08T11:59:49.016212
MAHARASHTRA,Akola,SURYA SOLAR,,,suryasolar1990@gmail.com,9922424433,126,464,2026-02-08T11:59:50.483163
MAHARASHTRA,Akola,A R ENGINEERING,,,ar19engineering@gmail.com,7420931351,126,458,2026-02-08T11:59:52.145141
MAHARASHTRA,Akola,ACE SOLAR ENTERPRISES,,,szatale14@gmail.com,9511722458,121,398,2026-02-08T11:59:53.470511
MAHARASHTRA,Akola,TULSI ENTERPRISES,:,,vjeswani76@gmail.com,9028828787,117,391,2026-02-08T11:59:55.178066
MAHARASHTRA,Akola,OJASWI TECH SERVICES,,,devangshah104@gmail.com,8407999740,117,515,2026-02-08T11:59:56.641751
MAHARASHTRA,Akola,POWERGISE SOLAR ENGINEERING LLP,,,powergisesolar@gmail.com,9960736959,115,437,2026-02-08T11:59:58.309313
MAHARASHTRA,Akola,POOJA CORPORATION,,,poojacorporation87@gmail.com,9623813139,112,416,2026-02-08T11:59:59.841630
MAHARASHTRA,Akola,AARADHYA ELECTRICALS,,,aaradhyaelectricalsakot@gmail.com,8624022444,110,368,2026-02-08T12:00:01.200315
MAHARASHTRA,Akola,WANKHADE ELECTRICAL AND MATERIAL SUPPLIERS,,,wnupoor@gmail.com,9822171751,108,349,2026-02-08T12:00:02.686764
MAHARASHTRA,Akola,SHIVKRUPA SOLAR SYSTEM,,,ashubham149@gmail.com,9545119388,106,382,2026-02-08T12:00:04.085251
MAHARASHTRA,Akola,N M TRADERS,,,nmtraders1531@gmail.com,7499793869,106,354,2026-02-08T12:00:05.576778
MAHARASHTRA,Akola,GLOBALSUN POWER TECHNOLOGIES PVT LTD,:,,globalsunpt@gmail.com,9860951695,104,385,2026-02-08T12:00:07.014501
MAHARASHTRA,Akola,SRS SOLAR ENERGY,,,rachanaawalwar44@gmail.com,9423466691,103,357,2026-02-08T12:00:08.520288
MAHARASHTRA,Akola,SOLARARK PROJECTS PVT.LTD,,,projectssolarark@gmail.com,9511817358,103,366,2026-02-08T12:00:10.101474
MAHARASHTRA,Akola,PRABHAT SOLAR,,,prabhatsolarservices@gmail.com,9356161040,103,356,2026-02-08T12:00:11.758042
MAHARASHTRA,Akola,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,103,357,2026-02-08T12:00:13.440548
MAHARASHTRA,Akola,"MVA ENGINEERS, AKOLA",,,mvaengineers2017@gmail.com,9689909501,94,333,2026-02-08T12:00:15.065260
MAHARASHTRA,Akola,ASP SOLAR AND ELECTRICAL,,,anantarawankar@gmail.com,8080607112,92,315,2026-02-08T12:00:24.191957
MAHARASHTRA,Akola,PVN ELECTRICALS,,,pvncontractor@gmail.com,7721087068,91,324,2026-02-08T12:00:25.665332
MAHARASHTRA,Akola,SAIBALAJI ELECTRICAL,,,ingale100@gmail.com,9096942185,85,315,2026-02-08T12:00:27.230255
MAHARASHTRA,Akola,SOLAR MART ENTERPRISES,,,solarmart@gmail.com,8149115510,82,291,2026-02-08T12:00:28.775181
MAHARASHTRA,Akola,ORBIT ENGINEERING COMPANY,,,orbitenggsolar@gmail.com,9764465555,80,287,2026-02-08T12:00:30.121235
MAHARASHTRA,Akola,SUN ENERGY ENTERPRISES,,,mmchincholkar@gmail.com,8605165869,79,303,2026-02-08T12:00:31.564046
MAHARASHTRA,Akola,SHUBHAM ELECTRICALS,,,vijayd9422@gmail.com,9763592054,78,278,2026-02-08T12:00:33.205075
MAHARASHTRA,Akola,SHRI KRUPA SALES,,,shrikrupa25@gmail.com,9922951452,78,266,2026-02-08T12:00:34.889202
