state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Amravati,GREEN ENERGY SOLAR SERVICES,,,dharmale2000@gmail.com,9970449897,1403,4882,2026-02-08T12:03:50.275424
MAHARASHTRA,Amravati,S E SOLUTIONS AMRAVATI,,,sesolutionindia@gmail.com,9049672123,814,2860,2026-02-08T12:03:51.567321
MAHARASHTRA,Amravati,SOLARARK PROJECTS PVT.LTD,,,projectssolarark@gmail.com,9511817358,806,2850,2026-02-08T12:03:52.571112
MAHARASHTRA,Amravati,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,741,2638,2026-02-08T12:03:53.711556
MAHARASHTRA,Amravati,ATUL SALES AND SERVICES AMRAVATI,,,atulgindian@gmail.com,9420274175,726,2550,2026-02-08T12:03:55.093657
MAHARASHTRA,Amravati,GALAXY SOLAR POWER,,,1@gmail.com,7387741631,677,2381,2026-02-08T12:03:56.423426
MAHARASHTRA,Amravati,CLOCKHOOKS SERVICES PRIVATE LIMITED,,,clockhooks@gmail.com,7020734133,601,2225,2026-02-08T12:03:57.473232
MAHARASHTRA,Amravati,CHAKRADHAR ENERGY PRIVATE LIMITED,,,abhishek17@gmail.com,7058391131,558,1977,2026-02-08T12:03:58.750291
MAHARASHTRA,Amravati,DISHA SOLAR ENERGY PRIVATE LIMITED,,,dishasolarenergy2017@gmail.com,9420537904,549,1828,2026-02-08T12:04:00.375073
MAHARASHTRA,Amravati,RUP RAM ENERGIES PVT LTD,,,ashishpete2010@gmail.com,9420487116,483,1711,2026-02-08T12:04:01.367263
MAHARASHTRA,Amravati,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,482,1812,2026-02-08T12:04:03.105213
MAHARASHTRA,Amravati,LIGHT HOUSE,,,lighthouses@gmail.com,9890500413,476,1702,2026-02-08T12:04:04.148798
MAHARASHTRA,Amravati,DSP BROTHERS ELECTRICAL & CONTRACTOR,,,bhopleab1@gmail.com,9890938247,432,1652,2026-02-08T12:04:05.342725
MAHARASHTRA,Amravati,SAKSHI ENTERPRISES,,,shubhamvk29@gmail.com,8149715106,430,1505,2026-02-08T12:04:06.300152
MAHARASHTRA,Amravati,JAIN ENGINEERING SERVICE,,,jain5156@gmail.com,9309820549,423,1433,2026-02-08T12:04:07.905701
MAHARASHTRA,Amravati,INFINITY POWER SOLUTION,,,infinitypowersolution89@gmail.com,7888231444,409,1442,2026-02-08T12:04:09.504238
MAHARASHTRA,Amravati,GD SOLAR POWER,,,gdsolarpower1626@gmail.com,9075251984,387,1292,2026-02-08T12:04:11.126787
MAHARASHTRA,Amravati,NSOLAR ROOF PVT LTD AMRAVATI,,,nsolaramt@gmail.com,9370153322,363,1265,2026-02-08T12:04:12.544934
MAHARASHTRA,Amravati,GEETA SOLAR POWER PVT. LTD.,:,,solargeeta@gmail.com,9529813042,353,1474,2026-02-08T12:04:14.087177
MAHARASHTRA,Amravati,SUNLIGHT SOLAR,:,,sunlightsolarmh27@gmail.com,9420920999,335,1217,2026-02-08T12:04:15.378457
MAHARASHTRA,Amravati,SES SOLAR NETWORKS,,,heemantsonar27@gmail.com,9511686758,329,1203,2026-02-08T12:04:24.028803
MAHARASHTRA,Amravati,SHRI HARI POWER SOLUTION,,,shpsenergy@gmail.com,8888033099,308,1142,2026-02-08T12:04:25.390603
MAHARASHTRA,Amravati,KRUSHAKRAJ IRRIGATION SYSTEMS PVT LTD,,,krushakrajpvtltd@gmail.com,8412965909,306,1055,2026-02-08T12:04:27.127073
MAHARASHTRA,Amravati,MAULI SOLAR POWER SYSTEM,:,,maulisolar01@gmail.com,7722096633,302,1113,2026-02-08T12:04:28.701001
MAHARASHTRA,Amravati,TRISHA CONSULTANCY SERVICES,:,,amolmehare1234@gmail.com,9637540072,289,1025,2026-02-08T12:04:30.365577
MAHARASHTRA,Amravati,GROUND ZERO ENERGY SOLUTIONS,:,,omgbpt@groundzerosols.com,7020535401,288,1157,2026-02-08T12:04:31.945593
MAHARASHTRA,Amravati,GLOBAL TECHNOLOGIES,,,globalsalesamt@gmail.com,8390770470,284,977,2026-02-08T12:04:33.351418
MAHARASHTRA,Amravati,VAKRATUND ELECTRICALS & SOLAR SERVICES,:,,pratikyaul1994@gmail.com,7021847246,269,919,2026-02-08T12:04:35.010543
MAHARASHTRA,Amravati,KOMAL ENTERPRISES,,,komalenterprises4803@gmail.com,9834642705,267,978,2026-02-08T12:04:36.551962
MAHARASHTRA,Amravati,SEATCOS AKSHAY URJA SHOP,,,seatcosolar@gamil.com,9422914636,251,919,2026-02-08T12:04:38.063205
MAHARASHTRA,Amravati,SHINING LIGHT,,,care@shininglight.in,9822226342,247,821,2026-02-08T12:04:39.845678
MAHARASHTRA,Amravati,SAURSMIT SYSTEMS,,,systems@gmail.com,9405423381,243,907,2026-02-08T12:04:41.378809
MAHARASHTRA,Amravati,VAP SOLAR COMPANY,,,vapsolarcompany@gmail.com,8698419849,228,918,2026-02-08T12:04:42.936720
MAHARASHTRA,Amravati,SHRI SHYAM SOLAR SOLUTIONS,,,anurag07210@gmail.com,8788293730,225,771,2026-02-08T12:04:44.501640
MAHARASHTRA,Amravati,RAVIURJA ELECTRICAL AND ENTERPRISE,,,1@gmail.com,9822590585,220,805,2026-02-08T12:04:46.116199
MAHARASHTRA,Amravati,MAHALAXMI SOLAR SYSTEM,,,surajsinkar@gmail.com,9766966049,214,782,2026-02-08T12:04:47.543370
MAHARASHTRA,Amravati,M/S NIRA SOLAR,,,nirasolar2016@gmail.com,9503910426,214,700,2026-02-08T12:04:49.078694
MAHARASHTRA,Amravati,RAYON SOLAR ILLUMINATIONS PVT. LTD.,,,info@rayonsolar.co,8087511133,207,684,2026-02-08T12:04:50.501665
MAHARASHTRA,Amravati,MAULI SOLAR ENERGY PVT LTD,,,maulisolarenergy2021@gmail.com,9370401758,207,719,2026-02-08T12:04:52.136434
MAHARASHTRA,Amravati,FURIOUS GREEN TECH,,,furiousgreentech@gmail.com,7709428696,207,731,2026-02-08T12:04:53.645552
MAHARASHTRA,Amravati,NATURES NICE INFRACON,,,deotale@gmail.com,8788296561,204,765,2026-02-08T12:05:01.484714
MAHARASHTRA,Amravati,PRISTINE SOLAR & TECH,,,pristinesolartech@gmail.com,7030125720,199,650,2026-02-08T12:05:02.826177
MAHARASHTRA,Amravati,M/S MAULI SUSTAINABLE SOLAR SOLUTIONS,,,maulisolarsolutions01@gmail.com,9404076834,199,711,2026-02-08T12:05:04.384191
MAHARASHTRA,Amravati,M/S ADVIK SOLAR,,,kaleajinkya16@gmail.com,9420211635,192,647,2026-02-08T12:05:05.934072
MAHARASHTRA,Amravati,MAHATMA FULE WIREMAN INDUSTRIAL CO-OPERATIVE SOCIETY,,,mahatmafuleytl@gmail.com,7350736737,191,670,2026-02-08T12:05:07.397031
MAHARASHTRA,Amravati,SOLAR SKY,,,Solarsky2319@gmail.com,9011333152,187,655,2026-02-08T12:05:09.045137
MAHARASHTRA,Amravati,DEOTE SOLAR ENERGY SYSTEMS,:,,DEOTESOLARES@GMAIL.COM,7744988756,183,642,2026-02-08T12:05:10.533146
MAHARASHTRA,Amravati,PANKAJ SOLAR SYSTEM,,,solarsystempankaj@gmail.com,9850682209,182,605,2026-02-08T12:05:11.856957
MAHARASHTRA,Amravati,MAULI POWER SOLUTIONS PRAVITE LIMITED,,,maulipowersolutions2018@gmail.com,9595363745,180,605,2026-02-08T12:05:13.375561
MAHARASHTRA,Amravati,M/S WANGE SOLAR POWER SYSTEM,,,surajwange11@gmail.com,9545609015,179,636,2026-02-08T12:05:14.909111
MAHARASHTRA,Amravati,SIDHIVINAYAK TRADERS,,,pradeepagrawalamt@gmail.com,9823278075,169,566,2026-02-08T12:05:16.481577
MAHARASHTRA,Amravati,SUNSEED POWER INDIA PRIVATE LIMITED,,,project@gmail.com,7058851258,167,567,2026-02-08T12:05:18.006718
MAHARASHTRA,Amravati,M/S SASA SOLAR SERVICES,,,sasasolar1994@gmail.com,7722021193,159,537,2026-02-08T12:05:19.510403
MAHARASHTRA,Amravati,WORKGROUP SUSHIKSHIT BEROJGAR NAGRIK SEWA SAH,,,workgroup22@gmail.com,9021248681,157,583,2026-02-08T12:05:21.179257
MAHARASHTRA,Amravati,SARNIL SOLAR PVT LTD,,,sarnilsolar@gmail.com,9405586422,152,496,2026-02-08T12:05:22.704276
MAHARASHTRA,Amravati,USHAI GRUH UDYOG,,,ag@gmail.com,8999177451,148,578,2026-02-08T12:05:24.493417
MAHARASHTRA,Amravati,PRABHAT SOLAR,,,prabhatsolarservices@gmail.com,9356161040,136,466,2026-02-08T12:05:26.048292
MAHARASHTRA,Amravati,VIMAL MARKETING AND SERVICES,,,vimalmarketing2005@gmail.com,7798317480,127,429,2026-02-08T12:05:27.410642
MAHARASHTRA,Amravati,SHUBHAM ELECTRICAL AND ALLIED SERVICES,:,,seas@gmail.com,9767737794,125,541,2026-02-08T12:05:28.886149
MAHARASHTRA,Amravati,SUNRISE SOLAR PROJECTS,,,sunrisesolarprojects11@gmail.com,9209985863,124,413,2026-02-08T12:05:30.559068
MAHARASHTRA,Amravati,MAHA URJATE PVT LTD,,,pritimeghrajmorey@gmail.com,8668978927,118,469,2026-02-08T12:05:38.577567
MAHARASHTRA,Amravati,ROSHANI GREEN ENERGY,:,,roshanigreenenergy@gmail.com,9021050321,116,506,2026-02-08T12:05:40.164267
MAHARASHTRA,Amravati,"NILKANTH R.GHUSALIKAR, AMRAVATI",,,nilkanthghusalikar@gmail.com,9765001194,116,417,2026-02-08T12:05:41.646446
MAHARASHTRA,Amravati,SAMARTH SOLAR AND SYSTEM,,,vijaynawale66@gmail.com,9850818760,107,370,2026-02-08T12:05:43.176153
MAHARASHTRA,Amravati,ASHWA POWER TECH,,,powertech@gmail.com,9764335577,107,389,2026-02-08T12:05:44.521144
MAHARASHTRA,Amravati,PATHAK POWER APPLIANCES,,,bobyjaipathak@gmail.com,9975309068,99,334,2026-02-08T12:05:46.158957
MAHARASHTRA,Amravati,M/S SMARTCITY SOLAR BUSINESS,,,smartcitysolar24@gmail.com,9028853384,93,315,2026-02-08T12:05:47.829856
MAHARASHTRA,Amravati,BHARAT SUN SOLAR SOLUTION,,,bharatsolar2003@gmail.com,8669786421,93,322,2026-02-08T12:05:49.281397
MAHARASHTRA,Amravati,ACE ELECTRICAL CONTRACTOR AMRAVATI,,,acesolaramt@gmail.com,9326111354,92,341,2026-02-08T12:05:50.871494
MAHARASHTRA,Amravati,M/S DEVANSHI SOLAR ENERGY,,,devanshisolar2607@gmail.com,8329198118,87,322,2026-02-08T12:05:52.358041
MAHARASHTRA,Amravati,ORION ENTERPRISES,:,,orionstore@gmail.com,7020114917,86,304,2026-02-08T12:05:53.827068
MAHARASHTRA,Amravati,SUNLIGHT SOLARK,,,sunlightsolak22@gmail.com,7385838201,84,280,2026-02-08T12:05:55.331658
MAHARASHTRA,Amravati,JAGDAMB GREEN ENERGY SOLUTION,,,jges2024@rediffmail.com,8624039606,83,302,2026-02-08T12:05:56.857947
MAHARASHTRA,Amravati,ACE SOLAR ENTERPRISES,,,szatale14@gmail.com,9511722458,80,260,2026-02-08T12:05:58.207676
MAHARASHTRA,Amravati,G N TRADING AND SERVICES,,,operation123@gmail.com,7378776132,79,274,2026-02-08T12:05:59.686737
MAHARASHTRA,Amravati,SHREEJEE TRADERS & ENERGY SOLUTIONS,,,dammanidarshan@gmail.com,7020670386,78,261,2026-02-08T12:06:01.131747
MAHARASHTRA,Amravati,SHRAVASTI ELECTRICAL AND SOLAR WORKS,,,cmfule@gmail.com,9529313783,78,284,2026-02-08T12:06:02.689294
MAHARASHTRA,Amravati,SHRIRANG SOLAR,,,shrirangsolar@gmail.com,8600055287,75,246,2026-02-08T12:06:04.038514
MAHARASHTRA,Amravati,GREAT SOLAR SERVICES,,,greatsolarservices@gmail.com,8329885819,74,257,2026-02-08T12:06:05.826188
MAHARASHTRA,Amravati,NIRMIK SOLAR ENERGY SOLUTION,,,nirmiksolarenergysolution@gmail.com,9822213622,72,248,2026-02-08T12:06:07.452794
MAHARASHTRA,Amravati,VISALA INFRACON PVT LTD,,,unifysolarofficial@gmail.com,7558362973,71,260,2026-02-08T12:06:15.825488
MAHARASHTRA,Amravati,SOLAR EXPERT,,,solarexpertsales@gmail.com,9730355688,71,240,2026-02-08T12:06:17.447832
MAHARASHTRA,Amravati,M/S ECOGEN SOLAR AMRAVATI,,,dey@gmail.com,9422156123,70,255,2026-02-08T12:06:19.023966
