state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,BEED,MAULI SOLAR ELECTRICAL CONTRACTOR AND MATERIAL SUPPLIERS,:,,maulisolarelepl@gmail.com,8080707848,429,1602,2026-02-08T12:10:23.865100
MAHARASHTRA,BEED,SANJAY ENTERPRISES,,,sanjayenterprises1179@gmail.com,9403419685,422,1627,2026-02-08T12:10:25.353021
MAHARASHTRA,BEED,POWER CARE,:,,powercare777@gmail.com,9028777471,312,1207,2026-02-08T12:10:26.772762
MAHARASHTRA,BEED,DADA BAI AKKA POWER PRIVATE LIMITED,,,jivansanap9@gmail.com,7020424857,220,894,2026-02-08T12:10:28.209036
MAHARASHTRA,BEED,SAMARTH BATTERY POWER SOLUTION,:,,teslabattery@gmail.com,9420327244,217,881,2026-02-08T12:10:29.850143
MAHARASHTRA,BEED,SIDDHI SOLAR,,,unikkssolar@gmail.com,7020305042,211,866,2026-02-08T12:10:31.587817
MAHARASHTRA,BEED,PAVAN SOLAR & ELECTRICALS PVT.LTD.,,,23@gmail.com,9028373798,197,672,2026-02-08T12:10:33.107314
MAHARASHTRA,BEED,SYNC SUN ENERGY PVTLTD,,,syncsunenergy@gmail.com,9960553090,184,679,2026-02-08T12:10:34.544215
MAHARASHTRA,BEED,SHREE CONTRACTOR,,,shreecontractor8@gmail.com,7798537858,161,610,2026-02-08T12:10:35.978578
MAHARASHTRA,BEED,HALF CIRCLE SOLAR PVT LTD,:,,halfcirclesolar@gmail.com,7776808080,157,695,2026-02-08T12:10:37.401753
MAHARASHTRA,BEED,"MADHUR ENTERPRISES, LATUR",,,madhurenterpriseslatur@gmail.com,9511846310,151,553,2026-02-08T12:10:39.097627
MAHARASHTRA,BEED,SHITAL HITECH ENGINEERS,,,shitalhitechengineers@gmail.com,9405102333,145,487,2026-02-08T12:10:40.685661
MAHARASHTRA,BEED,PARIEKH BATTRIES AND SOLAR,,,pariekhsolar@gmail.com,9421894545,144,566,2026-02-08T12:10:42.389396
MAHARASHTRA,BEED,PRABHATKIRAN SAUR URJA PRIVATE LIMITED,,,psupl@prabhatkiranenergy.com,9518511944,138,538,2026-02-08T12:10:43.911601
MAHARASHTRA,BEED,MANTRI SOLAR AMBEJOGAI,,,mantrisolarltr@gmail.com,9422931979,126,430,2026-02-08T12:10:45.538960
MAHARASHTRA,BEED,SONAL ENTERPRISES,,,pariekhent@gmail.com,8329255171,105,444,2026-02-08T12:10:47.230130
MAHARASHTRA,BEED,EKOTECH ENTERPRISES,,,ekotechenterprises@gmail.com,8975707571,101,425,2026-02-08T12:10:48.889582
MAHARASHTRA,BEED,SP ENTERPRISES,,,spsolar77@gmail.com,9527497649,94,324,2026-02-08T12:10:50.309731
MAHARASHTRA,BEED,BHAKTI SOLAR SOLUTIONS,,,bhaktioffice2022@gmail.com,7057939333,86,307,2026-02-08T12:10:51.960566
MAHARASHTRA,BEED,PANDURANG SOLAR AND MULTI SERVISES,,,vivekbargaje87@gmail.com,9604255417,81,286,2026-02-08T12:10:53.693526
MAHARASHTRA,BEED,SANGAI ENGINEERS,,,sangaiengineers@gmail.com,8605136464,78,296,2026-02-08T12:11:03.268629
MAHARASHTRA,BEED,OSCILLATION ENERGY LLP,,,oscillationenergy@gmail.com,8329840186,76,255,2026-02-08T12:11:04.885453
MAHARASHTRA,BEED,SUMAN ENTERPRISES,,,anildgarad@gmail.com,7020089641,63,213,2026-02-08T12:11:06.330588
MAHARASHTRA,BEED,HI TECH SOLAR,,,rautanil456@gmail.com,9637906852,62,255,2026-02-08T12:11:07.743428
MAHARASHTRA,BEED,UNIKKS SOLAR,,,unikkssolar@outlook.com,8446008008,61,233,2026-02-08T12:11:09.028396
MAHARASHTRA,BEED,THE ESCORT WATER SOLUTIONS,,,patilaquaguard@gmail.com,9405815858,61,239,2026-02-08T12:11:10.671275
MAHARASHTRA,BEED,SAUNDANPURI ELECTRICAL AND SERVICES,,,Chavanlaxaman76@gmail.com,9657656259,58,199,2026-02-08T12:11:12.297770
MAHARASHTRA,BEED,PROLIFIC ENERGY SYSTEMS & CONSULTANTS,,,prolificenergies@gmail.com,9156794777,51,179,2026-02-08T12:11:13.766482
MAHARASHTRA,BEED,TIRUPATI SOLAR ENERGY AND SOLUTIONS,:,,tirupatisolar2020@gmail.com,8446707441,50,199,2026-02-08T12:11:15.228316
MAHARASHTRA,BEED,NAVJEEVAN AGENCIES,,,dhanraj930@yahoo.com,9422242326,49,209,2026-02-08T12:11:16.881648
MAHARASHTRA,BEED,GARAKAS PRIVATE LIMITED,,,garakas94@gmail.com,9923903909,49,160,2026-02-08T12:11:18.545658
MAHARASHTRA,BEED,SANSKRUTI ELECTRICALS AND POWER,,,sanskrutieep@gmail.com,8275848392,45,176,2026-02-08T12:11:20.189676
MAHARASHTRA,BEED,VIDDYUTSAGAR SUSHIKSHIT BEROJGAR KAMGAR SEVA SAHAKARI,,,vidyutsagar93@gmail.com,9975344300,43,157,2026-02-08T12:11:21.824267
MAHARASHTRA,BEED,SHIVRAJ BATTERIES,,,jagdishdeshmukhdesai@gmail.com,9270374226,43,167,2026-02-08T12:11:23.458965
MAHARASHTRA,BEED,PUSHNA SOLUTIONS LLP,,,anup@pushnasolutions.com,7977066630,43,158,2026-02-08T12:11:24.912399
MAHARASHTRA,BEED,PRITAM ENTERPRISES,:,,pritamenterprises07@gmail.com,8080014848,40,146,2026-02-08T12:11:26.282792
MAHARASHTRA,BEED,GRIFFON ELECTRICALS PVT LTD,,,griffonelectricals@outlook.com,9403239994,38,134,2026-02-08T12:11:27.638007
MAHARASHTRA,BEED,SARVADNYA SOLAR INNOVATION AND GLOBAL SERVICES PVT LTD,:,,msedcl@sarvadnyasolar.com,8788214836,35,137,2026-02-08T12:11:29.167829
MAHARASHTRA,BEED,AARAV SALES AND SERVICE,,,service@gmail.com,9595665555,34,126,2026-02-08T12:11:30.951884
MAHARASHTRA,BEED,MAHALXMI SOLAR SERVICES,,,ddsanap5@gmail.com,8390313231,33,139,2026-02-08T12:11:32.466661
