state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,BULDHANA,SUNJIVAN KHAMGAON,,,vspowercontrol@gmail.com,9822211665,786,2650,2026-02-08T12:13:52.919412
MAHARASHTRA,BULDHANA,OM ENTERPRISES,:,,SWAPNIL221288@GMAIL.COM,8554050808,674,2451,2026-02-08T12:13:54.229379
MAHARASHTRA,BULDHANA,SHIVKRUPA SOLAR SYSTEM,,,ashubham149@gmail.com,9545119388,510,1816,2026-02-08T12:13:55.588840
MAHARASHTRA,BULDHANA,SADGURU KRUPA SOLAR SHOPEE,,,sadgurusolar9527@gmail.com,9834220329,349,1192,2026-02-08T12:13:57.183133
MAHARASHTRA,BULDHANA,SHRI RAJURESHWAR SOLAR ENERGY,,,srse7135@gmail.com,9607565409,338,1213,2026-02-08T12:13:58.705801
MAHARASHTRA,BULDHANA,UDYOGVEL TRADING CORPORATION,,,udyogvel@gmail.com,8411855755,310,1090,2026-02-08T12:14:00.394989
MAHARASHTRA,BULDHANA,TMS SOLAR ENERGY LLP,,,solartms7@gmail.com,9850861281,282,957,2026-02-08T12:14:01.888914
MAHARASHTRA,BULDHANA,BHAGIRATHI AND SONS ENTERPRISES,,,sushilbonde007@gmail.com,9860061589,274,889,2026-02-08T12:14:03.607936
MAHARASHTRA,BULDHANA,SHREE SOLAR VENTURES,,,sunlipatil6171@gmail.com,7891067809,254,855,2026-02-08T12:14:05.211246
MAHARASHTRA,BULDHANA,AQUA DYNAMIC SOLUTION,,,aquadynamic2@gmail.com,9890359510,241,865,2026-02-08T12:14:06.685467
MAHARASHTRA,BULDHANA,ANAY SOLAR SOLUTION,,,anaysolarsolution@gmail.com,9860480090,238,787,2026-02-08T12:14:08.401034
MAHARASHTRA,BULDHANA,JAIN AGENCIES BULDHANA,,,priteshsancheti9@gmail.com,9175544644,221,790,2026-02-08T12:14:09.842279
MAHARASHTRA,BULDHANA,ADINATH INFOTECH,,,vjoshi998@gmail.com,9689583832,202,670,2026-02-08T12:14:11.512616
MAHARASHTRA,BULDHANA,CHIRAYU POWER PVT LTD,,,karan@chirayupower.com,8888383033,195,745,2026-02-08T12:14:13.009438
MAHARASHTRA,BULDHANA,RIDDHI ELECTRICALS,,,vvtelharkar1@gmail.com,9270345100,193,703,2026-02-08T12:14:14.697796
MAHARASHTRA,BULDHANA,M. J. ELECTROTECH ENGINEERING SERVICES,,,mjelectrotech@gmail.com,9021271747,188,643,2026-02-08T12:14:16.091708
MAHARASHTRA,BULDHANA,CLOCKHOOKS SERVICES PRIVATE LIMITED,,,clockhooks@gmail.com,7020734133,186,667,2026-02-08T12:14:17.409483
MAHARASHTRA,BULDHANA,KGN SOLAR,,,kgnsolars@gmail.com,8484912927,181,723,2026-02-08T12:14:19.037019
MAHARASHTRA,BULDHANA,SHREE GAJANAN MULTISERVICES,,,santgajananms@gmail.com,8669494866,178,601,2026-02-08T12:14:20.383337
MAHARASHTRA,BULDHANA,MAHALAXMI TRADERS,,,manojmal71@gmail.com,9423445974,177,649,2026-02-08T12:14:21.976535
MAHARASHTRA,BULDHANA,KANTHAK SOLAR ENERGY PVT LTD,,,mramolsirsat@gmail.com,9420183136,176,603,2026-02-08T12:14:30.858751
MAHARASHTRA,BULDHANA,PARAS SOLAR AND SUPER MARKET,,,shhahmayur@gmail.com,7741009109,166,561,2026-02-08T12:14:32.320406
MAHARASHTRA,BULDHANA,SWARAJ TECHNOLOGIES KHAMGAON,,,swarajtechnologies22@gmail.com,7020817711,165,555,2026-02-08T12:14:34.045548
MAHARASHTRA,BULDHANA,TEJASWINI ENTERPRISES,,,007@gmail.com,7796819333,163,551,2026-02-08T12:14:35.524424
MAHARASHTRA,BULDHANA,E.W ELECTRICAL AND SOLAR SERVICES,,,falkesuraj53@gmail.com,7387396170,157,586,2026-02-08T12:14:37.051650
MAHARASHTRA,BULDHANA,S B PATIL BULDHANA,,,sbpatilbuldhana@gmail.com,7218013101,147,490,2026-02-08T12:14:38.432070
MAHARASHTRA,BULDHANA,TULJAI TRADERS MEHKAR,,,grouptuljai@gmail.com,7785851717,138,463,2026-02-08T12:14:40.094158
MAHARASHTRA,BULDHANA,SWAYAM ENTERPRISES,,,swayamenterprises1313@gmail.com,9284537377,135,457,2026-02-08T12:14:41.370462
MAHARASHTRA,BULDHANA,GOLDEN ENTERPRISES,,,goldenentpajispur@gmail.com,9764107600,124,435,2026-02-08T12:14:42.767837
MAHARASHTRA,BULDHANA,SHIVKRUPA ELECTRONICS,,,electronics90@gmail.com,9850329755,123,426,2026-02-08T12:14:44.152771
MAHARASHTRA,BULDHANA,DIPAK AGENCIES,:,,dipakagencies@gmail.com,9890486076,121,404,2026-02-08T12:14:45.666431
MAHARASHTRA,BULDHANA,SHRAVANI SOLAR SYSTEM,,,shravanisolarsystem54@gmail.com,9850559598,118,409,2026-02-08T12:14:47.107272
MAHARASHTRA,BULDHANA,KANTHAK ENETERPRISES,,,inglekishor03@gmail.com,8788373561,115,395,2026-02-08T12:14:48.689149
MAHARASHTRA,BULDHANA,SHREE ENERGY SERVICE,,,shreeenergyservice@gmail.com,7875799178,112,381,2026-02-08T12:14:50.170187
MAHARASHTRA,BULDHANA,UNIQUESOLAR,,,uniquesolarofficial@gmail.com,9673846530,109,368,2026-02-08T12:14:51.571575
MAHARASHTRA,BULDHANA,NILAKSHI ELECTRICAL SERVICES,,,saurabhvidhate77@gmail.com,7038618220,109,367,2026-02-08T12:14:53.345678
MAHARASHTRA,BULDHANA,SDS SOLAR ENTERPRISES,,,sdsledcorporation@gmail.com,9890699784,106,354,2026-02-08T12:14:54.895756
MAHARASHTRA,BULDHANA,INFINITY SOLAR ENERGY,,,amolssuroshe@gmail.com,9730668265,106,380,2026-02-08T12:14:56.463146
MAHARASHTRA,BULDHANA,GO GREEN ENERGY SOLUTIONS,,,rajunagolkar@gmail.com,9890056924,105,364,2026-02-08T12:14:57.919594
MAHARASHTRA,BULDHANA,ANUSHREE ELECTRICAL AND POWER SOLUTIONS,,,gawandedipak851@gmail.com,8530813101,104,354,2026-02-08T12:14:59.507007
MAHARASHTRA,BULDHANA,GURUKRUPA SALES,,,yogeshjaware74@gmail.com,7755846655,100,340,2026-02-08T12:15:08.871658
MAHARASHTRA,BULDHANA,JAYNAKSH ENTERPRISES,,,poonamthakkar016@gmail.com,7020200028,99,355,2026-02-08T12:15:10.197570
MAHARASHTRA,BULDHANA,SHARDAI ENERGY,,,gaikwadnilu64@gmail.com,8308684387,98,336,2026-02-08T12:15:11.966235
MAHARASHTRA,BULDHANA,NIKHIL BATTERIES AND TRADELINK,,,nbandt@yahoo.com,9689789007,98,333,2026-02-08T12:15:13.480683
MAHARASHTRA,BULDHANA,KAKI INDUSTRIES PVT LTD,,,aslamquadri11@gmail.com,9595995626,92,302,2026-02-08T12:15:15.135271
MAHARASHTRA,BULDHANA,SHREE ENTERPRISES BULDHANA,,,jadhaokunal22@gmail.com,7038867568,91,320,2026-02-08T12:15:16.590603
MAHARASHTRA,BULDHANA,DINKARRAO ELECTRICAL,,,dinkarraoelectrical@gmail.com,9420435354,90,326,2026-02-08T12:15:18.045833
MAHARASHTRA,BULDHANA,ASHOK ELECTRICALS AND CONSULTANCY,,,ashokelectricals2k18@gmail.com,9422880499,88,304,2026-02-08T12:15:19.582965
MAHARASHTRA,BULDHANA,SIMPLEX POWER SOLUTIONS,,,rambugdane@gmail.com,9075457788,80,282,2026-02-08T12:15:21.052790
MAHARASHTRA,BULDHANA,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,76,278,2026-02-08T12:15:22.579441
MAHARASHTRA,BULDHANA,NOBEL ENGINEERING AND SOLAR TECHNOLOGY PVT. LTD.,,,nestpvtltd210@gmail.com,9422181008,75,276,2026-02-08T12:15:24.160149
MAHARASHTRA,BULDHANA,ISHWARI ELECTRICAL AND POWER SERVICES,,,ishwarielectrical@gmail.com,7875249433,72,254,2026-02-08T12:15:25.889072
MAHARASHTRA,BULDHANA,SIDDHIVINAYAK SOLAR AND SOLUTION,,,sankalpchandak@gmail.com,9604263232,71,313,2026-02-08T12:15:27.328865
MAHARASHTRA,BULDHANA,D M ELECTRICAL AND CONT BULDHANA,,,dipaksinghrajendrasinghpatil@gmail.com,9579415409,71,251,2026-02-08T12:15:28.763589
MAHARASHTRA,BULDHANA,SOMESHWAR ELECTRICAL N CONTRACTOR,:,,someshwarelectrical@gmail.com,8668895227,70,259,2026-02-08T12:15:30.523277
MAHARASHTRA,BULDHANA,RIDAM ELECTRICALS BULDHANA,,,narkhede312@gmail.com,9604095645,69,233,2026-02-08T12:15:31.866745
MAHARASHTRA,BULDHANA,JAY HRUSHI TECHNICAL AND NON TECHNICAL SERVICES,:,,jayhrushi@gmail.com,9604335304,68,208,2026-02-08T12:15:33.225294
MAHARASHTRA,BULDHANA,SAOJI'S TOTAL SOLUTIONS,,,rohansaoji27@gmail.com,8983217383,67,248,2026-02-08T12:15:34.659027
MAHARASHTRA,BULDHANA,VISHWAPRABHA POWER SOLUTION,,,vishwaprabhaps@gmail.com,9890574426,66,233,2026-02-08T12:15:36.324906
MAHARASHTRA,BULDHANA,ARCTEK POWER,,,arctekpower@gmail.com,9890306608,65,226,2026-02-08T12:15:37.862077
MAHARASHTRA,BULDHANA,R K SOLAR SYSTEMS,:,,rohitdok@rksolarsystem.com,9923474622,64,236,2026-02-08T12:15:45.808587
MAHARASHTRA,BULDHANA,S B ELECTRICAL SOLUTIONS,,,sbelectricalsolutions1993@gmail.com,9960168385,63,223,2026-02-08T12:15:47.400309
MAHARASHTRA,BULDHANA,"SUNSHINE ENGINEERING, AKOLA",,,solarengineering@yahoo.com,7972801871,62,218,2026-02-08T12:15:48.903972
MAHARASHTRA,BULDHANA,SHREE ENTERPRISES & SOLAR SOLUTION,,,shreesolar2025@gmail.com,9607585354,61,205,2026-02-08T12:15:50.280656
MAHARASHTRA,BULDHANA,SHANTI ENTERPRISES LONAR,,,vitthalgharod64@gmail.com,9850072823,61,206,2026-02-08T12:15:51.893483
MAHARASHTRA,BULDHANA,S E SOLUTIONS AMRAVATI,,,sesolutionindia@gmail.com,9049672123,59,204,2026-02-08T12:15:53.582450
MAHARASHTRA,BULDHANA,NANDAN ELECTRICAL,,,nandanelectricals@gmail.com,7887334108,58,204,2026-02-08T12:15:55.028720
MAHARASHTRA,BULDHANA,SGST,,,sgst@gmail.com,9373085900,57,212,2026-02-08T12:15:56.526570
MAHARASHTRA,BULDHANA,TESLA ELECTRICAL CORPORATION,,,durgeshjadhao@gmail.com,9404508111,56,189,2026-02-08T12:15:58.013411
MAHARASHTRA,BULDHANA,TANMAY TRADERS,,,tanmaytraders18@gmail.com,8265049784,54,191,2026-02-08T12:15:59.466211
MAHARASHTRA,BULDHANA,SUNSHINE SOLAR SYSTEM,,,sunshinesolarsystem2001@gmail.com,9604601777,54,193,2026-02-08T12:16:00.958733
MAHARASHTRA,BULDHANA,PAWAR SOLAR ENTERPRISES,,,pawarsolarenterprise@gmail.com,8208982575,54,181,2026-02-08T12:16:02.521895
MAHARASHTRA,BULDHANA,AGRAWAL TRADERS,,,nilesh3@gmail.com,9146047825,53,195,2026-02-08T12:16:04.109369
MAHARASHTRA,BULDHANA,SHIVASHA TRADING COMPANY,,,shivashasolar@gmail.com,9146614141,52,178,2026-02-08T12:16:05.595340
MAHARASHTRA,BULDHANA,SUNSHINE SOLAR AURANGABAD,,,sunshinesolar222@gmail.com,9404483824,51,188,2026-02-08T12:16:07.119625
MAHARASHTRA,BULDHANA,ADHIRAJ AGRO AND SOLAR SERVICES,,,adhirajagroandsolar@gmail.com,9588664743,50,172,2026-02-08T12:16:08.767033
MAHARASHTRA,BULDHANA,SRIRAM SOLAR ENERGY,,,sriramsolarenergy@gmail.com,9423928723,49,198,2026-02-08T12:16:10.493463
MAHARASHTRA,BULDHANA,GREEN SUN SOLAR,:,,greensunsolar17@gmail.com,9922175081,48,164,2026-02-08T12:16:12.031750
MAHARASHTRA,BULDHANA,SWAYAM ENTERPRISES,,,kgnagroplastc47@gmail.com,9130849984,47,161,2026-02-08T12:16:13.601706
MAHARASHTRA,BULDHANA,RAJKANYA SOLAR ENERGY,,,rajkanyasolarenergy@gmail.com,9309892198,47,160,2026-02-08T12:16:15.289520
MAHARASHTRA,BULDHANA,ANUDEV AGENCIES,,,patiljayesh68@gmail.com,9021616112,47,166,2026-02-08T12:16:23.705523
MAHARASHTRA,BULDHANA,GS POWERTECH,,,gspowertech3@gmail.com,9527173271,45,149,2026-02-08T12:16:25.172079
MAHARASHTRA,BULDHANA,LGPS HYBRID ENERGY PVT. LTD.,,,lgpsenergy@gmail.com,8411859122,43,146,2026-02-08T12:16:26.466926
MAHARASHTRA,BULDHANA,UNITECH MULTISERVICES,,,multiservicesunitech@gmail.com,9689222610,41,123,2026-02-08T12:16:28.079127
MAHARASHTRA,BULDHANA,BHARAT POWER SOLAR,,,bharatpowersolaroffical@gmail.com,9561165318,40,138,2026-02-08T12:16:29.593078
MAHARASHTRA,BULDHANA,DWARKAI ELECTRICALS CORPORATION,,,vijaybudhwat@gmail.com,9823536374,38,136,2026-02-08T12:16:31.106235
MAHARASHTRA,BULDHANA,GURUKRUPA MULTISERVICES,,,gurukrupasolar2022@gmail.com,8390447673,37,127,2026-02-08T12:16:32.688286
MAHARASHTRA,BULDHANA,SUDARSHAN SAUR SHAKTI PVT LTD,,,spv@sudarshansaur.com,8805356262,36,122,2026-02-08T12:16:34.330165
MAHARASHTRA,BULDHANA,RASHMI ENTERPRISES,,,rashmisolarenergy@gmail.com,8855999227,36,139,2026-02-08T12:16:35.756131
MAHARASHTRA,BULDHANA,FINIX ENTERPRISES,,,jalgaon@gmail.com,9890378600,35,133,2026-02-08T12:16:37.321682
MAHARASHTRA,BULDHANA,SONARS SOLUTIONS AND SERVICES,,,solutions@gmail.com,8208402167,34,118,2026-02-08T12:16:38.783773
MAHARASHTRA,BULDHANA,SAMARTH GURU MAULI ELECTRICALS,,,sp3597171@gmail.com,7666195511,34,141,2026-02-08T12:16:40.214613
MAHARASHTRA,BULDHANA,GP AUTOMATION,,,automation21@gmail.com,9096797848,34,117,2026-02-08T12:16:41.954242
MAHARASHTRA,BULDHANA,VK SOLAR ENERGY,,,vksolarenergy1989@gmail.com,9657135476,32,105,2026-02-08T12:16:43.266450
MAHARASHTRA,BULDHANA,KARTIK SOLAR ENERGY,,,kartiksolarenergy25@gmail.com,9890716504,32,115,2026-02-08T12:16:44.926606
MAHARASHTRA,BULDHANA,KADAMS ENERGY,:,,kadamsenergy@gmail.com,8975464924,32,109,2026-02-08T12:16:46.650517
MAHARASHTRA,BULDHANA,SHRAVANI ELECTRICAL AND MULTISERVISES,,,mohan@gmail.com,8605192730,31,109,2026-02-08T12:16:48.284321
MAHARASHTRA,BULDHANA,LAVIT ELECTRICALS,,,abhishekvayase96@gmail.com,9405459077,31,109,2026-02-08T12:16:49.698688
MAHARASHTRA,BULDHANA,GALAXY SOLAR POWER,,,1@gmail.com,7387741631,31,110,2026-02-08T12:16:51.076258
MAHARASHTRA,BULDHANA,SOLCAP SOLAR POWER PRIVATE LIMITED,,,solcapsolar@gmail.com,8956103211,30,98,2026-02-08T12:16:52.683176
MAHARASHTRA,BULDHANA,SHELKAR ENTERPRISES,,,shelkarenterprises@gmail.com,9637719719,30,104,2026-02-08T12:17:00.430222
MAHARASHTRA,BULDHANA,GREEN IDEAS,,,lanjudkarparvati@gmail.com,7721801816,30,108,2026-02-08T12:17:01.908864
MAHARASHTRA,BULDHANA,AVIDOR INNOVATION PVT LTD,,,avidor@gmail.com,7058717200,30,114,2026-02-08T12:17:03.513334
MAHARASHTRA,BULDHANA,M/S DAKSH ELECTRICAL,,,dakshelectricals28@gmail.com,9822222153,29,97,2026-02-08T12:17:05.022084
MAHARASHTRA,BULDHANA,BAJAJ ENTERPRISES,,,jalna9999@gmail.com,9850829999,29,101,2026-02-08T12:17:06.617426
MAHARASHTRA,BULDHANA,A2S ENTERPRISES,,,a2senterprises1@gmail.com,8788799255,28,96,2026-02-08T12:17:08.223676
MAHARASHTRA,BULDHANA,SHREEANSH POWER SERVICES,,,shreeanshpower@gmail.com,9970078887,27,103,2026-02-08T12:17:09.864395
MAHARASHTRA,BULDHANA,EARTH ENERGY SOLUTION,,,akashshinde4801@gmail.com,9404254801,27,97,2026-02-08T12:17:11.389485
MAHARASHTRA,BULDHANA,SHUBHAM ELECTRICALS,,,vijayd9422@gmail.com,9763592054,26,92,2026-02-08T12:17:12.848876
MAHARASHTRA,BULDHANA,COALCITY SOLAR,,,coalcitysolar@gmail.com,7020278740,26,101,2026-02-08T12:17:14.432993
MAHARASHTRA,BULDHANA,AVIRO ENERGY INDIA PVT LTD,,,firke@aviroservices.com,8275047080,26,90,2026-02-08T12:17:16.098612
MAHARASHTRA,BULDHANA,SHRI GANESH ENTERPRISES,,,shriganeshenterprisesjln@gmail.com,9423158298,25,105,2026-02-08T12:17:17.617439
MAHARASHTRA,BULDHANA,SHREE GAJANAN SOLAR TECH,,,shreegajanansolartech@gmail.com,9373085900,25,103,2026-02-08T12:17:19.291929
MAHARASHTRA,BULDHANA,SERVOTECH POWER SYSTEMS LIMITED,,,pmsuryaghar@servotechindia.com,9266918120,25,87,2026-02-08T12:17:20.823155
MAHARASHTRA,BULDHANA,RISHIZ COREPROJECTS (OPC) PRIVATE LIMITED,,,zineramesh70@gmail.com,9552240531,25,80,2026-02-08T12:17:22.340736
MAHARASHTRA,BULDHANA,FRONTIER COMPLETE SOLAR SOLUTIONS,,,frontiersolarsolution@gmail.com,7020878920,25,79,2026-02-08T12:17:24.029865
MAHARASHTRA,BULDHANA,VEDANSH ENTERPRISES,,,pebuldana@gmail.com,9422944541,24,83,2026-02-08T12:17:25.596320
MAHARASHTRA,BULDHANA,SHRI GAJANAN ELECTRICAL,,,shrigajananelectrical7@gmail.com,7620574739,24,79,2026-02-08T12:17:27.181856
MAHARASHTRA,BULDHANA,PRAGATI POWER SOLUTIONS,,,pragtipower@gmail.com,9730652929,24,78,2026-02-08T12:17:28.722783
MAHARASHTRA,BULDHANA,N3 ENTERPRISES,,,n3enterprises@rediffmail.com,7020086728,24,80,2026-02-08T12:17:30.480277
MAHARASHTRA,BULDHANA,MATOSHRI ENTERPRISES,:,,matoshrimsedcl@gmail.com,7620746403,24,78,2026-02-08T12:17:39.783235
MAHARASHTRA,BULDHANA,TEJAS AGENCIES LTD,,,laxmanbhandarge919@gmail.com,9923157685,23,76,2026-02-08T12:17:41.343231
MAHARASHTRA,BULDHANA,SHREEJA ENTERPRISES,,,digambartikar54@gmail.com,7875925446,23,78,2026-02-08T12:17:43.004085
MAHARASHTRA,BULDHANA,ASP SOLAR AND ELECTRICAL,,,anantarawankar@gmail.com,8080607112,23,76,2026-02-08T12:17:44.707987
MAHARASHTRA,BULDHANA,SUNRASHTRA,,,sunrashtrasolar@gmail.com,9067574054,22,69,2026-02-08T12:17:46.471549
MAHARASHTRA,BULDHANA,SHRINATH ENTERPRISES,,,shrinathenterprises55555@gmail.com,7588080332,22,77,2026-02-08T12:17:47.863021
MAHARASHTRA,BULDHANA,SAMRUDDHI SOLAR SHOPI,,,kuyrejitendra@gmail.com,9422200008,22,86,2026-02-08T12:17:49.489720
MAHARASHTRA,BULDHANA,PREMIUM SOLAR ENERGY,,,premiumsolarenergy1610@gmail.com,7057513064,22,73,2026-02-08T12:17:51.072651
MAHARASHTRA,BULDHANA,MAULI SOLAR ENTERPRISES BULDHANA,,,sachinnimbalkar1790@gmail.com,9766636797,22,73,2026-02-08T12:17:52.501500
