state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Bhandara,DN POWER GREEN ENERGY,,,dnpowerlight9881@gmail.com,9881164008,736,2458,2026-02-08T12:19:49.911514
MAHARASHTRA,Bhandara,SHREE GAJANAN SOLAR,,,solarenergy@gmail.com,9404314518,420,1633,2026-02-08T12:19:51.383190
MAHARASHTRA,Bhandara,GREEN ENERGY SOLAR,,,greenenergybhandara@gmail.com,9421810582,312,1142,2026-02-08T12:19:53.082001
MAHARASHTRA,Bhandara,SURYODAYA SOLAR ENERGY,,,suryodayasolare@gmail.com,7620679976,305,1048,2026-02-08T12:19:54.537874
MAHARASHTRA,Bhandara,KAPGATE ELECTRICAL AND SOLAR SERVICES,,,kapgatesolar@gmail.com,7020950477,220,735,2026-02-08T12:19:55.976211
MAHARASHTRA,Bhandara,MRB SOLAR ENTERPRISES,,,balpande@gmail.com,7038558408,209,752,2026-02-08T12:19:57.374204
MAHARASHTRA,Bhandara,DILIP ELECTRICALS AND SOLAR,,,dilipsonkusare21@gmail.com,9049496933,208,683,2026-02-08T12:19:58.837785
MAHARASHTRA,Bhandara,NK SOLAR POWER,,,nitindkawale@gmail.com,9923014506,194,670,2026-02-08T12:20:00.212500
MAHARASHTRA,Bhandara,MB SOLAR,,,mb4solar@gmail.com,9518508949,184,638,2026-02-08T12:20:01.871557
MAHARASHTRA,Bhandara,POWERTRAC ENGINEERS,,,avanshukatre08@gmail.com,9923203162,177,549,2026-02-08T12:20:03.427974
MAHARASHTRA,Bhandara,M/S MADHUVIRA ELECTRICAL CONTRACTOR & SERVICES,,,electricalsmadhuvira@gmail.com,7767972776,154,541,2026-02-08T12:20:04.893177
MAHARASHTRA,Bhandara,SUNKRANTI ENERGY PVT LTD,:,,info@sunkrantienergy.com,7410597916,151,512,2026-02-08T12:20:06.538872
MAHARASHTRA,Bhandara,SHRI BALAJI INDUSTRIES,,,komaldadagabhane@gmail.com,9049522577,148,487,2026-02-08T12:20:08.115248
MAHARASHTRA,Bhandara,LAKISHA ENTERPRISES,,,lakishayelane09@gmail.com,9325818914,128,429,2026-02-08T12:20:09.660528
MAHARASHTRA,Bhandara,TECHNOTIUM TECH,:,,technotiumtech@gmail.com,8788797718,127,422,2026-02-08T12:20:11.066500
MAHARASHTRA,Bhandara,A B SOLAR,,,absolar4you@gmail.com,9673579095,125,431,2026-02-08T12:20:12.561111
MAHARASHTRA,Bhandara,RAJABHOJ COMPUTER,,,rajabhojcomputer@gmail.com,7972130052,113,364,2026-02-08T12:20:14.209662
MAHARASHTRA,Bhandara,KASHI ELECTRICALS AND ENTERPRISES,,,shivammalewar07@gmail.com,8888868823,102,336,2026-02-08T12:20:15.759289
MAHARASHTRA,Bhandara,ELECTREE GREEN SUPPLY PVT LTD,,,electreegreensupply@gmail.com,9960701900,102,349,2026-02-08T12:20:17.395874
MAHARASHTRA,Bhandara,SB SOLAR ENERGY,,,sbsolarenergy24@gmail.com,9699732644,100,334,2026-02-08T12:20:19.061441
MAHARASHTRA,Bhandara,ALOK MULTIWORKS PVT LTD,,,akakdey@gmail.com,9881752144,98,336,2026-02-08T12:20:26.908861
MAHARASHTRA,Bhandara,N K SOLAR ENERGY,,,badwaik1976@gmail.com,8275398026,97,339,2026-02-08T12:20:28.391281
MAHARASHTRA,Bhandara,PRAMATMA EK SOLAR SYSTEM,,,parmatmaeksolar@gmail.com,7350350625,93,309,2026-02-08T12:20:29.948865
MAHARASHTRA,Bhandara,SHANKARA ELECTRICALS & WORKS,,,amitbondre36@gmail.com,9420367897,92,317,2026-02-08T12:20:31.652980
MAHARASHTRA,Bhandara,FRONTIER COMPLETE SOLAR SOLUTIONS,,,frontiersolarsolution@gmail.com,7020878920,91,312,2026-02-08T12:20:33.420292
MAHARASHTRA,Bhandara,R S BATTERY AND INVERTER,,,rsbattery98@gmail.com,9823541810,89,299,2026-02-08T12:20:34.978691
MAHARASHTRA,Bhandara,GREEN ENERGY SOLAR SERVICES,,,dharmale2000@gmail.com,9970449897,89,320,2026-02-08T12:20:36.513535
MAHARASHTRA,Bhandara,SK SOLAR ENERGY,,,solar@gmail.com,9923330140,88,293,2026-02-08T12:20:38.088027
MAHARASHTRA,Bhandara,KUSHAGRA SOLAR ENTERPRISES,,,gabhane1@gmail.com,8830584178,87,294,2026-02-08T12:20:39.649462
MAHARASHTRA,Bhandara,SACHIN ENGINEERING WORK SHOP,,,Sachin36912thombare@gmail.com,9372046652,84,277,2026-02-08T12:20:41.120119
MAHARASHTRA,Bhandara,A S CLEAN ENERGY,,,asclean@gmail.com,9322549243,82,288,2026-02-08T12:20:42.665900
MAHARASHTRA,Bhandara,LIGHT HOUSE,,,lighthouses@gmail.com,9890500413,80,265,2026-02-08T12:20:44.168006
MAHARASHTRA,Bhandara,MAHI ELECTRICALS,,,mahielectricals69@gmail.com,9767441955,79,271,2026-02-08T12:20:45.558567
MAHARASHTRA,Bhandara,AASHIRWAD ELECTRICAL AND CONSTRUCTION,,,bhiwgade55@gmail.com,9834113564,79,271,2026-02-08T12:20:47.205440
MAHARASHTRA,Bhandara,LUMEN SOLAR ENTERPRISES,,,lumensolarent@gmail.com,8830224148,77,263,2026-02-08T12:20:48.740348
MAHARASHTRA,Bhandara,GBR ELECTROMECH ENGINEERS,,,ngo@gmail.com,7972747047,70,194,2026-02-08T12:20:50.064686
MAHARASHTRA,Bhandara,SUNCALL SOLAR ENERGY SERVICES,,,suncallsolar@gmail.com,7020082580,69,237,2026-02-08T12:20:51.610945
MAHARASHTRA,Bhandara,BHUPEISH ELECTRICALS & ENTERPRISES,:,,bhupeshkedarnathtarone6@gmail.com,9136317666,69,243,2026-02-08T12:20:53.016229
MAHARASHTRA,Bhandara,SOLARIS GREENTECH SOLAR,,,solarisgreentech24@gmail.com,9325020814,67,227,2026-02-08T12:20:54.356116
MAHARASHTRA,Bhandara,ABHAYTARA SOLAR,,,abhaytara121@gmail.com,9372344678,67,198,2026-02-08T12:20:55.969829
MAHARASHTRA,Bhandara,POWER HOUSE ENERGY,,,co@gmail.com,8390831680,62,210,2026-02-08T12:21:03.748770
MAHARASHTRA,Bhandara,FREYR ENERGY SERVICES PVT LTD,,,liaising@freyrenergy.com,9154024405,62,213,2026-02-08T12:21:05.195736
MAHARASHTRA,Bhandara,BLUE SOLAR ENTERPRISES,,,bluesolar321@gmail.com,8483071808,60,203,2026-02-08T12:21:06.908870
MAHARASHTRA,Bhandara,ECO SOLAR SOLUTIONS,:,,it2402@gmail.com,9404356596,58,227,2026-02-08T12:21:08.434000
MAHARASHTRA,Bhandara,BHARATI ELECTRONICS AND ELECTRIC SAVER,,,solarpowarsystem26@gmail.com,9834217601,56,190,2026-02-08T12:21:09.961322
MAHARASHTRA,Bhandara,ENDEAVOR GREEN SOLUTIONS LLP,,,serviceendeavour125@gmail.com,8855061166,54,204,2026-02-08T12:21:11.470471
MAHARASHTRA,Bhandara,H.V.ELECTRICALS,,,hvelectricals@rediffmail.com,8600135700,53,175,2026-02-08T12:21:12.865722
MAHARASHTRA,Bhandara,KUNJAL ELECTRICALS,,,manoharchoudhari3@gmail.com,7972188258,48,166,2026-02-08T12:21:14.368798
MAHARASHTRA,Bhandara,SUN SAPPHIRE RENEWABLES INC,,,sunsapphirerenewables@gmail.com,9699734215,47,151,2026-02-08T12:21:15.708817
MAHARASHTRA,Bhandara,TECHNO VISION SERVICES,,,technovision37@gmail.com,7709332519,45,146,2026-02-08T12:21:17.135582
MAHARASHTRA,Bhandara,SHREEJEE TRADING COMPANY,,,pambani2601@gmail.com,7020446249,45,136,2026-02-08T12:21:18.704292
MAHARASHTRA,Bhandara,M/S SURYA ENTERPRISES GONDIA,,,gondia@gmail.com,9096259822,42,135,2026-02-08T12:21:20.132798
MAHARASHTRA,Bhandara,INDIIAAN SUN PROJECTS & ELECTRICAL WORK,,,adideobag@gmail.com,8087709227,42,145,2026-02-08T12:21:21.695109
MAHARASHTRA,Bhandara,THE SOLAR GURU,,,thesolarguru777@gmail.com,9823050462,39,129,2026-02-08T12:21:23.322061
MAHARASHTRA,Bhandara,AARSHIV SOLAR ENERGY AND IT SOLUTIONS PVT LTD,,,AARSHIVSOLAR@GMAIL.COM,9130344284,39,130,2026-02-08T12:21:24.913991
MAHARASHTRA,Bhandara,ANAND ELECTRICAL ENGINEERS,,,akshaythate@gmail.com,8308083056,38,130,2026-02-08T12:21:26.355105
MAHARASHTRA,Bhandara,SUN SOLAR ENERGY,,,ZUNAIDKHANNGP@GMAIL.COM,9834300109,36,133,2026-02-08T12:21:28.045663
MAHARASHTRA,Bhandara,SAI ENTERPRISES,,,indrapal_giripunje@yahoo.com,9422148802,35,118,2026-02-08T12:21:29.488409
MAHARASHTRA,Bhandara,N.S.BATTERIES INVERTERS AND UPS,,,nsbatteries@gmail.com,9923587377,35,111,2026-02-08T12:21:31.113437
MAHARASHTRA,Bhandara,ADVANCE ENGINEERING,,,engg2021@gmail.com,9270457804,35,123,2026-02-08T12:21:32.587242
MAHARASHTRA,Bhandara,MS. R.R. ENTERPRIES,,,RRSOLARENTERPRISES18@GMAIL.COM,8329786934,34,122,2026-02-08T12:21:40.391862
MAHARASHTRA,Bhandara,KIYA ELECTRICAL AND SOLAR,,,dchakole91@gmail.com,9370699183,34,121,2026-02-08T12:21:41.728386
MAHARASHTRA,Bhandara,R V MARKET,,,rvmarket17@gmail.com,9422550359,32,117,2026-02-08T12:21:43.459304
MAHARASHTRA,Bhandara,CHOUDHARY ENGINEERING,,,choudharyengineering10@gmail.com,8484939335,32,106,2026-02-08T12:21:45.001206
MAHARASHTRA,Bhandara,ARTHIK ROJGAR SWAYAM ROJGAR SEWA SAHKARI SANSTHA MARYADIT TUMSAR,,,arthiksolar@gmail.com,9370661949,32,107,2026-02-08T12:21:46.510522
MAHARASHTRA,Bhandara,PARTH ELECTRICALS,,,parthelectricals0001@gmail.com,9022824027,28,101,2026-02-08T12:21:48.166404
MAHARASHTRA,Bhandara,SUMIT ELECTRICALS,,,sumeetlanjewar1997@gmail.com,8888924268,27,94,2026-02-08T12:21:49.477661
MAHARASHTRA,Bhandara,AMPOWER TECHNICAL SERVICES,:,,ampowertechnicalservices@gmail.com,7498003529,27,94,2026-02-08T12:21:50.803342
MAHARASHTRA,Bhandara,MAIVED SOLAR,,,maivedsolar@gmail.com,7020992023,26,89,2026-02-08T12:21:52.403042
MAHARASHTRA,Bhandara,GENTECH SOLARGY PVT LTD,,,gentechsolargypvtltd@gmail.com,9049076653,25,83,2026-02-08T12:21:53.775201
MAHARASHTRA,Bhandara,ARCLIGHT ENGINEERING PRIVATE LIMITED,,,arclightengg7@gmail.com,9511746078,25,98,2026-02-08T12:21:55.157726
MAHARASHTRA,Bhandara,SHUBHAM SOLAR TRADERS,,,shubhambawankule2805@gmail.com,9545039054,24,81,2026-02-08T12:21:56.966811
MAHARASHTRA,Bhandara,NATUREBEST ENERGY PRIVATE LIMITED,,,naturebestenergy@gmail.com,8412934355,24,82,2026-02-08T12:21:58.567155
MAHARASHTRA,Bhandara,PREMIUM SOLAR ENERGY,,,premiumsolarenergy1610@gmail.com,7057513064,23,76,2026-02-08T12:21:59.980433
MAHARASHTRA,Bhandara,MULTILINK COMPUTER SYSTEM,,,multilinkcomputersystem@gmail.com,9579488877,23,79,2026-02-08T12:22:01.405246
MAHARASHTRA,Bhandara,A B ENTERPRISES,,,solarak@gmail.com,8275310207,23,79,2026-02-08T12:22:03.006603
MAHARASHTRA,Bhandara,SUNSHINE SOLAR SYSTEM AND ELECTRICALS,,,sunshinesolarandelectricals@gmail.com,9284588937,22,72,2026-02-08T12:22:04.649215
MAHARASHTRA,Bhandara,SUMIT REFRIGERATION AND ELECTRICALS,,,gabhane@gmail.com,9860535160,22,76,2026-02-08T12:22:06.182161
MAHARASHTRA,Bhandara,BRAHMAND SOLAR SUN SOLUTION (FORMERLY KNOWN AS BHAHMAND SOLAR SUN SOLUTION),,,nitinmhatwar9@gmail.com,8830740226,22,76,2026-02-08T12:22:07.937459
