state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Dharashiv,SNMP S ENERGY BASKET PVT LTD,,,mumbai@gmail.com,9403935484,351,1261,2026-02-08T12:38:28.143379
MAHARASHTRA,Dharashiv,CHLOROPHYLL SOLAR PRIVATE LIMITED,,,akshantalsr@gmail.com,7972083547,207,764,2026-02-08T12:38:29.762066
MAHARASHTRA,Dharashiv,TRY ENTERPRISES,,,tryenterprises62@gmail.com,9637829901,180,712,2026-02-08T12:38:31.323279
MAHARASHTRA,Dharashiv,SYNC SUN ENERGY PVTLTD,,,syncsunenergy@gmail.com,9960553090,149,517,2026-02-08T12:38:32.977048
MAHARASHTRA,Dharashiv,SUNPOWER GREEN ENERGY,,,sunpowergreenenergy1@gmail.com,9881685204,127,480,2026-02-08T12:38:34.555446
MAHARASHTRA,Dharashiv,SUDARSHAN SAUR SHAKTI PVT LTD,,,spv@sudarshansaur.com,8805356262,123,473,2026-02-08T12:38:35.771605
MAHARASHTRA,Dharashiv,UJJWAL NIRMAN INFRATECH AND ASSOCIATES PRIVATE LIMITED,,,ujjwalnirmanenergies@gmail.com,8459013920,103,366,2026-02-08T12:38:37.180150
MAHARASHTRA,Dharashiv,PAVAN SOLAR & ELECTRICALS PVT.LTD.,,,23@gmail.com,9028373798,102,361,2026-02-08T12:38:38.841975
MAHARASHTRA,Dharashiv,BARQ ENERGYS,,,barqenergys@gmail.com,8830610461,98,397,2026-02-08T12:38:40.368688
MAHARASHTRA,Dharashiv,"SOLAR ELITES, LATUR",,,vickyenterprise17@gmail.com,9822625918,81,280,2026-02-08T12:38:41.771343
MAHARASHTRA,Dharashiv,ARAMBH SOLAR SERVICES,,,vinayaknalawade854@gmail.com,9271208203,73,252,2026-02-08T12:38:43.357729
MAHARASHTRA,Dharashiv,BALAJI GREEN ENERGY SOLUTIONS,:,,gm06755@gmail.com,9850360990,59,271,2026-02-08T12:38:44.920467
MAHARASHTRA,Dharashiv,UTTAM URJA SOLAR POWER,,,sunilbedre1991@gmail.com,9765904412,57,208,2026-02-08T12:38:46.704818
MAHARASHTRA,Dharashiv,DADHICHI SOLAR POWER,,,dadhichisolar@gmail.com,8329213228,57,205,2026-02-08T12:38:48.107990
MAHARASHTRA,Dharashiv,SOLAR SOLUTION,,,solarsolutionspune@gmail.com,8668387870,53,181,2026-02-08T12:38:49.795579
MAHARASHTRA,Dharashiv,KINGS LIVING,,,kingslivingss@gmail.com,7972800527,48,170,2026-02-08T12:38:51.270150
MAHARASHTRA,Dharashiv,AISHWARYA TECHNOLOGIES,:,,anandbhatlawande7@gmail.com,7720977740,48,161,2026-02-08T12:38:52.722811
MAHARASHTRA,Dharashiv,RUDRA ENTERPRISES,,,pandittodkar749@gmail.com,9325490032,46,167,2026-02-08T12:38:54.135808
MAHARASHTRA,Dharashiv,SUNRAYS GREEN ENERGY,,,sunraysgreene@gmail.com,9767747873,41,131,2026-02-08T12:38:55.618133
MAHARASHTRA,Dharashiv,MAULI SOLAR OMERGA,,,maulisolarr@gmail.com,9960661207,41,134,2026-02-08T12:38:57.236729
MAHARASHTRA,Dharashiv,MATE ELECTRICAL SERVICES,,,pratapmate000@gmail.com,8329859008,41,129,2026-02-08T12:39:05.945631
MAHARASHTRA,Dharashiv,SIDDHI GREEN ENERGY,,,siddhigreen9@gmail.com,9921078333,39,135,2026-02-08T12:39:07.515197
