state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Dhule,SUDARSHAN SOLAR DISTRIBUTOR,,,BHARAT5389@GMAIL.COM,8956575825,838,2968,2026-02-08T12:40:38.000621
MAHARASHTRA,Dhule,AARYA SOLAR,:,,aaryasolarenergy@gmail.com,7972249733,597,2040,2026-02-08T12:40:39.612085
MAHARASHTRA,Dhule,PADMAI ELECTRICALS,,,padmaielectricals@gmail.com,8208588470,563,2115,2026-02-08T12:40:41.210581
MAHARASHTRA,Dhule,RAY SOLAR,,,raysolar88@gmail.com,7588750551,515,1670,2026-02-08T12:40:42.567638
MAHARASHTRA,Dhule,SUNHILLS SOLAR TECHNOLOGIES,:,,sunhillssolar@gmail.com,9356988693,400,1447,2026-02-08T12:40:44.164850
MAHARASHTRA,Dhule,ATHARV ASSOCIATES,,,atharvsolar@gmail.com,9975537069,396,1419,2026-02-08T12:40:45.567024
MAHARASHTRA,Dhule,PRABHANU PRIVATE LIMITED,,,energetiq@gmail.com,9607007690,369,1373,2026-02-08T12:40:47.137789
MAHARASHTRA,Dhule,SUNTRACK ENTERPRISES,,,nileshrpatil097@gmail.com,7387707398,322,1067,2026-02-08T12:40:48.630564
MAHARASHTRA,Dhule,MAHAJAN ENTERPRISES AND SOLAR,,,pravinmali089@gmail.com,7757049670,313,1096,2026-02-08T12:40:50.318788
MAHARASHTRA,Dhule,SANGHAVI AGENCIES,,,nitinsanghavi13@gmail.com,9422286586,291,1101,2026-02-08T12:40:51.909001
MAHARASHTRA,Dhule,SATISH ENTERPRISES,,,satishshimpi222@gmail.com,9373576612,273,1014,2026-02-08T12:40:53.404906
MAHARASHTRA,Dhule,RAGHAV ENTERPRISES,,,assist@gmail.com,9422961914,264,1001,2026-02-08T12:40:54.943225
MAHARASHTRA,Dhule,KALIKAMATA ELECTRICALS,,,kalikaelectrical63@gmail.com,9689495209,262,927,2026-02-08T12:40:56.516908
MAHARASHTRA,Dhule,MODERN MARVEL,,,modernmarvel08@gmail.com,9975813543,249,814,2026-02-08T12:40:58.115037
MAHARASHTRA,Dhule,SUNRISE SOLAR ENERGY SOLUTIONS,,,anuradhapatil161013@gmail.com,8408000060,242,846,2026-02-08T12:40:59.715600
MAHARASHTRA,Dhule,SUVIDHINATH ELECTRONICS PVT LTD,,,sepl@gmail.com,8600007205,236,791,2026-02-08T12:41:01.061463
MAHARASHTRA,Dhule,JINDAL RENEWABLE SOLUTIONS,,,jrs0285@gmail.com,8329079293,214,802,2026-02-08T12:41:02.435483
MAHARASHTRA,Dhule,ULTRON POWER SYSTEMS,,,ultronvij@gmail.com,9422787438,203,767,2026-02-08T12:41:03.938100
MAHARASHTRA,Dhule,DEEPJYOT ENGINEERING,:,,engineering2023@gmail.com,9689141188,189,672,2026-02-08T12:41:05.615553
MAHARASHTRA,Dhule,L B POWER ENTERPRISES,,,lalitbacchav07@gmail.com,9545679244,187,666,2026-02-08T12:41:06.966530
MAHARASHTRA,Dhule,NEW ADITYA FABRICATION AND FIBER,,,aditya1994m18@gmail.com,9422789341,184,667,2026-02-08T12:41:16.556233
MAHARASHTRA,Dhule,RELIABLE ENTRERPRISES,,,shripadpatil3982@gmail.com,8888846193,183,634,2026-02-08T12:41:18.164037
MAHARASHTRA,Dhule,RUDRA ENERGY SOLUTIONS,,,rudraenergysolutions@gmail.com,9823582099,179,642,2026-02-08T12:41:19.763987
MAHARASHTRA,Dhule,NEESHA SOUR ENERGY SYSTEM OPC PVT LTD,,,neeshasourenergysystems@gmail.com,8935027810,173,631,2026-02-08T12:41:21.344299
MAHARASHTRA,Dhule,ABM SOLAR POWER SOLUTIONS,,,dondaicha@gmail.com,7588937420,169,610,2026-02-08T12:41:22.889067
MAHARASHTRA,Dhule,ACDC SOLAR POWER SOLUTIONS,,,acdcsolarpowersolution@gmail.com,8888617786,166,711,2026-02-08T12:41:24.365203
MAHARASHTRA,Dhule,KUBER ENTERPRISES,,,swapnil_more41@yahoo.com,8421341370,160,572,2026-02-08T12:41:25.671491
MAHARASHTRA,Dhule,RIDDHI SIDDHI POWER SOLUTIONS,:,,riddhisiddhipowersolutions@gmail.com,9850445384,141,495,2026-02-08T12:41:27.447231
MAHARASHTRA,Dhule,SHIV ELECTRICAL,,,chavan24777@gmail.com,8830115054,130,445,2026-02-08T12:41:29.020464
MAHARASHTRA,Dhule,JAMSHER ELECTRICALS,,,jamsherelectricals@gmail.com,8080097088,128,442,2026-02-08T12:41:30.600171
MAHARASHTRA,Dhule,JANHAVI ENTERPRISES DHULE,,,prakashmore2513@gmail.com,8208877402,127,446,2026-02-08T12:41:32.036269
MAHARASHTRA,Dhule,MATOSHREE ELECTRICAL AND ENGINEERING WORK,,,yogeshbagade543212@gmail.com,9822694077,108,371,2026-02-08T12:41:33.520308
MAHARASHTRA,Dhule,JAIVIKRAM MULTI SERVICES,,,jaivikrammultiservices@gmail.com,9326583000,106,371,2026-02-08T12:41:35.099515
MAHARASHTRA,Dhule,SAI SOLAR SERVICES,,,speakkasarnitin@gmail.com,9270089675,100,376,2026-02-08T12:41:36.558010
MAHARASHTRA,Dhule,RIDDHI SOLAR SERVICES,,,riddhisolarservices1@gmail.com,8669051599,96,325,2026-02-08T12:41:38.167451
MAHARASHTRA,Dhule,BAFNA SOLAR ENERGY SERVICES,:,,bgbafna22@gmail.com,8975416921,95,337,2026-02-08T12:41:39.682427
MAHARASHTRA,Dhule,SHRI AASHWINI SOLAR ELECTRICALS PRIVATE LIMITED,,,pgthakur95@gmail.com,7507717227,94,316,2026-02-08T12:41:41.276639
MAHARASHTRA,Dhule,SOLARIX AUTOMATION INDIA,,,solarixa2z@gmail.com,9028661222,87,329,2026-02-08T12:41:42.842146
MAHARASHTRA,Dhule,GANRAJ ELECTRICALS & SOLAR SOLUTIONS,,,ganrajelectrical96@gmail.com,7588734819,86,286,2026-02-08T12:41:44.236586
MAHARASHTRA,Dhule,MODERN ENTERPRISES,,,modern@gmail.com,9552521110,84,299,2026-02-08T12:41:45.650321
MAHARASHTRA,Dhule,PUSHPARTH RENEWABLES PRIVATE LIMITED,,,pushparthrenewables@gmail.com,9579642999,83,319,2026-02-08T12:41:54.444075
MAHARASHTRA,Dhule,APOLLO CORPORATION,,,apollocorporation9@gmail.com,7887304314,81,275,2026-02-08T12:41:55.781648
MAHARASHTRA,Dhule,RADHIKA SOLAR,,,radhikasolardhule@gmail.com,9421485324,80,329,2026-02-08T12:41:57.240442
MAHARASHTRA,Dhule,SUNFLUX SOLUTIONS PVT LTD,,,bhamare7999@gmail.com,9689497999,77,269,2026-02-08T12:41:58.682886
MAHARASHTRA,Dhule,NIRBHAY ELECTRICALS,,,nirbhayelect902@gmail.com,8888230881,76,271,2026-02-08T12:42:00.189035
MAHARASHTRA,Dhule,DARSHAN SOLAR,,,darshansolar93@gmail.com,8830534714,76,267,2026-02-08T12:42:01.837191
MAHARASHTRA,Dhule,FINIX ENTERPRISES,,,jalgaon@gmail.com,9890378600,75,255,2026-02-08T12:42:03.348025
MAHARASHTRA,Dhule,UNIVERSAL ELECTRONICS,,,universal_tayyab@yahoo.com,9922955646,74,269,2026-02-08T12:42:04.686197
MAHARASHTRA,Dhule,SUNWAY SOLAR,,,sunwaysolar007@gmail.com,7709888940,72,250,2026-02-08T12:42:06.237078
MAHARASHTRA,Dhule,SHREE AVCHIT ELECTRICALS,,,shriavchit@yahoo.co,9423148260,72,258,2026-02-08T12:42:07.755737
MAHARASHTRA,Dhule,NAMAH ENTERPRISES,,,info@gmail.com,9404572734,72,249,2026-02-08T12:42:09.254899
MAHARASHTRA,Dhule,SURYA BATTRIES,,,amalner@gmail.com,9948927000,71,254,2026-02-08T12:42:10.964945
MAHARASHTRA,Dhule,SHREE SAIGURU SOLAR,,,shrisaigurusolar@gmail.com,9665666499,68,227,2026-02-08T12:42:12.418799
MAHARASHTRA,Dhule,GOBELKI INDUSTRIES LIMITED,,,sujit@gobelki.com,7420934587,68,236,2026-02-08T12:42:13.898490
MAHARASHTRA,Dhule,ENWAVE RENEWABALE ENERGY PRIVATE LIMITED,,,enwaverenewables@gmail.com,7972533744,65,243,2026-02-08T12:42:15.671399
MAHARASHTRA,Dhule,DIVYA JYOTI ENTERPRISES,:,,bkpramod22@gmail.com,9890378811,61,230,2026-02-08T12:42:17.297780
MAHARASHTRA,Dhule,HARVEST SOLIS,,,harvestsolis@gmail.com,9011266066,58,214,2026-02-08T12:42:18.993249
MAHARASHTRA,Dhule,COMPACT AUTOMATION CO.,,,futuresolution74@gmail.com,9822780761,57,251,2026-02-08T12:42:20.529795
MAHARASHTRA,Dhule,SWARAJYA SOLAR ENTERPRISES NANDURBAR,,,swarajyasolarenterprises@gmail.com,8999290677,53,213,2026-02-08T12:42:22.083405
MAHARASHTRA,Dhule,SUDARSHAN SOLAR SYSTEMS AND AGENCIES,:,,sudarshan@gmail.com,9766001021,53,196,2026-02-08T12:42:23.525785
MAHARASHTRA,Dhule,GARUDA INTERNATIONAL TRADING,,,krushnasolar4@gmail.com,9765373559,52,173,2026-02-08T12:42:32.912685
MAHARASHTRA,Dhule,VOLTEQ ENERGY,,,volteqenergy@gmail.com,8605902375,51,184,2026-02-08T12:42:34.352446
MAHARASHTRA,Dhule,CITY SOLAR TECH,,,citysolartechmh@gmail.com,8401726336,50,182,2026-02-08T12:42:35.900983
MAHARASHTRA,Dhule,SAMARTH ROOFTOP SOLAR SYSTEM & SERVICES,,,vikaspatil4033@gmail.com,9623200834,47,167,2026-02-08T12:42:37.422807
MAHARASHTRA,Dhule,MANUSHREE ENGINEERING,,,bhadagenitin@gmail.com,7020423049,46,159,2026-02-08T12:42:38.938059
MAHARASHTRA,Dhule,LUMINSHA SOLAR ENERGY,:,,luminshasolar@gmail.com,7276196557,44,144,2026-02-08T12:42:40.401331
MAHARASHTRA,Dhule,CHAITANYA ELECTRICAL,,,chaitanyaelectrical9923@gmail.com,9834935694,44,146,2026-02-08T12:42:42.025111
MAHARASHTRA,Dhule,VISHWKARMA ELECTRICAL AND DEVELOPARS,,,pawan1505200@gmail.com,9307313275,43,154,2026-02-08T12:42:43.739270
MAHARASHTRA,Dhule,M G ENTERPRISES,,,mgwaterandsolar3333@gmail.com,9422706930,43,142,2026-02-08T12:42:45.618503
MAHARASHTRA,Dhule,BHALCHANDRA ENTERPRISES,,,assist@gmail.com,8108103936,42,135,2026-02-08T12:42:47.234710
MAHARASHTRA,Dhule,SARANG ELETRICAL & CONTRACTOR,,,mahendramali161@gmail.com,9921446036,40,149,2026-02-08T12:42:48.740716
MAHARASHTRA,Dhule,TEJASWINI SALES,,,tejaswinisolarenergy@gmail.com,9561455502,39,131,2026-02-08T12:42:50.195107
MAHARASHTRA,Dhule,ADITYA ENTERPRISES,:,,adityasolar2001@gmail.com,9822277424,39,145,2026-02-08T12:42:51.887270
MAHARASHTRA,Dhule,SAURABH DISTRIBUTOR,,,saurabhndbr531@gmail.com,8830665801,34,130,2026-02-08T12:42:53.482760
MAHARASHTRA,Dhule,KALP-ARUN ELECTROBUILD,,,kalparunelectrobuild@gmail.com,9595059767,34,118,2026-02-08T12:42:55.193298
MAHARASHTRA,Dhule,HIMYOG SOLAR PRIVATE LIMITED,:,,himyogsolar@gmail.com,8600754823,34,116,2026-02-08T12:42:56.590709
MAHARASHTRA,Dhule,BASURI SOLAR SYSTEM,,,basurisolar@gmail.com,9881133794,34,118,2026-02-08T12:42:57.994107
MAHARASHTRA,Dhule,SAMATA SOLAR SOLUTIONS LLP,,,samatasolarsolutions@gmail.com,9881775748,33,116,2026-02-08T12:42:59.378472
MAHARASHTRA,Dhule,MODERN ELECTRICALS PVT LTD,,,info@modernel.in,9552502220,33,117,2026-02-08T12:43:00.943918
MAHARASHTRA,Dhule,SHOBHA DISTRIBUTOR SHIRPUR,,,shobhadistributorshirpur@gmail.com,9404075868,32,129,2026-02-08T12:43:02.681623
MAHARASHTRA,Dhule,ARHAM ENTERPRISES DHULE,,,arhament53@gmail.com,9423192961,32,110,2026-02-08T12:43:12.415047
MAHARASHTRA,Dhule,SHIVSHAKTI SOLAR ENERGY,,,vp5646296@gmail.com,8007915336,31,116,2026-02-08T12:43:14.083880
MAHARASHTRA,Dhule,R K SOLAR POWER SYSTEM,,,badgujar@gmail.com,9960920782,31,111,2026-02-08T12:43:15.528388
MAHARASHTRA,Dhule,SR SOLAR ENERGY,,,srsolarenergypvtltd@gmail.com,8983627128,29,104,2026-02-08T12:43:16.981461
