state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Hingoli,TIRUPATI SALES AND SERVICE,:,,tirupatisalesservices@gmail.com,9420408888,289,1184,2026-02-08T12:51:03.600800
MAHARASHTRA,Hingoli,GLITTER SOLAR PVT. LTD.,,,glittersolarpvtltd@gmail.com,9890790205,191,683,2026-02-08T12:51:04.858870
MAHARASHTRA,Hingoli,ECO ACTIVE ENERGY SOLUTIONS,,,ecoactivesolar@gmail.com,9049973330,165,560,2026-02-08T12:51:06.537068
MAHARASHTRA,Hingoli,ARHANT ENGINEER AND CONTRACTOR,,,abhilashjain999@gmail.com,9921361347,130,440,2026-02-08T12:51:07.875060
MAHARASHTRA,Hingoli,SK SOLAR AND POWER SOLUTIONS,,,sksolarnpowersolutions@gmail.com,7975401571,122,421,2026-02-08T12:51:09.566399
MAHARASHTRA,Hingoli,PAWAR SOLAR & SERVICES,,,venkateshpawar592002@gmail.com,9022758085,87,348,2026-02-08T12:51:11.018511
MAHARASHTRA,Hingoli,CHINTAMANI ELECTRICALS & MACHINERY,:,,tyaral@gmail.com,9011425429,87,303,2026-02-08T12:51:12.389050
MAHARASHTRA,Hingoli,GAYATRI MULTI SERVICES,,,gayatrisolarpbn@gmail.com,9326648564,85,274,2026-02-08T12:51:13.977220
MAHARASHTRA,Hingoli,OSCILLATION ENERGY LLP,,,oscillationenergy@gmail.com,8329840186,82,279,2026-02-08T12:51:15.567641
MAHARASHTRA,Hingoli,M/S SHRI GIRIRAJ SALES,,,sraur1230@gmail.com,9850635060,80,314,2026-02-08T12:51:17.072997
MAHARASHTRA,Hingoli,SHIV SOLAR AND ENERGY,,,amspatil123@gmail.com,9604640034,79,264,2026-02-08T12:51:18.323612
MAHARASHTRA,Hingoli,SHANTIBAN ELECTRICAL,,,sbjadhavmsedcl@gmail.com,9923668855,62,209,2026-02-08T12:51:19.914271
MAHARASHTRA,Hingoli,RUDRA SOLAR HINGOLI,,,rudrasolarhingoli@gmail.com,9767549946,56,184,2026-02-08T12:51:21.473677
MAHARASHTRA,Hingoli,GANGA ENTERPRISES,,,potpelwar@gmail.com,8668474693,54,188,2026-02-08T12:51:23.136906
MAHARASHTRA,Hingoli,SAMARTH ELECTRICALS HINGOLI,,,vijaysarkate928@gmail.com,7758840505,50,192,2026-02-08T12:51:24.757942
MAHARASHTRA,Hingoli,ALLIANCE ELECTROTECH SERVICES,,,allianceelectrotech@yahoo.com,8888005788,50,175,2026-02-08T12:51:26.190785
MAHARASHTRA,Hingoli,SWARAJ ENTERPRISES NANDED,,,swarajenterprisesnanded@gmail.com,9011759000,48,205,2026-02-08T12:51:27.755886
MAHARASHTRA,Hingoli,SANGMESHWAR AGENCIES,:,,anandkotalwar@gmail.com,7774909898,43,146,2026-02-08T12:51:29.409048
MAHARASHTRA,Hingoli,GREEN URJA ELECTRICAL,,,GREENURJAELECTRICAL@GMAIL.COM,9881933188,40,191,2026-02-08T12:51:31.045729
MAHARASHTRA,Hingoli,RIGHT WAY POWER SOLUTION,,,rightwaypowersolution@gmail.com,8668510692,37,138,2026-02-08T12:51:32.578334
MAHARASHTRA,Hingoli,VAPOS SOLAR ENERGY PVT. LTD,,,vapossolarenergy@gmail.com,9860032415,36,128,2026-02-08T12:51:40.761550
MAHARASHTRA,Hingoli,OE SOLAR,,,project@gmail.com,9765554544,35,114,2026-02-08T12:51:42.310999
MAHARASHTRA,Hingoli,SUNPHASE ENERGY PRIVATE LIMITED,,,sunphaseenergy000@gmail.com,8983171289,31,119,2026-02-08T12:51:44.063066
MAHARASHTRA,Hingoli,SHIVAJI ELECTRO MECH INDUSTRIES LATUR,,,surajwaghmare300@gmail.com,9657956060,28,108,2026-02-08T12:51:45.460004
MAHARASHTRA,Hingoli,KOMAL ENTERPRISES,,,komalenterprises4803@gmail.com,9834642705,28,97,2026-02-08T12:51:47.037498
MAHARASHTRA,Hingoli,IMPULSE ELECTRICAL AND ENGINEERS,,,impulseelectricalandengineers@gmail.com,7776833684,27,96,2026-02-08T12:51:48.628372
MAHARASHTRA,Hingoli,SONAL ENTERPRISES,,,pariekhent@gmail.com,8329255171,26,117,2026-02-08T12:51:50.098293
MAHARASHTRA,Hingoli,YOGITA ELECTRICAL WORKS,,,shaikhsohelhnl@gmail.com,7020034311,25,82,2026-02-08T12:51:51.751085
MAHARASHTRA,Hingoli,JYOTINAND SOLAR POWER & GREEM ENERGY SOLUTION,,,phatalevaibhav29@gmail.com,8999247219,22,71,2026-02-08T12:51:53.162519
MAHARASHTRA,Hingoli,SUNSHINE SOLAR,:,,dethepramodd@gmail.com,9403323776,21,79,2026-02-08T12:51:54.666511
