state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Jalgaon,SUDARSHAN SOLAR SYSTEMS AND AGENCIES,:,,sudarshan@gmail.com,9766001021,2750,10032,2026-02-08T12:53:15.905611
MAHARASHTRA,Jalgaon,SHREE AVCHIT ELECTRICALS,,,shriavchit@yahoo.co,9423148260,1069,3865,2026-02-08T12:53:17.691632
MAHARASHTRA,Jalgaon,FINIX ENTERPRISES,,,jalgaon@gmail.com,9890378600,1018,3605,2026-02-08T12:53:19.368879
MAHARASHTRA,Jalgaon,GS POWERTECH,,,gspowertech3@gmail.com,9527173271,913,3187,2026-02-08T12:53:20.939227
MAHARASHTRA,Jalgaon,SUSHIL ENTERPRISES,,,sushilenterprises07@gmail.com,9225121891,771,2673,2026-02-08T12:53:22.342755
MAHARASHTRA,Jalgaon,SHARP ELECTRICAL AND ENGINEERING,,,sharpelectrical@outlook.com,9970290382,688,2564,2026-02-08T12:53:23.789234
MAHARASHTRA,Jalgaon,ANUDEV AGENCIES,,,patiljayesh68@gmail.com,9021616112,547,2051,2026-02-08T12:53:25.087193
MAHARASHTRA,Jalgaon,HITARTH SOLAR AND ELECTRICALS,,,vishalzambre72@gmail.com,8669137335,531,1937,2026-02-08T12:53:26.664763
MAHARASHTRA,Jalgaon,POWER PLUS ELECTRICAL,,,mahalevd1997@gmail.com,8806034360,507,1728,2026-02-08T12:53:28.108950
MAHARASHTRA,Jalgaon,PUSHPARTH RENEWABLES PRIVATE LIMITED,,,pushparthrenewables@gmail.com,9579642999,499,1856,2026-02-08T12:53:29.588851
MAHARASHTRA,Jalgaon,MINAKSHI ENTERPRISES,,,minakshi001@gmail.com,7020986516,498,1698,2026-02-08T12:53:31.227797
MAHARASHTRA,Jalgaon,VISHWKARMA ELECTRICAL AND DEVELOPARS,,,pawan1505200@gmail.com,9307313275,454,1536,2026-02-08T12:53:32.708001
MAHARASHTRA,Jalgaon,SUNVEERA ELECTROLUX ENERGY IND PVT LTD,,,Info@sunveera.com,7797798777,414,1490,2026-02-08T12:53:34.290669
MAHARASHTRA,Jalgaon,SONARS SOLUTIONS AND SERVICES,,,solutions@gmail.com,8208402167,405,1440,2026-02-08T12:53:35.672881
MAHARASHTRA,Jalgaon,SUNHILLS SOLAR TECHNOLOGIES,:,,sunhillssolar@gmail.com,9356988693,403,1409,2026-02-08T12:53:37.300171
MAHARASHTRA,Jalgaon,A V ELECTRICALS,,,avelectricals2012@gmail.com,9146653550,401,1401,2026-02-08T12:53:39.062599
MAHARASHTRA,Jalgaon,SHIVADNYA ENTERPRISES,:,,shivadnyaenterprises426@gmail.com,8999515943,372,1330,2026-02-08T12:53:40.625449
MAHARASHTRA,Jalgaon,KADAMS ENERGY,:,,kadamsenergy@gmail.com,8975464924,353,1284,2026-02-08T12:53:42.019477
MAHARASHTRA,Jalgaon,LUMEON ELECTRO TECHNOLOGIES PVT. LTD.,,,lumeon@gmail.com,9890630061,352,1465,2026-02-08T12:53:43.463604
MAHARASHTRA,Jalgaon,SURYA BATTRIES,,,amalner@gmail.com,9948927000,347,1251,2026-02-08T12:53:44.957652
MAHARASHTRA,Jalgaon,ISOLAR POWER ISP LLP,,,isolarpowerispllp@gmail.com,7972864398,336,1021,2026-02-08T12:53:53.896343
MAHARASHTRA,Jalgaon,SAKSHI ENTERPRISES,,,shubhamvk29@gmail.com,8149715106,334,1121,2026-02-08T12:53:55.365536
MAHARASHTRA,Jalgaon,IVAAN SOLAR ENERGY,:,,waaree@gmail.com,8390201918,306,1061,2026-02-08T12:53:57.004276
MAHARASHTRA,Jalgaon,JYOTI ELECTRICALS,,,jyotielectricals2024@gmail.com,9595099428,295,1073,2026-02-08T12:53:58.500919
MAHARASHTRA,Jalgaon,SOYO SYSTEMS,,,rooftop@soyosystems.co,7722068410,287,1037,2026-02-08T12:53:59.993105
MAHARASHTRA,Jalgaon,SONGIRE SOLAR DISTRIBUTORS,,,swapnilsongire7708@gmail.com,8999342481,279,987,2026-02-08T12:54:01.640506
MAHARASHTRA,Jalgaon,SHUBHAM AGENCIES,,,dnyanumarathe1982@gmail.com,9960764642,275,921,2026-02-08T12:54:02.980217
MAHARASHTRA,Jalgaon,S K SOLAR,,,sksolaramalner97@gmail.com,9730234999,265,932,2026-02-08T12:54:04.550313
MAHARASHTRA,Jalgaon,SHREE SAI ELECTRICAL,,,shreesaisolar20@gmail.com,9096500512,258,940,2026-02-08T12:54:06.184604
MAHARASHTRA,Jalgaon,DWARKAMAI TRADERS,,,ruikarkunal@gmail.com,7620320219,258,883,2026-02-08T12:54:07.624304
MAHARASHTRA,Jalgaon,STEP UP SOLAR,,,stepupsolar@gmail.com,9405671793,242,888,2026-02-08T12:54:09.245770
MAHARASHTRA,Jalgaon,YASH POWER AND ELECTRICAL,,,zambarepradip4@gmail.com,9422284139,241,853,2026-02-08T12:54:10.849462
MAHARASHTRA,Jalgaon,ADITYA TRADERS,,,adityasolar4070@gmail.com,9168104070,231,766,2026-02-08T12:54:12.339316
MAHARASHTRA,Jalgaon,SUDARSHAN SOLAR SYSTEM,,,rahulbjaitkar@gmail.com,9561563695,217,731,2026-02-08T12:54:13.940333
MAHARASHTRA,Jalgaon,UNIK WATER SOLUTION,,,sumantamahajan@gmail.com,9881647659,203,857,2026-02-08T12:54:15.652669
MAHARASHTRA,Jalgaon,SHRI SAI SOLAR SYSTEMS,,,shrisaisolarsystems57@gmail.com,9834042297,198,743,2026-02-08T12:54:17.368755
MAHARASHTRA,Jalgaon,QUALITY SALES,,,ganeshvaidya9037@gmail.com,9922001169,197,650,2026-02-08T12:54:19.189144
MAHARASHTRA,Jalgaon,TECHNOWORLD SOLUTIONS,,,technoworld@gmail.com,9594975904,194,667,2026-02-08T12:54:20.826193
MAHARASHTRA,Jalgaon,N S ENERGY SYSTEM,,,nsenergysystem@gmail.com,8329294505,191,645,2026-02-08T12:54:22.385538
MAHARASHTRA,Jalgaon,SOLARGY,,,jal@gmail.com,9422771820,187,736,2026-02-08T12:54:23.965287
MAHARASHTRA,Jalgaon,RENUKA ENTERPRISES,,,renukajamner@gmail.com,9422617071,180,630,2026-02-08T12:54:32.089684
MAHARASHTRA,Jalgaon,MAHAJAN POWER BHUSAWAL,,,mahajanpowerbhusawal@gmail.com,9325810600,172,659,2026-02-08T12:54:33.958564
MAHARASHTRA,Jalgaon,SAI DISTRIBUTOR,,,chetnapalve04@gmail.com,8446597668,165,616,2026-02-08T12:54:35.681591
MAHARASHTRA,Jalgaon,GURUMAULI ENTERPRISES AND SOLAR SYSTEM,,,gurumaulienterprises22@gmail.com,9890902666,164,552,2026-02-08T12:54:37.525379
MAHARASHTRA,Jalgaon,UJJWAL ENERGY,,,sachindixit05121989@gmail.com,7387333400,161,581,2026-02-08T12:54:38.936419
MAHARASHTRA,Jalgaon,TEJAS SOLAR,,,tejassolarr@gmail.com,9371197551,160,542,2026-02-08T12:54:40.512417
MAHARASHTRA,Jalgaon,MAA CHAMUNDA TRADERS,:,,JLG@YAHOO.COM,7887913913,160,567,2026-02-08T12:54:42.073165
