state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Jalna,SADGURU KRUPA SOLAR SHOPEE,,,sadgurusolar9527@gmail.com,9834220329,1531,5309,2026-02-08T13:01:17.679535
MAHARASHTRA,Jalna,JAY SHRIRAM DATA SERVICES JALANA,,,gaikwads322@gmail.com,8830060541,535,1786,2026-02-08T13:01:19.301748
MAHARASHTRA,Jalna,BAJAJ ENTERPRISES,,,jalna9999@gmail.com,9850829999,320,1146,2026-02-08T13:01:20.749025
MAHARASHTRA,Jalna,AUTOTEK ENGINEERS,:,,engg@gmail.com,9595379379,281,1177,2026-02-08T13:01:22.288940
MAHARASHTRA,Jalna,ASK MULTISERVICES JALNA,,,askmultiservices777@gmail.com,9405097777,237,852,2026-02-08T13:01:23.822079
MAHARASHTRA,Jalna,SERVOTECH POWER SYSTEMS LIMITED,,,pmsuryaghar@servotechindia.com,9266918120,177,595,2026-02-08T13:01:25.368475
MAHARASHTRA,Jalna,EARTH ENERGY SOLUTION,,,akashshinde4801@gmail.com,9404254801,165,539,2026-02-08T13:01:26.823092
MAHARASHTRA,Jalna,JIJAU ENTERPRISES,,,jijauentjalna@gmail.com,9075252647,158,536,2026-02-08T13:01:28.261885
MAHARASHTRA,Jalna,NEW BALAJI ENTERPRISES,,,bharatbhutekar4@gmail.com,9881244524,149,598,2026-02-08T13:01:29.778779
MAHARASHTRA,Jalna,MANASVI ENTERPRISES,,,ashokpopalghat0512@gmail.com,9767260877,135,450,2026-02-08T13:01:31.325051
MAHARASHTRA,Jalna,P R ENTERPRISES,,,science@gmail.com,8484998685,132,468,2026-02-08T13:01:33.014967
MAHARASHTRA,Jalna,TEJAS AGENCIES LTD,,,laxmanbhandarge919@gmail.com,9923157685,118,401,2026-02-08T13:01:34.646824
MAHARASHTRA,Jalna,DWARKAI ELECTRICALS CORPORATION,,,vijaybudhwat@gmail.com,9823536374,109,387,2026-02-08T13:01:36.260548
MAHARASHTRA,Jalna,PRAGATI POWER SOLUTIONS,,,pragtipower@gmail.com,9730652929,106,355,2026-02-08T13:01:37.859114
MAHARASHTRA,Jalna,SAMRUDHI SOLAR SERVICES,,,mmkamble90@gmail.com,7755937270,104,359,2026-02-08T13:01:39.354211
MAHARASHTRA,Jalna,URATOM SOLAR INDIA PVT LTD,,,pv@uratom.com,9925099249,102,367,2026-02-08T13:01:40.418461
