state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Latur,SUNRAYS GREEN ENERGY,,,sunraysgreene@gmail.com,9767747873,839,2610,2026-02-08T13:12:19.687451
MAHARASHTRA,Latur,GRIFFON ELECTRICALS PVT LTD,,,griffonelectricals@outlook.com,9403239994,756,2835,2026-02-08T13:12:21.200300
MAHARASHTRA,Latur,SYNC SUN ENERGY PVTLTD,,,syncsunenergy@gmail.com,9960553090,543,2119,2026-02-08T13:12:22.835167
MAHARASHTRA,Latur,SARVADNYA SOLAR INNOVATION AND GLOBAL SERVICES PVT LTD,:,,msedcl@sarvadnyasolar.com,8788214836,520,1820,2026-02-08T13:12:24.557803
MAHARASHTRA,Latur,DATTAKRUPA V.K.A.S.S. LTD,,,dattakrupavkass@gmail.com,9822249381,304,1010,2026-02-08T13:12:26.105687
MAHARASHTRA,Latur,SP ENTERPRISES,,,spsolar77@gmail.com,9527497649,274,924,2026-02-08T13:12:27.685662
MAHARASHTRA,Latur,SUNLIGHT INDUSTRIES,,,sunlightindustries210@gmail.com,9665046611,226,892,2026-02-08T13:12:29.102740
MAHARASHTRA,Latur,"MADHUR ENTERPRISES, LATUR",,,madhurenterpriseslatur@gmail.com,9511846310,226,780,2026-02-08T13:12:30.580427
MAHARASHTRA,Latur,ATUL GREEN ENERGIES,,,atulgreenenergies@gmail.com,7741996566,216,710,2026-02-08T13:12:32.082453
MAHARASHTRA,Latur,NEEL RENEWABLES LATUR,,,neelrenewables@gmail.com,9921574616,215,760,2026-02-08T13:12:33.688257
MAHARASHTRA,Latur,RAMA SOLAR,,,ramasolar@gmail.com,9096861119,193,652,2026-02-08T13:12:35.110443
MAHARASHTRA,Latur,SHETKAR ENTERPRISES,,,shetkarenterprisesudr@gmail.com,9421363577,191,807,2026-02-08T13:12:36.624213
MAHARASHTRA,Latur,KOMAL ENTERPRISES,,,komalenterprises4803@gmail.com,9834642705,184,662,2026-02-08T13:12:38.287650
MAHARASHTRA,Latur,SURYA ENTERPRISES LATUR,:,,enterp2016@gmail.com,9423744666,178,801,2026-02-08T13:12:39.884904
MAHARASHTRA,Latur,SURYA POWER TECH SOLUTION UDGIR,,,ashaborule1@gmail.com,8308518575,169,614,2026-02-08T13:12:41.451056
MAHARASHTRA,Latur,GHODKE ELECTRICALS AND CONTRACTORS,,,electricals3@gmail.com,7588209767,169,543,2026-02-08T13:12:42.872869
MAHARASHTRA,Latur,S K SALES AND SERVICE,:,,shaikhkhled478@gmail.com,9960306300,168,567,2026-02-08T13:12:44.296727
MAHARASHTRA,Latur,PUSHNA SOLUTIONS LLP,,,anup@pushnasolutions.com,7977066630,158,629,2026-02-08T13:12:46.002561
MAHARASHTRA,Latur,SRUSHTI ENTERPRISES,,,mdmunde103@gmail.com,7020146787,153,523,2026-02-08T13:12:47.392527
MAHARASHTRA,Latur,SANGMESHWAR AGENCIES,:,,anandkotalwar@gmail.com,7774909898,151,515,2026-02-08T13:12:48.980227
