state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Nanded,RIGHT WAY POWER SOLUTION,,,rightwaypowersolution@gmail.com,8668510692,441,1697,2026-02-08T13:19:35.466177
MAHARASHTRA,Nanded,AARNA SOLAR SOLUTION,,,potpelwar@gmail.com,9890394456,350,1570,2026-02-08T13:19:36.895060
MAHARASHTRA,Nanded,VAPOS SOLAR ENERGY PVT. LTD,,,vapossolarenergy@gmail.com,9860032415,313,1346,2026-02-08T13:19:38.451927
MAHARASHTRA,Nanded,SHIVOHAM ENERGIES AND SOLUTIONS,,,shivohamenergies@gmail.com,9226164545,268,1196,2026-02-08T13:19:39.811999
MAHARASHTRA,Nanded,PAWAR SOLAR & SERVICES,,,venkateshpawar592002@gmail.com,9022758085,265,1074,2026-02-08T13:19:41.523680
MAHARASHTRA,Nanded,GLITTER SOLAR PVT. LTD.,,,glittersolarpvtltd@gmail.com,9890790205,262,1146,2026-02-08T13:19:42.890285
MAHARASHTRA,Nanded,SWARAJ ENTERPRISES NANDED,,,swarajenterprisesnanded@gmail.com,9011759000,250,1032,2026-02-08T13:19:44.250661
MAHARASHTRA,Nanded,KRISHNA ENTERPRISES,,,sgkadam1983@gmail.com,9420539053,207,673,2026-02-08T13:19:45.910568
MAHARASHTRA,Nanded,KANIKA AGENCIES,,,pratik271212@gmail.com,9860601997,190,840,2026-02-08T13:19:47.334255
MAHARASHTRA,Nanded,NEW TIRUMALA ENTERPRISES,,,rameshpadamawar@gmail.com,8390497775,180,792,2026-02-08T13:19:49.049351
MAHARASHTRA,Nanded,VISHWA SOLAR & BATTERIES,:,,vsbnanded3@gmail.com,9890031491,179,686,2026-02-08T13:19:50.755092
MAHARASHTRA,Nanded,SUNSHINE SOLAR,:,,dethepramodd@gmail.com,9403323776,162,800,2026-02-08T13:19:52.381025
MAHARASHTRA,Nanded,TIRUPATI SALES AND SERVICE,:,,tirupatisalesservices@gmail.com,9420408888,157,660,2026-02-08T13:19:53.836739
MAHARASHTRA,Nanded,YASHWANT SOLAR INDUSTRIES,,,yashwantindkarodi@gmail.com,9326072571,142,666,2026-02-08T13:19:55.400483
MAHARASHTRA,Nanded,PRAVIN SOLAR SYSTEM,,,pravinsolar@gmail.com,9422253783,117,507,2026-02-08T13:19:56.955560
MAHARASHTRA,Nanded,SK INCORPORATION,,,skincorporation@hotmail.com,7020339243,114,498,2026-02-08T13:19:58.398618
MAHARASHTRA,Nanded,ADBHUT INNOVATIONS NANDED,,,adbhutinnovations@gmail.com,9168337195,113,480,2026-02-08T13:19:59.861969
MAHARASHTRA,Nanded,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,111,412,2026-02-08T13:20:01.371023
MAHARASHTRA,Nanded,D S P POWER INFRA LATUR,,,dsppowerinfralatur@gmail.com,8600416261,108,377,2026-02-08T13:20:02.907375
MAHARASHTRA,Nanded,PUJA ELECTRONICS & HOME APPLIENCES,,,sanjaypendkar53@gmail.com,9595958996,107,428,2026-02-08T13:20:04.554335
MAHARASHTRA,Nanded,LAXMI SOLAR AND MULTISERVICES,,,LAXMISOLAR111@GMAIL.COM,8055525558,97,349,2026-02-08T13:20:14.026407
MAHARASHTRA,Nanded,SHREE BALAJI ENTERPRISES,,,PAWALEBALAJI5@GMAIL.COM,9049818138,94,345,2026-02-08T13:20:15.725619
