state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Nashik,SUNLIT SOLAR DISTRIBUTOR,,,sunlitsolaroffice@gmail.com,9822944999,1457,4485,2026-02-08T13:25:54.810611
MAHARASHTRA,Nashik,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,1221,4001,2026-02-08T13:25:56.264861
MAHARASHTRA,Nashik,MAYUR TRADERS,:,,shreesolarsystem29@gmail.com,9028055530,593,1968,2026-02-08T13:25:57.938204
MAHARASHTRA,Nashik,VANDANA ELECTRICALS AND CONSULTANT,,,vandanaenterprises438@gmail.com,9595887094,581,1839,2026-02-08T13:25:59.432740
MAHARASHTRA,Nashik,SHREE RAM SOLAR TECH SOLUTIONS,,,shreeramsolartech@gmail.com,9309777102,533,1702,2026-02-08T13:26:00.954162
MAHARASHTRA,Nashik,PRABHANU PRIVATE LIMITED,,,energetiq@gmail.com,9607007690,524,1673,2026-02-08T13:26:02.545688
MAHARASHTRA,Nashik,S S SOLAR ENERGY SYSTEM,,,sdhondge2@gmail.com,8605164030,437,1465,2026-02-08T13:26:04.267838
MAHARASHTRA,Nashik,SHREE INFRA,:,,shreeinfraindia2017@gmail.com,9168632353,425,1415,2026-02-08T13:26:05.742019
MAHARASHTRA,Nashik,ADHIJA ELECTRO ENTERPRISES,,,adhijaele16@gmail.com,7507661234,424,1375,2026-02-08T13:26:07.491749
MAHARASHTRA,Nashik,PREETISHA RENEWABLE ENERGY ENTERPRISES,:,,kbodke250@gmail.com,8484004256,400,1223,2026-02-08T13:26:09.099463
MAHARASHTRA,Nashik,FREVOLT GREEN ENERGY TECHNOLOGIES PVT LTD,,,sanket@frevolt.co,7822051295,397,1298,2026-02-08T13:26:10.751811
MAHARASHTRA,Nashik,ECUBE SERVICES,:,,ecubegroupnsk@gmail.com,9423012312,356,1132,2026-02-08T13:26:12.454346
MAHARASHTRA,Nashik,JYOTI ENTERPRISES,,,roshanrayate45@gmail.com,8999594423,354,1207,2026-02-08T13:26:13.990357
MAHARASHTRA,Nashik,ADITYA ENTERPRISES,:,,adityasolar2001@gmail.com,9822277424,324,1322,2026-02-08T13:26:15.522716
MAHARASHTRA,Nashik,UNIQUEE SOLAR SYSTEM,,,rahuldkumavat@gmail.com,9890211647,320,997,2026-02-08T13:26:17.000884
MAHARASHTRA,Nashik,SAI DATTA SERVICES,:,,saidattaservices77@gmail.com,9764123977,307,1005,2026-02-08T13:26:18.483384
MAHARASHTRA,Nashik,AYANSH ENTERPRISES,,,ayanshenterprises27@gmail.com,7709253211,294,998,2026-02-08T13:26:20.112355
MAHARASHTRA,Nashik,D.D.SOLAR SYSTEM,,,ddsolarsystemyeola@gmail.com,8805285517,292,966,2026-02-08T13:26:21.859110
MAHARASHTRA,Nashik,JAI HARI ENTERPRISES,,,jaiharienterprises15@gmail.com,8275014615,286,977,2026-02-08T13:26:23.417093
MAHARASHTRA,Nashik,SHREE MORAYA ENTERPRISES,:,,adinathtajanpure5@gmail.com,8380080095,281,909,2026-02-08T13:26:24.901401
MAHARASHTRA,Nashik,ANUSH POWER SYSTEM,,,anushpower@yahoo.com,9850066622,261,838,2026-02-08T13:26:33.574246
MAHARASHTRA,Nashik,E SOLUTION,,,nsk@gmail.com,9665331514,238,786,2026-02-08T13:26:35.148986
MAHARASHTRA,Nashik,SUNFARMA ENERGY,,,sunfamatech@gmail.com,9284332100,234,770,2026-02-08T13:26:36.666530
MAHARASHTRA,Nashik,IMPROWATT ENERGY LLP,,,improwatt@gmail.com,9405824382,227,757,2026-02-08T13:26:38.066458
MAHARASHTRA,Nashik,ENVIRONIC INNOVATIONS,:,,environicinnovations@gmail.com,8669140360,221,722,2026-02-08T13:26:39.618617
MAHARASHTRA,Nashik,SWAURJA RENEWABLES PVT LTD,,,swaurja@gmail.com,9595280458,220,783,2026-02-08T13:26:41.321097
MAHARASHTRA,Nashik,SUPER ENTERPRISES,,,jahidhusain94@gmail.com,9454277109,213,701,2026-02-08T13:26:43.041563
MAHARASHTRA,Nashik,TRENEX ENERGY PRIVATE LIMITED,,,trenexenergy@gmail.com,9011734376,211,703,2026-02-08T13:26:44.723217
MAHARASHTRA,Nashik,LAXMI AGENCIES,,,laxmiagency2@yahoo.in,8999958737,204,651,2026-02-08T13:26:46.418840
MAHARASHTRA,Nashik,SUNFACE SOLAR ENERGY CORPORATION,,,sunfacesolar3@gmail.com,9422270294,203,650,2026-02-08T13:26:47.857194
MAHARASHTRA,Nashik,SHREE VANDAN ELECTRICAL ENTERPRISES,,,shreevandanelectrical@gmail.com,7028796700,196,638,2026-02-08T13:26:49.658665
MAHARASHTRA,Nashik,SACHIN ENERGY SYSTEM.,,,sachinenergy@yahoo.co,9921799121,195,670,2026-02-08T13:26:51.233107
MAHARASHTRA,Nashik,ARYA ELECTRICALS,,,aryaelectricals9@gmail.com,9960068342,195,634,2026-02-08T13:26:52.667124
MAHARASHTRA,Nashik,SWAMI POWER GRID,,,swamipowergrid@gmail.com,8806803821,192,664,2026-02-08T13:26:54.077146
MAHARASHTRA,Nashik,SOLARIS PROJECTS AND SOLUTIONS,,,info@solarisps.in,8007793900,185,626,2026-02-08T13:26:55.737111
MAHARASHTRA,Nashik,SAURSAMPADA ENERGY SYSTEMS,,,mnagare21@gmail.com,7757978856,184,602,2026-02-08T13:26:57.319089
MAHARASHTRA,Nashik,RS SALES CORPORATION,:,,rssalescorporations@gmail.com,9921528399,178,542,2026-02-08T13:26:58.904846
MAHARASHTRA,Nashik,SANRAJ ELECTRICALS,,,nasik@gmail.com,8888099399,177,568,2026-02-08T13:27:00.487642
MAHARASHTRA,Nashik,SUNKRATU SOLUTIONS,,,sksolutions@gmail.com,8087525591,172,616,2026-02-08T13:27:02.082276
MAHARASHTRA,Nashik,LEDSOL TECHNOSOLUTIONS,,,ledsol@gmail.com,9404493383,170,572,2026-02-08T13:27:03.441845
MAHARASHTRA,Nashik,BNS ELECTRICALS AND SOLAR ENERGY,,,bnselectricalsandsolarenergy@gmail.com,9420159407,166,507,2026-02-08T13:27:12.862160
MAHARASHTRA,Nashik,ENERMAX SYSTEMS,,,uday@enermax.co,9225126972,159,540,2026-02-08T13:27:14.664151
MAHARASHTRA,Nashik,SHREE ENTERPRISES,:,,ATULON@YAHOO.COM,9325030666,158,582,2026-02-08T13:27:15.965926
MAHARASHTRA,Nashik,NEW RAJ ELECTRONICS,,,newrajelect@gmail.com,7219554566,156,489,2026-02-08T13:27:17.423337
MAHARASHTRA,Nashik,FREYR ENERGY SERVICES PVT LTD,,,liaising@freyrenergy.com,9154024405,153,521,2026-02-08T13:27:18.939017
MAHARASHTRA,Nashik,AKSHADA ELECTRICALS,,,akshadaelectricals95@gmail.com,9921700729,153,495,2026-02-08T13:27:20.459591
MAHARASHTRA,Nashik,UV ENTERPRISES,,,info@uvrenewables.org,8975585093,150,516,2026-02-08T13:27:22.070337
MAHARASHTRA,Nashik,ICHCHAPURTI ELECTRICALS,,,ichhapurti5499@gmail.com,9421237301,144,474,2026-02-08T13:27:23.880247
MAHARASHTRA,Nashik,VPS GREEN,,,vpsgreen3@gmail.com,9970610507,143,486,2026-02-08T13:27:25.517472
MAHARASHTRA,Nashik,SAHIL SOLAR TCECHNOLOGY,,,sahilshinde1298@gmail.com,7020356983,140,434,2026-02-08T13:27:26.884440
MAHARASHTRA,Nashik,PHOTON ENERGIES,,,photonenergies92@gmail.com,7972924333,140,433,2026-02-08T13:27:28.697538
MAHARASHTRA,Nashik,MANIK POWER SOLUTIONS,,,manikpowersolutions@gmail.com,9850508588,140,402,2026-02-08T13:27:30.351067
