state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,PALGHAR,VICTOR TRADERS,,,victortradersnationalrooftop@gmail.com,9049740120,269,1273,2026-02-08T13:35:58.104502
MAHARASHTRA,PALGHAR,BRITTO SOLAR ENERGY,,,brittoenergy@yahoo.com,7769966517,152,642,2026-02-08T13:35:59.564951
MAHARASHTRA,PALGHAR,NETI POWER SOLUTIONS,,,nikhil@netipower.com,7219300193,144,518,2026-02-08T13:36:01.043559
MAHARASHTRA,PALGHAR,SAM SOLAR AND ELECTRICAL,,,marshalg1813@gmail.com,8390483718,139,534,2026-02-08T13:36:02.681582
MAHARASHTRA,PALGHAR,SAI E SOLUTIONS,:,,saiesolutions19@gmail.com,9730882444,110,425,2026-02-08T13:36:04.091983
MAHARASHTRA,PALGHAR,ALPHA ELECTRICAL,,,somnathamberkar@gmail.com,7507474737,92,326,2026-02-08T13:36:05.473834
MAHARASHTRA,PALGHAR,JAY MATADI AGENCY,,,jayvijaypawar@gmail.com,8087479823,85,322,2026-02-08T13:36:06.964512
MAHARASHTRA,PALGHAR,SPACEFIRE CORP,,,spacefirecorp@gmail.com,9833191664,84,349,2026-02-08T13:36:08.545777
MAHARASHTRA,PALGHAR,IMPULSE,,,info@impulseengineers.com,8668362307,83,320,2026-02-08T13:36:10.132525
MAHARASHTRA,PALGHAR,PRASHANT ELECTRICAL ENTERPRISES,,,info@prashantelectrical.com,7350322111,72,298,2026-02-08T13:36:11.288231
MAHARASHTRA,PALGHAR,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,56,215,2026-02-08T13:36:12.241979
MAHARASHTRA,PALGHAR,VITRONICS CONTROLS,,,marketing@vitronicscontrols.com,9422030120,44,149,2026-02-08T13:36:13.885877
MAHARASHTRA,PALGHAR,HINDUSTAN BATTERY,,,avinash@hindustanbattery.com,9226153284,41,171,2026-02-08T13:36:15.572043
MAHARASHTRA,PALGHAR,KAUSHAL ENTERPRISES,,,kaushalenterprises00@gmail.com,9823655453,39,169,2026-02-08T13:36:17.101102
MAHARASHTRA,PALGHAR,TEJASWINI SALES,,,tejaswinisolarenergy@gmail.com,9561455502,36,150,2026-02-08T13:36:18.400479
MAHARASHTRA,PALGHAR,SUNSHINE SOLAR,,,sunshinesolar2025@gmail.com,9373763152,34,125,2026-02-08T13:36:19.699463
MAHARASHTRA,PALGHAR,MALHAR ENTERPRISES,,,ravindralok84@gmail.com,9224329760,29,106,2026-02-08T13:36:21.326254
MAHARASHTRA,PALGHAR,HOLBROOK INFRA AND POWER PVT LTD,,,holbrooksolar@gmail.com,9923423679,29,105,2026-02-08T13:36:23.104212
MAHARASHTRA,PALGHAR,SHREE GANESH ENTERPRISES & CO,,,mravani1984@gmail.com,6352526437,27,93,2026-02-08T13:36:24.199825
MAHARASHTRA,PALGHAR,QWERTY INFOTECH,,,qwertysolar2020@gmail.com,9960139003,26,94,2026-02-08T13:36:25.940495
MAHARASHTRA,PALGHAR,GLADDEN ELECTRICAL,:,,gladdenelectrical@gmail.com,9322016447,26,86,2026-02-08T13:36:34.593401
MAHARASHTRA,PALGHAR,CONTENDRE GREENERGY PRIVATE LIMITED,,,info@contendresolar.com,9372463756,25,85,2026-02-08T13:36:36.191900
MAHARASHTRA,PALGHAR,ANDYS SOLAR,,,andysolar24@gmail.com,8208164544,22,94,2026-02-08T13:36:37.720164
MAHARASHTRA,PALGHAR,RAVANSHSHI DEEP ENTERPRISES LLP,,,ravanshshideepenterprisesllp1@gmail.com,9764978400,21,70,2026-02-08T13:36:39.351614
MAHARASHTRA,PALGHAR,RADIANCE TECHNOLOGY PRIVATE LIMITED,:,,tejaspatil@radiancetechnology.com,9175747372,20,84,2026-02-08T13:36:40.960193
MAHARASHTRA,PALGHAR,SUNSHINE SOLAR PUNE,,,sunshinesolar114@gmail.com,9623177366,18,89,2026-02-08T13:36:42.371709
MAHARASHTRA,PALGHAR,R. R. INFOTECH,,,rrinfotk@gmail.com,9823412520,18,65,2026-02-08T13:36:43.874488
MAHARASHTRA,PALGHAR,SANJAY MARKETING CO,:,,sanjay@sanjaymarketing.com,9820008139,16,78,2026-02-08T13:36:45.251762
MAHARASHTRA,PALGHAR,SUNGRACE VENTURE,,,sungraceventure28@gmail.com,9970151943,15,49,2026-02-08T13:36:46.875714
MAHARASHTRA,PALGHAR,SAAGARIKA ELECTRIC AND ELECTRONIC,,,saagarikaee1995@gmail.com,8208179772,15,54,2026-02-08T13:36:48.471743
MAHARASHTRA,PALGHAR,NIRMALHIRA RENEVABLES,,,nirmalhiratrade@gmail.com,9764689503,14,52,2026-02-08T13:36:49.881873
MAHARASHTRA,PALGHAR,JANHAVI ENTERPRISES DHULE,,,prakashmore2513@gmail.com,8208877402,13,47,2026-02-08T13:36:51.497515
MAHARASHTRA,PALGHAR,SAUR ENERGY SOLUTIONS,,,saurenergy17@gmail.com,9284276366,11,37,2026-02-08T13:36:53.050208
MAHARASHTRA,PALGHAR,RENEWMORE SOLUTIONS,,,renewmoresolutions@gmail.com,8446504630,11,41,2026-02-08T13:36:54.634044
