state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Parbhani,NEW BALAJI ENTERPRISES,,,bharatbhutekar4@gmail.com,9881244524,433,1454,2026-02-08T13:37:30.149616
MAHARASHTRA,Parbhani,NEEL RENEWABLES LATUR,,,neelrenewables@gmail.com,9921574616,282,965,2026-02-08T13:37:31.666559
MAHARASHTRA,Parbhani,AJINTHA INDUSTRIES PRIVATE LIMITED,:,,ajintha69@gmail.com,9372284302,230,942,2026-02-08T13:37:33.307837
MAHARASHTRA,Parbhani,LAKSHYA ENERGY SYSTEM,,,lakshyaenergysystem@gmail.com,9890544101,208,747,2026-02-08T13:37:34.889292
MAHARASHTRA,Parbhani,JAGDAMBA TRADERS,:,,JAGDAMBAPARBHANI@GMAIL.COM,9422108975,207,904,2026-02-08T13:37:36.394917
MAHARASHTRA,Parbhani,VITTHALA TRADERS PARBHANI,,,deep4889@gmail.com,9011157775,198,654,2026-02-08T13:37:38.148738
MAHARASHTRA,Parbhani,SADGURU KRUPA SOLAR SHOPEE,,,sadgurusolar9527@gmail.com,9834220329,183,640,2026-02-08T13:37:39.596706
MAHARASHTRA,Parbhani,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,177,611,2026-02-08T13:37:41.316835
MAHARASHTRA,Parbhani,GAYATRI MULTI SERVICES,,,gayatrisolarpbn@gmail.com,9326648564,176,573,2026-02-08T13:37:43.040385
MAHARASHTRA,Parbhani,POONAM ENERGY PROWESS,,,poonamenergyp@gmail.com,9529496379,146,536,2026-02-08T13:37:44.525638
MAHARASHTRA,Parbhani,ECO ACTIVE ENERGY SOLUTIONS,,,ecoactivesolar@gmail.com,9049973330,142,516,2026-02-08T13:37:46.106800
MAHARASHTRA,Parbhani,SWARANANDI ELECTRICALS SOLUTION LLP,,,swaranandielectrical@gmail.com,9921071030,136,470,2026-02-08T13:37:47.756479
MAHARASHTRA,Parbhani,GLOWING ELECTRICAL SOLAR PVT LTD,,,glowingsolar01@gmail.com,7020434367,103,356,2026-02-08T13:37:49.291832
MAHARASHTRA,Parbhani,TECHSOWTH ELECTRICAL INFRA,,,techsowthelectrical@gmail.com,7385101392,101,333,2026-02-08T13:37:50.802758
MAHARASHTRA,Parbhani,GOURI ELECTRICALS AND ELECTRONICS,,,gaurielectricals1111@gmail.com,9766666447,100,342,2026-02-08T13:37:52.318748
MAHARASHTRA,Parbhani,OM ELECTRICALS AND CONTRACTOR,,,omelect21@gmail.com,9766902667,99,342,2026-02-08T13:37:53.925137
MAHARASHTRA,Parbhani,SHRI TRIMURTI ELECTRICALS,,,vinayakwavdhane@gmail.com,9168796067,96,323,2026-02-08T13:37:55.557137
MAHARASHTRA,Parbhani,MAULI KRUPA SOLAR SYSTEM,,,maulikrupasolarsystem0@gmail.com,9765330143,91,307,2026-02-08T13:37:57.038970
MAHARASHTRA,Parbhani,BHAKTI ENTERPRISES,,,gsgopalsarda121@gmail.com,9834994851,91,313,2026-02-08T13:37:58.671324
MAHARASHTRA,Parbhani,DNYANESHWARI ENTERPRISES,,,somnath18291@gmail.com,9922729614,88,366,2026-02-08T13:38:00.271183
MAHARASHTRA,Parbhani,THREESUN SOLAR POWER,,,nirwal@gmail.com,8087325858,86,300,2026-02-08T13:38:07.983058
MAHARASHTRA,Parbhani,SHRI VENKATESH ELECTRIC COMPANY,,,svecpbn@gmail.com,9309491943,83,312,2026-02-08T13:38:09.451589
MAHARASHTRA,Parbhani,SHIV ENTERPRISE,,,office@gmail.com,7058409363,82,277,2026-02-08T13:38:10.925862
MAHARASHTRA,Parbhani,AMRUTESHWAR SOLAR ENERGY,,,kurenitin9@gmail.com,8007094343,77,266,2026-02-08T13:38:12.480171
MAHARASHTRA,Parbhani,USHA ELECTRICALS AND ENGINEERING WORK PARBHANI,,,latpatekalpana@gmail.com,7499193377,69,247,2026-02-08T13:38:14.073680
MAHARASHTRA,Parbhani,SANGMESHWAR AGENCIES,:,,anandkotalwar@gmail.com,7774909898,67,232,2026-02-08T13:38:15.518694
MAHARASHTRA,Parbhani,MAULI ENTERPRISES,,,ssakks@gmail.com,7038737171,61,242,2026-02-08T13:38:17.198675
MAHARASHTRA,Parbhani,URJA SOLAR SOLUTIONS,,,vw@gmail.com,7588161988,60,212,2026-02-08T13:38:18.747766
MAHARASHTRA,Parbhani,SAURGURU GREEN ENERGY SOLUTIONS,,,mabarbind@gmail.com,9422108057,59,199,2026-02-08T13:38:20.362786
MAHARASHTRA,Parbhani,RAYON POWER INFRA PVT LTD,,,infra@gmail.com,9075013939,59,234,2026-02-08T13:38:21.958010
MAHARASHTRA,Parbhani,ADITYANARAYAN INFRA,,,akshaydchate@gmail.com,7066824232,55,175,2026-02-08T13:38:23.608722
MAHARASHTRA,Parbhani,EXIDE POWER HOUSE,,,shrirammuley1976@gmail.com,8668929251,54,173,2026-02-08T13:38:25.045063
MAHARASHTRA,Parbhani,SUNPHASE ENERGY PRIVATE LIMITED,,,sunphaseenergy000@gmail.com,8983171289,48,159,2026-02-08T13:38:26.517318
MAHARASHTRA,Parbhani,FUTURISTA TECHNOLGIES LIMITED,,,futuristatechnologiesltd@gmail.com,9822031611,48,185,2026-02-08T13:38:27.902319
MAHARASHTRA,Parbhani,TRISKELION INDUSTREIS PVT LTD,,,ind4111@gmail.com,7875044111,47,177,2026-02-08T13:38:29.526632
MAHARASHTRA,Parbhani,SAHYADRI ENTERPRISES PARBHANI,,,sandiprasal7@gmail.com,9673530003,44,148,2026-02-08T13:38:31.064506
MAHARASHTRA,Parbhani,SAI SYSTEMS,,,microtek@gmail.com,9890187424,42,163,2026-02-08T13:38:32.540227
MAHARASHTRA,Parbhani,SHREE MULTISERVICES,,,shindemm7788@gmail.com,9421536149,40,140,2026-02-08T13:38:33.957902
MAHARASHTRA,Parbhani,PRAPTI SOLAR AND ENTERPRISES,,,solarprapti@gmail.com,9175765308,39,134,2026-02-08T13:38:35.508220
MAHARASHTRA,Parbhani,BG SOLAR SYSTEM,,,bgsolarsystems@gmail.com,7588767351,36,139,2026-02-08T13:38:37.017449
MAHARASHTRA,Parbhani,SURYARK ENERGIES PRIVATE LIMITED,,,suryarkenergiespvtltd@gmail.com,9764441717,35,122,2026-02-08T13:38:45.122736
MAHARASHTRA,Parbhani,SHREENATHJI ELECTRICALS,,,shreenathjielectricals2011@gmail.com,9975511775,35,127,2026-02-08T13:38:46.727617
MAHARASHTRA,Parbhani,ROHINI SYSTEM,,,tupems@gmail.com,9422703088,34,145,2026-02-08T13:38:48.357832
MAHARASHTRA,Parbhani,MAULI SOLAR OMERGA,,,maulisolarr@gmail.com,9960661207,33,112,2026-02-08T13:38:49.929564
MAHARASHTRA,Parbhani,SP ENTERPRISES,,,spsolar77@gmail.com,9527497649,32,121,2026-02-08T13:38:51.406726
MAHARASHTRA,Parbhani,SHREE ELECTRICALS,,,shreerajdeshmukh2@gmail.com,7972429133,32,115,2026-02-08T13:38:52.936964
MAHARASHTRA,Parbhani,SANJAY ENTERPRISES,,,sanjayenterprises1179@gmail.com,9403419685,32,123,2026-02-08T13:38:54.734586
