state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Pune,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,3640,12488,2026-02-08T13:40:55.652836
MAHARASHTRA,Pune,SPARROW ENERGY SOLUTION,,,sespune12@gmail.com,7066211212,869,3196,2026-02-08T13:40:57.230703
MAHARASHTRA,Pune,SAILEE ELECTRICAL AND SOLAR SYSTEM,,,electrosolar@gmail.com,9011690714,533,1751,2026-02-08T13:40:58.636092
MAHARASHTRA,Pune,NEW SOLAR TECHNOLOGY,:,,solarnst@gmail.com,8605397357,454,1814,2026-02-08T13:41:00.368430
MAHARASHTRA,Pune,FREYR ENERGY SERVICES PVT LTD,,,liaising@freyrenergy.com,9154024405,454,1624,2026-02-08T13:41:02.105824
MAHARASHTRA,Pune,SURYARATH SOLAR,,,solarsuryarath@gmail.com,9035473181,398,1340,2026-02-08T13:41:03.593057
MAHARASHTRA,Pune,SUNRISERS ENERGY SOLUTIONS,,,pzsunrisers@gmail.com,7588867575,390,1420,2026-02-08T13:41:04.967752
MAHARASHTRA,Pune,PUNCA,,,puncasolar@gmail.com,9766552381,373,1306,2026-02-08T13:41:06.367548
MAHARASHTRA,Pune,SUNSHINE SOLAR PUNE,,,sunshinesolar114@gmail.com,9623177366,372,1306,2026-02-08T13:41:07.844012
MAHARASHTRA,Pune,A.K.G. ELECTRICALS,,,electricals2017@gmail.com,9370606028,351,1089,2026-02-08T13:41:09.483021
MAHARASHTRA,Pune,PARRIKRRAMA SOLUTIONS PRIVATE LIMITED,,,ketan@parrikrrama.com,9960717913,308,854,2026-02-08T13:41:10.902708
MAHARASHTRA,Pune,NUTANS RENEWABLE ENERGIES PVT LTD,,,admin@nutanenergies.com,9850333334,308,438,2026-02-08T13:41:12.407717
MAHARASHTRA,Pune,SADGURUKRUPA ENTERPRISES,,,yogeshn1311@gmail.com,9766879605,301,918,2026-02-08T13:41:14.145634
MAHARASHTRA,Pune,SUDARSHAN SOLAR HOUSE,,,sudarshansolarhouse@gmail.com,7588538410,281,972,2026-02-08T13:41:15.471923
MAHARASHTRA,Pune,WINFAST RENEWABLE ENERGY (OPC) PVT. LTD.,,,energysolution@gmail.com,9975565989,276,921,2026-02-08T13:41:17.098318
MAHARASHTRA,Pune,SURYATECH SOLAR SYSTEMS,,,mukund@suryatechsolarsystems.com,9822016091,243,809,2026-02-08T13:41:18.488440
MAHARASHTRA,Pune,AKSHAY SOLAR,,,akshaysolarurja@gmail.com,9850211181,226,885,2026-02-08T13:41:20.114882
MAHARASHTRA,Pune,SOLAREACH SOLUTIONS,,,solareachsolutions@gmail.com,9867727746,223,969,2026-02-08T13:41:21.638628
MAHARASHTRA,Pune,ERIGO ENERGY SOLUTIONS PRIVATE LIMITED,,,erigoenergysolutions@gmail.com,9558218294,222,774,2026-02-08T13:41:23.140484
MAHARASHTRA,Pune,SARVESH SOLAR INDUSTRIES,,,sarveshsolarindustries@gmail.com,7387595892,217,770,2026-02-08T13:41:24.697898
MAHARASHTRA,Pune,PROMPT SOLAR RENEWABLE PVT. LTD.,,,sales@promptinc.in,9890398962,207,752,2026-02-08T13:41:33.596254
MAHARASHTRA,Pune,SAMARTHADITYA SOLAR SOLUTIONS,:,,yogeshmgore11@gmail.com,9970365412,204,596,2026-02-08T13:41:35.072016
MAHARASHTRA,Pune,SUNTECH GREEN ENERGY SOLAR,,,suntechgreenes@gmail.com,7387085530,202,713,2026-02-08T13:41:36.486745
MAHARASHTRA,Pune,SURAJ PV SOLAR,,,surajpvsolar@gmail.com,9011216448,188,640,2026-02-08T13:41:38.139203
MAHARASHTRA,Pune,MV SQUARE GREENOVATIVE ENERGY SOLUTIONS PVT LTD,,,mukeshmali14@gmail.com,9167620402,188,541,2026-02-08T13:41:39.546760
MAHARASHTRA,Pune,R K SOLAR SYSTEMS,:,,rohitdok@rksolarsystem.com,9923474622,187,786,2026-02-08T13:41:41.336411
MAHARASHTRA,Pune,SHRI SAMARTH ENTERPRISES,,,sagarbhais@gmail.com,8830280702,182,606,2026-02-08T13:41:42.933469
MAHARASHTRA,Pune,VASUNDHARA ENTERPRISES,,,tatapowersolarsystemsltd@gmail.com,7350007180,177,666,2026-02-08T13:41:44.328116
MAHARASHTRA,Pune,RENEW GREEN POWER,:,,karandepradip@gmail.com,7755953434,172,665,2026-02-08T13:41:45.873418
MAHARASHTRA,Pune,BORHADE ENTERPRISES,,,nileshborhade1989@gmail.com,8329424746,167,560,2026-02-08T13:41:47.363456
MAHARASHTRA,Pune,SURYA RENEWABLES,,,suryarenewables@gmail.com,9850444185,165,476,2026-02-08T13:41:49.033798
MAHARASHTRA,Pune,KRISHNA ENTERPRISES,,,lad85@gmail.com,9970939596,165,575,2026-02-08T13:41:50.673584
MAHARASHTRA,Pune,DECCAN RAYS SOLAR AND ENERGY PROJETS LLP,,,info@deccanrays.com,9850503659,165,553,2026-02-08T13:41:52.310505
MAHARASHTRA,Pune,FUTURISTA TECHNOLGIES LIMITED,,,futuristatechnologiesltd@gmail.com,9822031611,162,472,2026-02-08T13:41:53.826765
MAHARASHTRA,Pune,TEJAS ENTERPRISES SAROLA,,,tejassolarservices@gmail.com,6262919162,157,528,2026-02-08T13:41:55.301284
