state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,RAIGAD,INFINITY ENTERPRISES,,,infinitysolar@gmail.com,8888321938,641,2306,2026-02-08T13:54:15.330609
MAHARASHTRA,RAIGAD,TARA POWERTECH ENGINEERING SERVICES,,,tarapowertech20@gmail.com,8208605927,369,1153,2026-02-08T13:54:16.773930
MAHARASHTRA,RAIGAD,ARKA ENTERPRISES,,,arkaenterprises1212@gmail.com,9607079919,268,852,2026-02-08T13:54:18.304359
MAHARASHTRA,RAIGAD,ZYLOGTEK INSOLATION,,,zylogtek@gmail.com,9892511356,228,897,2026-02-08T13:54:19.880769
MAHARASHTRA,RAIGAD,ANSH ENTERPRISES,,,maheshbhosale1216@gmail.com,9021408567,207,661,2026-02-08T13:54:21.415577
MAHARASHTRA,RAIGAD,DIANCHI POWER,,,dianchipower@gmail.com,9930157972,175,567,2026-02-08T13:54:22.964682
MAHARASHTRA,RAIGAD,SHREE INFOTECH,:,,srahul1@rediffmail.com,9545142221,174,576,2026-02-08T13:54:24.698359
MAHARASHTRA,RAIGAD,GIRISH ENTERPRISES,,,girish7297@gmail.com,9850036822,168,641,2026-02-08T13:54:26.186165
MAHARASHTRA,RAIGAD,ESR ELECTRICALS AND ENGINEERS,,,rajeshpatilesree@gmail.com,9823101468,163,544,2026-02-08T13:54:27.858963
MAHARASHTRA,RAIGAD,SHREE ENTERPRISES,,,shreeenterprises152000@gmail.com,8779509595,160,509,2026-02-08T13:54:29.460674
MAHARASHTRA,RAIGAD,V M ELECTRICALS,,,vmelectricals1991@gmail.com,8600500865,158,453,2026-02-08T13:54:30.917486
MAHARASHTRA,RAIGAD,ANSH ENTERPRISES,,,anshenterprises22422@gmail.com,8451916886,153,522,2026-02-08T13:54:32.358816
MAHARASHTRA,RAIGAD,7SLR SOLUTIONS,,,mhatre2626@gmail.com,8999265454,110,400,2026-02-08T13:54:33.746140
MAHARASHTRA,RAIGAD,MASCOT ELECTRONICS,,,mascotelectronics@gmail.com,8657437616,105,282,2026-02-08T13:54:35.422241
MAHARASHTRA,RAIGAD,LUMINEXA SOLAR SOLUTION,,,chavarkar@gmail.com,9422689526,93,284,2026-02-08T13:54:36.999056
MAHARASHTRA,RAIGAD,SOLARICH POWER SOLUTIONS,,,solarichpower@gmail.com,9422000155,85,299,2026-02-08T13:54:38.205845
MAHARASHTRA,RAIGAD,SHATAKASHI URJA INDIA PVT LTD,,,surya@shatakshiurja.com,8108304466,83,192,2026-02-08T13:54:39.756419
MAHARASHTRA,RAIGAD,SWARUP ENTERPRISES,,,swarupbarje@gmail.com,9028663588,79,279,2026-02-08T13:54:41.312991
MAHARASHTRA,RAIGAD,PURVESH GREEN URJA,,,purveshgreenurja@gmail.com,9082923525,67,228,2026-02-08T13:54:42.904085
MAHARASHTRA,RAIGAD,JANHAVI ENTERPRISES,,,janhavientp29@gmail.com,7887406911,67,231,2026-02-08T13:54:44.518694
MAHARASHTRA,RAIGAD,RENEO ENERGY,,,suraj@reneoenergy.com,9561510200,66,280,2026-02-08T13:54:53.412917
MAHARASHTRA,RAIGAD,RISHABH POWER SOLUTION,,,rishabhpowersolution2016@gmail.com,9823106100,65,223,2026-02-08T13:54:54.886395
MAHARASHTRA,RAIGAD,JALAL ENTERPRISES,,,jalalenterprises777@gmail.com,8149682326,63,259,2026-02-08T13:54:56.513553
MAHARASHTRA,RAIGAD,DM FABTECH,,,chaitanyamhatre789@gmail.com,8793550789,61,201,2026-02-08T13:54:57.947468
MAHARASHTRA,RAIGAD,BHASKAR SOLAR SYSTEMS,,,bhaskarsolarsystem@gmail.com,9766266140,60,218,2026-02-08T13:54:59.315598
MAHARASHTRA,RAIGAD,EISHER INDUSTRIES LLP,:,,eicherindus@gmail.com,9422095082,58,190,2026-02-08T13:55:00.873725
MAHARASHTRA,RAIGAD,SUN FRIEND POWER SOLAR SOLUTION OPC PVT LTD,,,sunfriendpower@outlook.com,7303308003,57,186,2026-02-08T13:55:02.359047
MAHARASHTRA,RAIGAD,SANJAY MARKETING CO,:,,sanjay@sanjaymarketing.com,9820008139,57,455,2026-02-08T13:55:04.017119
MAHARASHTRA,RAIGAD,V.R.ENTERPRISES,,,enterprisessolar@gmail.com,7776969063,56,178,2026-02-08T13:55:05.608859
MAHARASHTRA,RAIGAD,SOLAR POWER ENGEERING,,,iamabhijit81@gmail.com,7030584584,55,172,2026-02-08T13:55:07.160395
MAHARASHTRA,RAIGAD,NALANDA INVERTER & AIR CONDITIONER,,,nalandainverter4@gmail.com,9324178555,55,205,2026-02-08T13:55:08.636566
MAHARASHTRA,RAIGAD,TRANSPARENCY LIGHTS,,,transparencylights@gmail.com,8779027940,54,175,2026-02-08T13:55:10.224197
MAHARASHTRA,RAIGAD,DELTA ELECTRICAL AND CONSTRUCTION,,,deltaelectrical2015@gmail.com,9421166655,54,182,2026-02-08T13:55:11.721270
MAHARASHTRA,RAIGAD,VOLTX,:,,voltxservice@yahoo.com,7977556575,47,150,2026-02-08T13:55:13.323062
MAHARASHTRA,RAIGAD,SAURWATT PVT LTD PUNE,,,abhay@saurwatt.com,8308319572,44,117,2026-02-08T13:55:14.816585
MAHARASHTRA,RAIGAD,SHREE AGENCIES,,,shreeagencies21@gmail.com,9822441925,43,135,2026-02-08T13:55:16.288765
MAHARASHTRA,RAIGAD,EKVIRA AUTO ELECTRICAL WORKS,,,xcellbattery@rediffmail.com,9970404441,41,133,2026-02-08T13:55:17.882668
MAHARASHTRA,RAIGAD,SUN RAYS POWER SOLUTION,:,,sunrayspowersolution@gmail.com,8108015058,38,142,2026-02-08T13:55:19.488456
MAHARASHTRA,RAIGAD,M/S SAHYADRI SOLAR ENERGY,,,nitin@sahyadrisolarenergy.com,9082687096,38,141,2026-02-08T13:55:21.006444
MAHARASHTRA,RAIGAD,SOLUMA TECHNOLOGIES,,,aman@solumatech.com,9765797658,37,143,2026-02-08T13:55:22.751281
MAHARASHTRA,RAIGAD,INVOFIX SOLUTIONS PVT LTD,:,,invofixsolutions@gmail.com,7057200626,36,128,2026-02-08T13:55:31.066881
MAHARASHTRA,RAIGAD,SV SPARK POWER SOLUTION,,,infosvspark@gmail.com,8983541498,33,91,2026-02-08T13:55:32.593501
MAHARASHTRA,RAIGAD,NAVITOR RESOURCES PVT LTD,,,dukre@naviitorresources.com,9930977736,33,119,2026-02-08T13:55:33.991660
MAHARASHTRA,RAIGAD,SUPERLIGHT SOLUTIONS,,,solutions@gmail.com,9372000622,32,112,2026-02-08T13:55:35.485304
MAHARASHTRA,RAIGAD,RAKESH ELECTRICALS,,,rakeshwaghoskar@rediffmail.com,9850407767,29,103,2026-02-08T13:55:36.879958
MAHARASHTRA,RAIGAD,SHRAVAN ELECTRICAL,,,vilasps0603@gmail.com,7276797105,26,79,2026-02-08T13:55:38.442006
MAHARASHTRA,RAIGAD,SUDARSHAN SAUR SHAKTI PVT LTD,,,spv@sudarshansaur.com,8805356262,25,83,2026-02-08T13:55:39.941831
MAHARASHTRA,RAIGAD,NINE ENERGIES,:,,9energiesindia@gmail.com,9967546241,25,133,2026-02-08T13:55:41.440271
MAHARASHTRA,RAIGAD,SPRUCE ENERGY,,,spruceenergy@gmail.com,8484094516,24,75,2026-02-08T13:55:43.014785
MAHARASHTRA,RAIGAD,SOLAR GREEN ENERGY PVT LTD,:,,solargreenenery@gmail.com,9870365212,24,73,2026-02-08T13:55:44.416306
MAHARASHTRA,RAIGAD,SURYAKAMAL INFRA PVT.LTD.,,,sales@suryakamalinfra.com,9727756866,23,75,2026-02-08T13:55:45.906469
MAHARASHTRA,RAIGAD,KULABA ENTERPRISES,,,asbutala27@gmail.com,8208855107,23,84,2026-02-08T13:55:47.439689
MAHARASHTRA,RAIGAD,UNIQUE SOLUTION,,,uniquesolution464@gmail.com,7745046806,22,84,2026-02-08T13:55:48.995680
MAHARASHTRA,RAIGAD,SUNSHINE SOLAR PUNE,,,sunshinesolar114@gmail.com,9623177366,21,79,2026-02-08T13:55:50.623413
MAHARASHTRA,RAIGAD,SAMARTHA POWER SOLUTIONS,:,,samarthapowersolutions10@gmail.com,7875445656,21,86,2026-02-08T13:55:52.140594
