state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Ratnagiri,HINDUSTAN BLUE COAST TRADING CO.,,,vasimnaik@hbctcsolar.in,7820882265,316,1099,2026-02-08T13:57:03.383265
MAHARASHTRA,Ratnagiri,P SQUARE INCORPORATED,,,pankajdandekar@gmail.com,9422044323,171,539,2026-02-08T13:57:04.983832
MAHARASHTRA,Ratnagiri,MAISHREE SOLAR TECHNOLOGIES,,,maishree@gmail.com,9819117441,133,494,2026-02-08T13:57:06.532760
MAHARASHTRA,Ratnagiri,SAURMANDAL SOLAR,:,,saurmandalsolar@gmail.com,7020153338,97,378,2026-02-08T13:57:08.170410
MAHARASHTRA,Ratnagiri,PETKAR SOLAR SYSTEM,:,,petkar84@gmail.com,9420525641,73,240,2026-02-08T13:57:09.789556
MAHARASHTRA,Ratnagiri,SWATI DISTRIBUTORS,,,swatidistributors@gmail.com,9766960999,68,237,2026-02-08T13:57:11.202743
MAHARASHTRA,Ratnagiri,NK ENTERPRISES,,,24@gmail.com,8806989191,59,206,2026-02-08T13:57:12.748974
MAHARASHTRA,Ratnagiri,SOLARIS POWER,,,solarispower22@gmail.com,9405364521,51,170,2026-02-08T13:57:14.426488
MAHARASHTRA,Ratnagiri,SURYASHAKTI SOLAR & ELECTRICALS,,,suryashaktisolar1@gmail.com,8433529492,50,159,2026-02-08T13:57:15.947264
MAHARASHTRA,Ratnagiri,SIDDHAKALA ENTERPRISES,,,mmzagade9226781951@gmail.com,9096663434,48,165,2026-02-08T13:57:17.586172
MAHARASHTRA,Ratnagiri,SHREEYASH BATTERIES,,,shreeyashbattery@yahoo.co,9822147791,43,150,2026-02-08T13:57:19.283136
MAHARASHTRA,Ratnagiri,K SQUARE SOLUTION,,,mmkanade1@gmail.com,9822159994,40,151,2026-02-08T13:57:20.648455
MAHARASHTRA,Ratnagiri,ARIHANT SERVICES,,,arihantservices1008@gmail.com,9405710507,35,112,2026-02-08T13:57:22.176276
MAHARASHTRA,Ratnagiri,SOLARICH POWER SOLUTIONS,,,solarichpower@gmail.com,9422000155,29,110,2026-02-08T13:57:23.281658
MAHARASHTRA,Ratnagiri,PRISM ELECTRO SYSTEMS,,,prdixit@yahoo.co,9422052564,29,94,2026-02-08T13:57:24.658488
MAHARASHTRA,Ratnagiri,ECOPRIME SOLAR,,,ecoprime@gmail.com,7040176122,22,83,2026-02-08T13:57:26.220168
MAHARASHTRA,Ratnagiri,SUDARSHAN SAUR SHAKTI PVT LTD,,,spv@sudarshansaur.com,8805356262,21,76,2026-02-08T13:57:27.130858
MAHARASHTRA,Ratnagiri,SUSHAM DISTRIBUTION,,,Susham_distributor@rediffmail.com,9423286241,19,71,2026-02-08T13:57:28.824032
MAHARASHTRA,Ratnagiri,SOLAR GREEN ENERGY PVT LTD,:,,solargreenenery@gmail.com,9870365212,19,58,2026-02-08T13:57:29.909647
MAHARASHTRA,Ratnagiri,MAVEN TECH,,,Maventech2011@gmail.com,9595723399,19,59,2026-02-08T13:57:31.521118
MAHARASHTRA,Ratnagiri,KALKAI ELECTRICAL,,,omkelkar2@gmail.com,9422382459,17,49,2026-02-08T13:57:40.178643
MAHARASHTRA,Ratnagiri,"POWERTECH ELECTROSOLAR LLP, KOLHAPUR",,,powertechelectrosolar@gmail.com,7745095550,15,49,2026-02-08T13:57:41.711814
MAHARASHTRA,Ratnagiri,MITRAKSHA SOLAR AND ELECTRICAL ENERGY PVT LTD,,,msaeepvtltd2024@gmail.com,9420909787,15,50,2026-02-08T13:57:43.272893
MAHARASHTRA,Ratnagiri,LAXMI AGRO ENERGY PVT LTD,,,Laxsopumps@laxmisolar.com,8605004403,14,42,2026-02-08T13:57:44.876083
MAHARASHTRA,Ratnagiri,RENEWABLE ENERGY SYSTEM,,,balasahebmali92@gmail.com,9823075465,12,44,2026-02-08T13:57:46.521776
MAHARASHTRA,Ratnagiri,A.K.G. ELECTRICALS,,,electricals2017@gmail.com,9370606028,12,35,2026-02-08T13:57:47.908000
MAHARASHTRA,Ratnagiri,SHREE AGENCY,,,shriagencychiplun@rediffmail.com,9922817020,11,33,2026-02-08T13:57:49.596853
