state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Satara,SUN MITRA SOLAR PVT. LTD,:,,sunmitrasolar@gmail.com,9422606570,459,1266,2026-02-08T14:03:58.427831
MAHARASHTRA,Satara,YEW ENERGY SOLUTION,,,jangamsomnath118@gmail.com,8788149469,248,789,2026-02-08T14:03:59.914884
MAHARASHTRA,Satara,SIDDHESHWAR ELECTRICAL ENGINEERS AND CONTRACTOR,,,MAYURJATHAR1@GMAIL.COM,7020915056,201,657,2026-02-08T14:04:01.520326
MAHARASHTRA,Satara,RV SAURURJA,,,rvsaururja@gmail.com,9856204040,198,634,2026-02-08T14:04:03.002565
MAHARASHTRA,Satara,SHAMLEE ENTERPRISES,,,shamleeenterprises@gmail.com,9423034239,188,633,2026-02-08T14:04:04.614479
MAHARASHTRA,Satara,SEVARTH SEVA UDYOG,:,,jagtap@gmail.com,9822394934,182,618,2026-02-08T14:04:06.159239
MAHARASHTRA,Satara,KULKARNI SOLAR DYNAMICS,,,kulkarnisolardynamics@gmail.com,8600009044,181,580,2026-02-08T14:04:07.543267
MAHARASHTRA,Satara,MAHALAXMI ENTERPRISES,,,mahalaxmienterprises2121@gmail.com,9588447796,179,543,2026-02-08T14:04:09.218629
MAHARASHTRA,Satara,A K BATTERIES,,,akexidepusegaon@gmail.com,8600857518,177,620,2026-02-08T14:04:10.723075
MAHARASHTRA,Satara,GREEN SPACE ENTERPRISES,,,greenspaceent@gmail.com,8600598759,162,505,2026-02-08T14:04:12.193442
MAHARASHTRA,Satara,SOLARC GREEN ENERGY SOLUTIONS,,,satara@gmail.com,7020484738,150,470,2026-02-08T14:04:13.675165
MAHARASHTRA,Satara,VS ELECTRONICS,,,dhanashrihm123@gmail.com,7066043885,149,486,2026-02-08T14:04:14.743139
MAHARASHTRA,Satara,RIA ENTERPRISES,,,fulchand_3079@rediffmail.com,9503727157,145,545,2026-02-08T14:04:16.316602
MAHARASHTRA,Satara,SHIV SAMARTH ENTERPRIES,,,dhanesameer5285@gmail.com,9096749590,144,464,2026-02-08T14:04:17.740037
MAHARASHTRA,Satara,SWAYAMURJA RENEWABLE ENERGY PRIVATE LIMITED,,,nalawade@swayamurja.com,9604331890,136,388,2026-02-08T14:04:18.980671
MAHARASHTRA,Satara,TECHNOSKY SOLAR SYSTEM,,,technoskysolar@gmail.com,8149079292,126,457,2026-02-08T14:04:20.717872
MAHARASHTRA,Satara,H H ELECTRICAL SOLUTIONS,,,hhelectricalsol@gmail.com,9970721040,126,363,2026-02-08T14:04:22.236227
MAHARASHTRA,Satara,ECOPRIME SOLAR,,,ecoprime@gmail.com,7040176122,117,357,2026-02-08T14:04:23.125217
MAHARASHTRA,Satara,PUNCA,,,puncasolar@gmail.com,9766552381,108,369,2026-02-08T14:04:24.278545
MAHARASHTRA,Satara,DATTKRUPA ELECTRICAL AND SOLAR SOLUTION,:,,dattkrupaSolarhelp@gmail.com,7264039378,99,325,2026-02-08T14:04:25.403035
MAHARASHTRA,Satara,AMIT SALES AND SERVICES KARAD,,,bhosalepravin16@gmail.com,9422401785,99,337,2026-02-08T14:04:34.081943
MAHARASHTRA,Satara,THORAT SOLAR CORPORATION,,,thoratsolarcorporation@gmail.com,7249706713,98,313,2026-02-08T14:04:35.654138
MAHARASHTRA,Satara,SUDARSHAN SAUR SHAKTI PVT LTD,,,spv@sudarshansaur.com,8805356262,98,346,2026-02-08T14:04:37.073346
MAHARASHTRA,Satara,CHIRAYU SOLAR,,,chirayusolar@gmail.com,9822973975,96,303,2026-02-08T14:04:38.843172
MAHARASHTRA,Satara,SANDESH SOLAR AND ELECTRICALS,,,sandeshdeshmukh2002@gmail.com,7058117046,95,317,2026-02-08T14:04:40.483406
MAHARASHTRA,Satara,ECO SOLAR SOLUTIONS,,,ecosolarpune@gmail.com,7218137106,93,304,2026-02-08T14:04:42.044997
MAHARASHTRA,Satara,MS MK CONSULTING ENGINEERS,,,mkcengineers17@gmail.com,8999664793,89,274,2026-02-08T14:04:43.648932
MAHARASHTRA,Satara,GLOBAL ENGINEERS AND CONTRACTORS,,,globalengrskarad@gmail.com,9423033023,88,251,2026-02-08T14:04:45.014815
MAHARASHTRA,Satara,SHIVSURYA SOLAR SERVICES,,,help@gmail.com,9404404300,79,255,2026-02-08T14:04:46.657897
MAHARASHTRA,Satara,KSHITEEJ ENTERPRISES,,,kshiteejsolar@gmail.com,8378987206,79,242,2026-02-08T14:04:48.007758
MAHARASHTRA,Satara,"SAI ELECTRICAL & ELECTRONICS, SATARA",,,saielectricalsatara@gmail.com,7798542125,77,241,2026-02-08T14:04:49.440267
MAHARASHTRA,Satara,K K SOLAR ENERGY,,,solarenergyoffice543@gmail.com,9503717060,76,234,2026-02-08T14:04:50.988408
MAHARASHTRA,Satara,NIKHIL ELECTRICALS & ELECTRONICS,,,nikhilelectricals1905@gmail.com,7588685851,71,227,2026-02-08T14:04:52.669657
MAHARASHTRA,Satara,SUNLIT SOLAR DISTRIBUTOR,,,sunlitsolaroffice@gmail.com,9822944999,70,217,2026-02-08T14:04:54.231909
MAHARASHTRA,Satara,SOLAR WORLD,,,solarworldkarad@gmail.com,9860735888,69,226,2026-02-08T14:04:55.679025
MAHARASHTRA,Satara,SURAJ PV SOLAR,,,surajpvsolar@gmail.com,9011216448,65,212,2026-02-08T14:04:57.202776
MAHARASHTRA,Satara,ENVIKRAFT SOLAR SYSTEMS,,,envikraftsolar@gmail.com,9168323435,65,191,2026-02-08T14:04:58.699306
MAHARASHTRA,Satara,DHUMAL ELECTRICALS SERVICES,,,dhumalelectricals2017@gmail.com,9960407551,65,214,2026-02-08T14:05:00.415070
MAHARASHTRA,Satara,CSB TECH,,,csbtech@gmail.com,9923696001,63,201,2026-02-08T14:05:02.091991
MAHARASHTRA,Satara,PROSUMERS ENERGY,,,prosumersenergy@gmail.com,9665153514,62,191,2026-02-08T14:05:03.664928
MAHARASHTRA,Satara,ECO LIFE SOLAR PRODUCTS SALES & SERVICES,,,ecolifesolar@yahoo.com,9921239396,59,203,2026-02-08T14:05:11.711681
MAHARASHTRA,Satara,GREEN INFINITY VENTURES LLP,,,akash@sunlimited.in,9890754050,57,194,2026-02-08T14:05:13.211540
MAHARASHTRA,Satara,A P ELECTRICALS,,,apelectricals111@gmail.com,9763416316,57,176,2026-02-08T14:05:14.923115
MAHARASHTRA,Satara,MATOSHREE ELECTRICALS,:,,solar@gmail.com,7972473684,56,177,2026-02-08T14:05:16.564520
MAHARASHTRA,Satara,ADITYA SALES AND SERVICES,,,yewale25@gmail.com,9822990882,54,171,2026-02-08T14:05:18.175245
MAHARASHTRA,Satara,SHREE BHAIRAVNATH ENTERPRISES DAHIWADI,,,ps@gmail.com,8888337844,52,173,2026-02-08T14:05:19.845670
MAHARASHTRA,Satara,SHREE ELECTRICAL ENGINEERS AND POWERLINE CONTRACTORS KARAD,,,mayurjadhav5001@gmail.com,8806385152,47,159,2026-02-08T14:05:21.473584
MAHARASHTRA,Satara,AARUSH ELECTRICALS & CONTRACTOR,,,shende@gmail.com,9762578330,47,152,2026-02-08T14:05:23.152795
MAHARASHTRA,Satara,FARMSON ENTERPRISES,,,nil3488@gmail.com,8600933273,46,145,2026-02-08T14:05:24.884246
MAHARASHTRA,Satara,ARRAY ELECTRICALS LLP \N,,,arrayelectricalsdir@gmail.com,7038793270,46,147,2026-02-08T14:05:26.484993
MAHARASHTRA,Satara,SHRI SAMARTH ENTERPRISES,,,sagarbhais@gmail.com,8830280702,43,141,2026-02-08T14:05:28.171229
MAHARASHTRA,Satara,NILSUN ELECTRICALS,,,electricals@gmail.com,8275370696,42,137,2026-02-08T14:05:29.726496
MAHARASHTRA,Satara,ENERGY HUB,,,maneprashant900@gmail.com,8007342905,42,128,2026-02-08T14:05:31.262960
MAHARASHTRA,Satara,SHIVANSH ELECTRICALS,,,shivanshelectricalsislampur@gmail.com,9049324941,41,146,2026-02-08T14:05:32.705321
MAHARASHTRA,Satara,ANAND AGENCIES,,,anandagencieskop@gmail.com,9511706156,41,130,2026-02-08T14:05:34.468368
MAHARASHTRA,Satara,BARGALE ENERGY SOLUTIONS,,,bargaleenergysolutions@gmail.com,7020198026,40,128,2026-02-08T14:05:35.956300
MAHARASHTRA,Satara,SURYAPRABHA ELECTRICALS,,,spelectricals27@gmail.com,9370286010,39,127,2026-02-08T14:05:37.315284
MAHARASHTRA,Satara,SHREENATH ELECTRICALS PVT. LTD.,,,san_shreenath@yahoo.in,8600913598,39,113,2026-02-08T14:05:38.782100
MAHARASHTRA,Satara,SHREYA ENTERPRISES,:,,shreyaent1313@gmail.com,9763152452,37,116,2026-02-08T14:05:40.454349
MAHARASHTRA,Satara,SADGURUKRUPA ENTERPRISES,,,yogeshn1311@gmail.com,9766879605,36,107,2026-02-08T14:05:42.075142
MAHARASHTRA,Satara,RANJAN INDUSTRIES,,,ranjan28496@gmail.com,9924818113,36,100,2026-02-08T14:05:50.965425
MAHARASHTRA,Satara,SHIVOHAM ENERGIES AND SOLUTIONS,,,shivohamenergies@gmail.com,9226164545,35,114,2026-02-08T14:05:52.450211
MAHARASHTRA,Satara,SOLAR SPARK,,,solarsparkgreen@gmail.com,9004937505,34,113,2026-02-08T14:05:54.216886
MAHARASHTRA,Satara,SANJEEVANI ENTERPRISES,,,sanjeevanienterprises@gmail.com,9730193237,34,118,2026-02-08T14:05:55.685492
MAHARASHTRA,Satara,GROW MORE ELECTRICALS SATARA,,,growmore1825@gmail.com,7709845974,34,107,2026-02-08T14:05:57.268708
MAHARASHTRA,Satara,KANYARATNA ENTERPRISES,,,kanyaratna2021@gmail.com,8600301994,32,98,2026-02-08T14:05:58.825293
MAHARASHTRA,Satara,SHREE ENTERPRISES,,,vishwajeetshirke3@gmail.com,7757069393,31,100,2026-02-08T14:06:00.321316
MAHARASHTRA,Satara,P.R. COMPUTERS & PERIPHARALS,,,prcomputer@rediffmail.com,8329599010,31,100,2026-02-08T14:06:01.757706
MAHARASHTRA,Satara,STELLAR GREEN AND ENGINEERING SOLUTIONS,,,info@stellargreensolutions.com,7021745641,30,86,2026-02-08T14:06:03.222987
MAHARASHTRA,Satara,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,30,98,2026-02-08T14:06:04.820344
MAHARASHTRA,Satara,SUNENERGY ENTERPRISES,,,sunenergyenterprises1@gmail.com,7666848095,27,88,2026-02-08T14:06:06.566219
