state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Sindhudurg,SOLARICH POWER SOLUTIONS,,,solarichpower@gmail.com,9422000155,207,664,2026-02-08T14:08:00.923127
MAHARASHTRA,Sindhudurg,INDUSTRIN,,,soujanyasolar@gmail.com,9021337012,174,546,2026-02-08T14:08:02.409270
MAHARASHTRA,Sindhudurg,DEVI MAHALAXMI COMPANY,,,devimahalaxmicompany@gmail.com,9430665220,138,470,2026-02-08T14:08:03.897824
MAHARASHTRA,Sindhudurg,SUN AND SHINE ENTERPRISES,:,,onkarkorgaonkar99@gmail.com,8356020436,68,223,2026-02-08T14:08:05.582912
MAHARASHTRA,Sindhudurg,ASHANI ENTERPRISES,,,ashanienterprises@gmail.com,9404173404,61,195,2026-02-08T14:08:07.284834
MAHARASHTRA,Sindhudurg,SHREYA ENTERPRISES,:,,shreyaent1313@gmail.com,9763152452,57,193,2026-02-08T14:08:08.936356
MAHARASHTRA,Sindhudurg,SYNERGY AKSHAY URJA,,,corpkdl@gmail.com,9022711752,43,167,2026-02-08T14:08:10.416391
MAHARASHTRA,Sindhudurg,RUCHIKA ELECTRICALS,,,ruchikaelectricals@gmail.com,9405693861,43,141,2026-02-08T14:08:11.791729
MAHARASHTRA,Sindhudurg,SUSHAM DISTRIBUTION,,,Susham_distributor@rediffmail.com,9423286241,37,130,2026-02-08T14:08:13.259515
MAHARASHTRA,Sindhudurg,GURUKRUPA SOLAR,,,mjgurukrupa@gmail.com,9421146813,32,114,2026-02-08T14:08:14.514536
MAHARASHTRA,Sindhudurg,S K ENTERPRISES,:,,skenterprises2363@gmail.com,9405970002,26,94,2026-02-08T14:08:16.010555
MAHARASHTRA,Sindhudurg,SATISH ANTENA PRODUCTS,,,satishantenaproducts@gmail.com,9595595577,25,79,2026-02-08T14:08:17.432410
MAHARASHTRA,Sindhudurg,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,25,93,2026-02-08T14:08:18.876195
MAHARASHTRA,Sindhudurg,ANAND AGENCIES,,,anandagencieskop@gmail.com,9511706156,25,97,2026-02-08T14:08:20.116276
MAHARASHTRA,Sindhudurg,B TECH ELECTRICAL CONTRACTORS & DEVELOPERS,,,btechelectrical09@gmail.com,9765407108,22,72,2026-02-08T14:08:21.450221
MAHARASHTRA,Sindhudurg,M/S JAYESH ELECTRICALS,,,jaywanttandel@gmail.com,9561137888,21,74,2026-02-08T14:08:23.188945
MAHARASHTRA,Sindhudurg,DABHOLKAR SOLAR & AGROTECH IND.,,,dsaisolar@gmail.com,9404357199,21,70,2026-02-08T14:08:24.797115
MAHARASHTRA,Sindhudurg,SOLARIS GREENTECH,,,solarisgreentech21@gmail.com,9370005200,19,63,2026-02-08T14:08:26.272153
MAHARASHTRA,Sindhudurg,SAURMANDAL SOLAR,:,,saurmandalsolar@gmail.com,7020153338,17,71,2026-02-08T14:08:27.756629
MAHARASHTRA,Sindhudurg,SHRI MAHAPURUSH ELECTRICALS,,,bpkorgaonkar@gmail.com,9049933513,16,54,2026-02-08T14:08:29.396259
MAHARASHTRA,Sindhudurg,ALPI POLARIZ TECHSOL PRIVATE LIMITED,,,alan@polariz.in,9403433334,15,62,2026-02-08T14:08:37.651482
MAHARASHTRA,Sindhudurg,AAKAR BUILDING SOLUTIONS,,,aakarbuildingsolution@gmail.com,9767924059,14,53,2026-02-08T14:08:39.363354
MAHARASHTRA,Sindhudurg,APROPOS TRANSMISSION INDUSTRIES,,,aproposjdv@gmail.com,9421332109,11,37,2026-02-08T14:08:40.889701
