state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Solapur,SPARTAN TECHNOLOGIES,,,spartansolartechnologies@gmail.com,9890691178,642,2174,2026-02-08T14:09:30.364185
MAHARASHTRA,Solapur,KK ELECTRICALS AND ENGINEERS PROP KAVIRAJ BASAVRA,,,electricalsandengineers@gmail.com,9762621011,633,2122,2026-02-08T14:09:32.102266
MAHARASHTRA,Solapur,ELGRIS SOLAR POWER SYSTEMS PRIVATE LIMITED,,,sampat@elgrissolarpowersystems.com,8080098842,630,2017,2026-02-08T14:09:33.621047
MAHARASHTRA,Solapur,DAS ENGINEERING,,,dasengineering01@gmail.com,9044055005,427,1435,2026-02-08T14:09:35.357782
MAHARASHTRA,Solapur,SHRI SAMARTH ENTERPRISES,,,sagarbhais@gmail.com,8830280702,418,1413,2026-02-08T14:09:36.765646
MAHARASHTRA,Solapur,YATEE POWERTECH OPC PVT LTD,,,yateesolar@gmail.com,9142634634,415,1446,2026-02-08T14:09:38.291908
MAHARASHTRA,Solapur,SILICON SOLAR SYSTEMS,,,siliconsolarsys@gmail.com,9730404960,370,1337,2026-02-08T14:09:39.898434
MAHARASHTRA,Solapur,SUDARSHAN SAUR SHAKTI PVT LTD,,,spv@sudarshansaur.com,8805356262,345,1248,2026-02-08T14:09:41.330128
MAHARASHTRA,Solapur,DADHICHI SOLAR POWER,,,dadhichisolar@gmail.com,8329213228,324,1075,2026-02-08T14:09:42.857099
MAHARASHTRA,Solapur,SOLAPUR ENTERPRISES,,,solapurenterprises1@gmail.com,9552115732,307,1122,2026-02-08T14:09:44.344894
MAHARASHTRA,Solapur,JOGESHWARI SERVICES,:,,solarpnlproject@gmail.com,9421555089,302,1171,2026-02-08T14:09:45.656941
MAHARASHTRA,Solapur,SUNERGY SOLAR,:,,sunergypowersolar@gmail.com,9022908009,298,1047,2026-02-08T14:09:47.033992
MAHARASHTRA,Solapur,FIYSUN ENERGY PVT LTD,,,maskeaakash87@gmail.com,8830962787,281,991,2026-02-08T14:09:48.728911
MAHARASHTRA,Solapur,NATUREROOF SOLAR SYSTEM,,,natureroofsolar@gmail.com,8308086584,273,921,2026-02-08T14:09:50.275718
MAHARASHTRA,Solapur,DYNAMIC ENTERPRISES,,,dynamicenterprise2311@gmail.com,9850631961,270,877,2026-02-08T14:09:51.933002
MAHARASHTRA,Solapur,UTTAM URJA SOLAR POWER,,,sunilbedre1991@gmail.com,9765904412,260,1024,2026-02-08T14:09:53.580106
MAHARASHTRA,Solapur,VEDANT ENTERPRISES,:,,vedantenterprisesho@gmail.com,9370407525,258,956,2026-02-08T14:09:55.205650
MAHARASHTRA,Solapur,DIVYA SALES,,,divyasales01@gmail.com,9881222255,253,886,2026-02-08T14:09:56.690471
MAHARASHTRA,Solapur,TK ELECTRICALS,,,tkelectricals1511@gmail.com,9405717825,251,773,2026-02-08T14:09:58.204433
MAHARASHTRA,Solapur,SP GREEN ENERGY SOLUTIONS,,,spgreenenergy21@gmail.com,9309065115,216,754,2026-02-08T14:09:59.728588
MAHARASHTRA,Solapur,SOLIS SOLAR SYSTEMS,,,solissolar111@gmail.com,9975585382,212,709,2026-02-08T14:10:08.306830
MAHARASHTRA,Solapur,ADIRAJ ELECTRICALS,,,adirajelectricalsbarshi@gmail.com,7030721229,197,659,2026-02-08T14:10:09.792095
MAHARASHTRA,Solapur,PVR ELECTRICALS,,,pvrindustrygroup@gmail.com,9850016977,196,689,2026-02-08T14:10:11.297911
MAHARASHTRA,Solapur,SVG SOLAR POWER,,,g2002@gmail.com,9552221393,193,664,2026-02-08T14:10:12.822808
MAHARASHTRA,Solapur,N HSALAMPURE ELECTRICALS,,,nitinsalampure654@gmail.com,9552148254,181,635,2026-02-08T14:10:14.311898
MAHARASHTRA,Solapur,STELLAR ENERGY,,,infostellarenergy@gmail.com,8624020243,156,547,2026-02-08T14:10:15.658051
MAHARASHTRA,Solapur,PATIL CONSULTANCY QC AND SERVICES,,,ndmundafane@gmail.com,8668317045,155,507,2026-02-08T14:10:17.238705
MAHARASHTRA,Solapur,NEW SIDDHANATH ENTERPRISES,,,nseakluj@gmail.com,7038096999,154,522,2026-02-08T14:10:18.749860
MAHARASHTRA,Solapur,YASH ENTERPRISES,,,yashracoldsolar@gmail.com,9850563150,151,550,2026-02-08T14:10:20.331707
MAHARASHTRA,Solapur,SHREERAM ENTERPRISES,:,,workshreeramenterprises@gmail.com,9850056157,150,539,2026-02-08T14:10:22.011901
MAHARASHTRA,Solapur,SHIVA BATTERIES,,,shivabatteries999@gmail.com,9822125031,143,490,2026-02-08T14:10:23.550395
