state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Thane,SANJAY MARKETING CO,:,,sanjay@sanjaymarketing.com,9820008139,151,1010,2026-02-08T14:14:51.666279
MAHARASHTRA,Thane,HELIOS SOLUTION,,,arijeet@gmail.com,9702001408,119,420,2026-02-08T14:14:53.387990
MAHARASHTRA,Thane,UNIQUEE SOLAR SYSTEM,,,rahuldkumavat@gmail.com,9890211647,97,320,2026-02-08T14:14:54.897889
MAHARASHTRA,Thane,SPACEFIRE CORP,,,spacefirecorp@gmail.com,9833191664,68,325,2026-02-08T14:14:56.588334
MAHARASHTRA,Thane,APOLLO ENERGY,,,apolloenergypower@gmail.com,9004030960,61,253,2026-02-08T14:14:58.151749
MAHARASHTRA,Thane,GO GREEN VENTURES,,,sales@gogreenventures.in,8097666000,59,3286,2026-02-08T14:14:59.749250
MAHARASHTRA,Thane,EFI ELECTRONICS,:,,in@gmail.com,8080443330,58,234,2026-02-08T14:15:01.331556
MAHARASHTRA,Thane,3S GREEN ENGINEERING SOLUTIONS,,,3sgreenengineeringsolutions@gmail.com,9769493768,58,191,2026-02-08T14:15:02.819872
MAHARASHTRA,Thane,SUNANDA SOLAR POWER,,,sunandasolarpower@gmail.com,9595095871,53,234,2026-02-08T14:15:04.252430
MAHARASHTRA,Thane,SORYOUTH RENEWABLE ENERGY PVT LTD,,,soryouthenergy@gmail.com,9967071218,51,916,2026-02-08T14:15:05.838190
MAHARASHTRA,Thane,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,45,1652,2026-02-08T14:15:07.623591
MAHARASHTRA,Thane,PRANJAL ENTERPRISES,,,ent101112@gmail.com,9967839174,42,189,2026-02-08T14:15:09.307150
MAHARASHTRA,Thane,DIANCHI POWER,,,dianchipower@gmail.com,9930157972,40,118,2026-02-08T14:15:10.857112
MAHARASHTRA,Thane,SOLAR GREEN ENERGY PVT LTD,:,,solargreenenery@gmail.com,9870365212,39,131,2026-02-08T14:15:12.328924
MAHARASHTRA,Thane,D.S.ENTERPRISES,:,,dssolar2013@gmail.com,8767872345,39,225,2026-02-08T14:15:13.918681
MAHARASHTRA,Thane,BRITTO SOLAR ENERGY,,,brittoenergy@yahoo.com,7769966517,39,154,2026-02-08T14:15:15.599467
