state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Wardha,CRW ENTERPRISE,,,cwankhede26@gmail.com,9988110805,945,3277,2026-02-08T14:16:59.888396
MAHARASHTRA,Wardha,GANESHA SOLAR SERVICES,,,ganeshasolarservices@gmail.com,9764480287,624,2123,2026-02-08T14:17:01.495716
MAHARASHTRA,Wardha,SHREE SAI SOLAR,,,shreesaisolarr@gmail.com,7875837687,454,1603,2026-02-08T14:17:03.275479
MAHARASHTRA,Wardha,THE SOLARWALA SOLUTION,,,thesolarwalasolution@gmail.com,9765366335,392,1327,2026-02-08T14:17:04.897768
MAHARASHTRA,Wardha,A.G.N. ELECTRICALS,,,agnwardha@gmail.com,9822726988,364,1234,2026-02-08T14:17:06.464222
MAHARASHTRA,Wardha,ADITYAY SOLAR POWER SYSTEM WARDHA,,,padoleavi@gmail.com,8087256272,361,1285,2026-02-08T14:17:07.860116
MAHARASHTRA,Wardha,SHIV ELECTRICALS ENTERPRISES,,,shivelectricalsenterprises@gmail.com,9545456595,345,1164,2026-02-08T14:17:09.635192
MAHARASHTRA,Wardha,S AND S FUTURE ENERGY,,,sunilgunde21@gmail.com,8329064534,337,1156,2026-02-08T14:17:11.188938
MAHARASHTRA,Wardha,SV SOLAR NAGPUR,,,ashokbhivgade24339@gmail.com,7020331289,321,1109,2026-02-08T14:17:12.654371
MAHARASHTRA,Wardha,A S CLEAN ENERGY,,,asclean@gmail.com,9322549243,308,1255,2026-02-08T14:17:14.216858
MAHARASHTRA,Wardha,LGPS HYBRID ENERGY PVT. LTD.,,,lgpsenergy@gmail.com,8411859122,297,1041,2026-02-08T14:17:15.958032
MAHARASHTRA,Wardha,GREEN ENERGY ENTERPRISES,,,greenenergy79@gmail.com,8830040359,288,1036,2026-02-08T14:17:17.440355
MAHARASHTRA,Wardha,SSGL SUN POWER & ELETRICAL SOLUTION,,,ssglsunpower286@gmail.com,8999158482,265,962,2026-02-08T14:17:18.990684
MAHARASHTRA,Wardha,AKHILADHNYA,,,iconakhil@gmail.com,9370634433,254,898,2026-02-08T14:17:20.401802
MAHARASHTRA,Wardha,RELIABLE ENTERPRISES WARDHA,,,reliablewda@gmail.com,7719044587,252,871,2026-02-08T14:17:21.766349
MAHARASHTRA,Wardha,SIDDHIVINAYAK INDUSTRIES,,,nileshkhond007@gmail.com,9422141878,234,784,2026-02-08T14:17:23.486545
MAHARASHTRA,Wardha,S E SOLUTIONS AMRAVATI,,,sesolutionindia@gmail.com,9049672123,229,746,2026-02-08T14:17:25.023442
MAHARASHTRA,Wardha,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,215,757,2026-02-08T14:17:26.407924
MAHARASHTRA,Wardha,PHOENIX SOLAR SERVICES,,,phoenixsolarservices@gmail.com,9767816202,205,674,2026-02-08T14:17:27.881490
MAHARASHTRA,Wardha,SUN INFOTECH,,,chaudhary2@gmail.com,9021310086,188,638,2026-02-08T14:17:29.640722
MAHARASHTRA,Wardha,NVR SOLAR COMPANY WARDHA,,,bharat@gmail.com,9372493221,170,613,2026-02-08T14:17:39.502844
MAHARASHTRA,Wardha,SRIRAM SOLAR ENERGY,,,sriramsolarenergy@gmail.com,9423928723,166,584,2026-02-08T14:17:41.146970
MAHARASHTRA,Wardha,SOLARARK PROJECTS PVT.LTD,,,projectssolarark@gmail.com,9511817358,164,549,2026-02-08T14:17:42.894162
MAHARASHTRA,Wardha,RUTUJA SOLAR,,,rutujasolar@gmail.com,8855004430,159,559,2026-02-08T14:17:44.474218
MAHARASHTRA,Wardha,GBR ELECTROMECH ENGINEERS,,,ngo@gmail.com,7972747047,134,151,2026-02-08T14:17:46.075680
MAHARASHTRA,Wardha,SUNSEED POWER INDIA PRIVATE LIMITED,,,project@gmail.com,7058851258,132,438,2026-02-08T14:17:47.585632
MAHARASHTRA,Wardha,SHREE RENUKA ENTERPISES,,,srewardha2019@outlook.com,9552053338,132,466,2026-02-08T14:17:49.161781
MAHARASHTRA,Wardha,M/S V ENTERPRISES,:,,julmegautam@yahoo.in,9420063466,131,459,2026-02-08T14:17:50.650303
MAHARASHTRA,Wardha,S K ENGINEERING SALES AND SERVICES,,,skeng@gmail.com,7588559188,130,431,2026-02-08T14:17:52.129505
MAHARASHTRA,Wardha,LUBBENTECH SERVICES PVT LTD,:,,lsplltdindia@gmail.com,9503221888,128,424,2026-02-08T14:17:53.511861
MAHARASHTRA,Wardha,SWASTIK ELECTRICAL WORKS,,,swastikelework@rediffmail.com,9422143947,121,415,2026-02-08T14:17:55.144998
MAHARASHTRA,Wardha,FELIX SOLAR,,,felixsolar2019@gmail.com,9028373936,121,414,2026-02-08T14:17:56.806558
MAHARASHTRA,Wardha,PAWAR SOLAR ENTERPRISES,,,pawarsolarenterprise@gmail.com,8208982575,116,360,2026-02-08T14:17:58.336620
MAHARASHTRA,Wardha,VIDARBHA ASSOCIATE,,,botkuleshyam@gmail.com,8668625463,114,438,2026-02-08T14:18:00.036410
MAHARASHTRA,Wardha,INTELL SECURITY,,,Rashipande57@gmail.com,9665751412,107,374,2026-02-08T14:18:01.777250
MAHARASHTRA,Wardha,DAFE ELECTRICAL CONTRACTOR,,,dafeelectrical@gmail.com,8669031335,100,344,2026-02-08T14:18:03.261480
MAHARASHTRA,Wardha,SURYODAYA SOLAR ENERGY,,,suryodayasolare@gmail.com,7620679976,97,318,2026-02-08T14:18:04.955238
MAHARASHTRA,Wardha,ATUL SALES AND SERVICES AMRAVATI,,,atulgindian@gmail.com,9420274175,91,303,2026-02-08T14:18:06.713550
MAHARASHTRA,Wardha,ECO SOLAR SOLUTIONS,:,,it2402@gmail.com,9404356596,89,315,2026-02-08T14:18:08.181724
MAHARASHTRA,Wardha,ATTIREBUILD SOLUTION PRIVATE LIMITED,,,solutions@gmail.com,9371430881,86,284,2026-02-08T14:18:09.779139
MAHARASHTRA,Wardha,ADITI SOLAR SOLUTION,,,sabaleshilpa031@gmail.com,9552137075,86,301,2026-02-08T14:18:19.679756
MAHARASHTRA,Wardha,RK ELECTRICAL AND SOLAR,,,rkelectricalandsolar2020@gmail.com,8806333181,85,298,2026-02-08T14:18:20.948499
MAHARASHTRA,Wardha,KKS ELECTROTECH,,,kkselectrotech@gmail.com,9665958728,85,281,2026-02-08T14:18:22.664178
MAHARASHTRA,Wardha,SHARVILEX ENERGY,,,sharvilexenergy@gmail.com,9970731140,79,263,2026-02-08T14:18:24.243355
MAHARASHTRA,Wardha,TECHNOTIUM TECH,:,,technotiumtech@gmail.com,8788797718,78,282,2026-02-08T14:18:25.983045
MAHARASHTRA,Wardha,MEHER SOLAR SERVICES,,,mehersolarservices07@gmail.com,9923928332,77,263,2026-02-08T14:18:27.701394
MAHARASHTRA,Wardha,POWER HOUSE ENERGY,,,co@gmail.com,8390831680,75,266,2026-02-08T14:18:29.129881
MAHARASHTRA,Wardha,NATURALS ENTERPRISES,,,naturalssolar55@gmail.com,8805122252,75,295,2026-02-08T14:18:30.579573
MAHARASHTRA,Wardha,NEELARASH ENTERPRISES,,,neelarashenterprises@gmail.com,8390387865,74,279,2026-02-08T14:18:32.104044
MAHARASHTRA,Wardha,WINDSUN RENEWABLES PVT LTD,,,wrpl@gmail.com,7507472070,71,136,2026-02-08T14:18:33.480452
MAHARASHTRA,Wardha,SURYA MITRA SOLAR ENERGY,:,,vickykhadse4@gmail.com,7798300501,67,222,2026-02-08T14:18:35.114867
MAHARASHTRA,Wardha,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,66,220,2026-02-08T14:18:36.748177
MAHARASHTRA,Wardha,SHASHVAT GLOWTECH PRIVATE LIMITED,,,nagpure@gmail.com,7875252396,63,224,2026-02-08T14:18:38.208039
MAHARASHTRA,Wardha,HEATSTROM SOLAR,,,heatstromsolar@gmail.com,9975050030,63,216,2026-02-08T14:18:39.655450
MAHARASHTRA,Wardha,CHAKRADHAR ENERGY PRIVATE LIMITED,,,abhishek17@gmail.com,7058391131,63,187,2026-02-08T14:18:41.165435
MAHARASHTRA,Wardha,SAMARTH SOLAR ENERGY SERVICES,,,samarthdigi11@gmail.com,8421789809,59,194,2026-02-08T14:18:42.951687
MAHARASHTRA,Wardha,KUSHAL TRADING,,,nilesh183@gmail.com,9372733722,56,202,2026-02-08T14:18:44.709555
MAHARASHTRA,Wardha,GURUKRUPA ENTERPRISES,,,solargurukrupa@gmail.com,7588187026,56,187,2026-02-08T14:18:46.437484
MAHARASHTRA,Wardha,JIVISHA SOLAR ENERGY,,,jivishasolarenergy29@gmail.com,9421967396,55,196,2026-02-08T14:18:47.982979
MAHARASHTRA,Wardha,GREEN ENERGY SOLUTIONS,:,,ngp@gmail.com,8999365894,54,191,2026-02-08T14:18:49.590326
MAHARASHTRA,Wardha,PURE SUN INNOVATIONS,,,puresuninn@gmail.com,7387177702,53,184,2026-02-08T14:18:58.004346
MAHARASHTRA,Wardha,ABHINAV SOLAR,,,abhinavsolar16@gmail.com,8390144144,51,196,2026-02-08T14:18:59.429939
MAHARASHTRA,Wardha,TULSAI CORPORATION,,,tulsaicor11@gmail.com,8600200733,49,174,2026-02-08T14:19:01.019490
MAHARASHTRA,Wardha,SUNSRAY SOLAR,,,ajaybhagwatkar5@gmail.com,8956756111,48,167,2026-02-08T14:19:02.398282
MAHARASHTRA,Wardha,FREYR ENERGY SERVICES PVT LTD,,,liaising@freyrenergy.com,9154024405,47,169,2026-02-08T14:19:03.973528
MAHARASHTRA,Wardha,PURPLESES ENERGY PVT LTD,,,pawan123purplesesenergy@gmail.com,8007012397,46,157,2026-02-08T14:19:05.486032
MAHARASHTRA,Wardha,ARIN ENERGY,,,arinenergy@gmail.com,7020136151,46,153,2026-02-08T14:19:06.985927
MAHARASHTRA,Wardha,SHREE SAINATH SOLAR AND ELECTRICALS,,,shreesainathsolar@gmail.com,9767015123,45,155,2026-02-08T14:19:08.760261
MAHARASHTRA,Wardha,DHANSHREE ELECTRICALS,,,dhanelect6@gmail.com,9423685795,45,148,2026-02-08T14:19:10.400268
MAHARASHTRA,Wardha,SUNRISE AKSHAY URJA SHOP,,,amarbangde@yahoo.co,9325171868,43,169,2026-02-08T14:19:11.962845
MAHARASHTRA,Wardha,SOLAREELA ENTERPRISES,,,solareelaenterprises@gmail.com,7798447570,42,140,2026-02-08T14:19:13.650371
MAHARASHTRA,Wardha,SHARP ELECTRICAL AND ENGINEERING,,,sharpelectrical@outlook.com,9970290382,42,141,2026-02-08T14:19:15.383104
MAHARASHTRA,Wardha,MATRIX SOLUTIONS,:,,matrixsolutions82@gmail.com,9209304167,42,136,2026-02-08T14:19:17.070354
MAHARASHTRA,Wardha,MAA VAISHNAVI ENTERPRISES,,,vishalthombre99@gmail.com,9326926919,41,136,2026-02-08T14:19:18.401721
MAHARASHTRA,Wardha,SUNTECH SOLAR SYSTEM,,,pravinmoon84@gmail.com,8459094332,40,137,2026-02-08T14:19:19.877249
MAHARASHTRA,Wardha,SHARDAI ENERGY,,,gaikwadnilu64@gmail.com,8308684387,40,130,2026-02-08T14:19:21.296553
MAHARASHTRA,Wardha,MY SOLAR PLANT,,,mysolarplant@gmail.com,7020402764,40,158,2026-02-08T14:19:22.791731
