state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Washim,CRW ENTERPRISE,,,cwankhede26@gmail.com,9988110805,945,3277,2026-02-08T14:22:25.071593
MAHARASHTRA,Washim,GANESHA SOLAR SERVICES,,,ganeshasolarservices@gmail.com,9764480287,624,2123,2026-02-08T14:22:26.633123
MAHARASHTRA,Washim,SHREE SAI SOLAR,,,shreesaisolarr@gmail.com,7875837687,454,1603,2026-02-08T14:22:28.151762
MAHARASHTRA,Washim,THE SOLARWALA SOLUTION,,,thesolarwalasolution@gmail.com,9765366335,392,1327,2026-02-08T14:22:29.730792
MAHARASHTRA,Washim,A.G.N. ELECTRICALS,,,agnwardha@gmail.com,9822726988,364,1234,2026-02-08T14:22:31.362070
MAHARASHTRA,Washim,ADITYAY SOLAR POWER SYSTEM WARDHA,,,padoleavi@gmail.com,8087256272,361,1285,2026-02-08T14:22:32.807708
MAHARASHTRA,Washim,SHIV ELECTRICALS ENTERPRISES,,,shivelectricalsenterprises@gmail.com,9545456595,345,1164,2026-02-08T14:22:34.599140
MAHARASHTRA,Washim,S AND S FUTURE ENERGY,,,sunilgunde21@gmail.com,8329064534,337,1156,2026-02-08T14:22:36.312706
MAHARASHTRA,Washim,SV SOLAR NAGPUR,,,ashokbhivgade24339@gmail.com,7020331289,321,1109,2026-02-08T14:22:38.081824
MAHARASHTRA,Washim,A S CLEAN ENERGY,,,asclean@gmail.com,9322549243,308,1255,2026-02-08T14:22:39.605456
MAHARASHTRA,Washim,LGPS HYBRID ENERGY PVT. LTD.,,,lgpsenergy@gmail.com,8411859122,297,1041,2026-02-08T14:22:41.223787
MAHARASHTRA,Washim,GREEN ENERGY ENTERPRISES,,,greenenergy79@gmail.com,8830040359,288,1036,2026-02-08T14:22:42.688146
MAHARASHTRA,Washim,SSGL SUN POWER & ELETRICAL SOLUTION,,,ssglsunpower286@gmail.com,8999158482,265,962,2026-02-08T14:22:44.081830
MAHARASHTRA,Washim,AKHILADHNYA,,,iconakhil@gmail.com,9370634433,254,898,2026-02-08T14:22:45.702916
MAHARASHTRA,Washim,RELIABLE ENTERPRISES WARDHA,,,reliablewda@gmail.com,7719044587,252,871,2026-02-08T14:22:47.241906
MAHARASHTRA,Washim,SIDDHIVINAYAK INDUSTRIES,,,nileshkhond007@gmail.com,9422141878,234,784,2026-02-08T14:22:48.751161
MAHARASHTRA,Washim,S E SOLUTIONS AMRAVATI,,,sesolutionindia@gmail.com,9049672123,229,746,2026-02-08T14:22:50.438553
MAHARASHTRA,Washim,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,215,757,2026-02-08T14:22:51.995334
MAHARASHTRA,Washim,PHOENIX SOLAR SERVICES,,,phoenixsolarservices@gmail.com,9767816202,205,674,2026-02-08T14:22:53.617850
MAHARASHTRA,Washim,SUN INFOTECH,,,chaudhary2@gmail.com,9021310086,188,638,2026-02-08T14:22:55.121353
MAHARASHTRA,Washim,NVR SOLAR COMPANY WARDHA,,,bharat@gmail.com,9372493221,170,613,2026-02-08T14:22:56.517791
MAHARASHTRA,Washim,SRIRAM SOLAR ENERGY,,,sriramsolarenergy@gmail.com,9423928723,166,584,2026-02-08T14:22:58.093628
MAHARASHTRA,Washim,SOLARARK PROJECTS PVT.LTD,,,projectssolarark@gmail.com,9511817358,164,549,2026-02-08T14:22:59.690289
MAHARASHTRA,Washim,RUTUJA SOLAR,,,rutujasolar@gmail.com,8855004430,159,559,2026-02-08T14:23:01.187762
MAHARASHTRA,Washim,GBR ELECTROMECH ENGINEERS,,,ngo@gmail.com,7972747047,134,151,2026-02-08T14:23:02.707028
MAHARASHTRA,Washim,SUNSEED POWER INDIA PRIVATE LIMITED,,,project@gmail.com,7058851258,132,438,2026-02-08T14:23:04.401647
MAHARASHTRA,Washim,SHREE RENUKA ENTERPISES,,,srewardha2019@outlook.com,9552053338,132,466,2026-02-08T14:23:05.854401
MAHARASHTRA,Washim,M/S V ENTERPRISES,:,,julmegautam@yahoo.in,9420063466,131,459,2026-02-08T14:23:07.469352
MAHARASHTRA,Washim,S K ENGINEERING SALES AND SERVICES,,,skeng@gmail.com,7588559188,130,431,2026-02-08T14:23:09.227173
MAHARASHTRA,Washim,LUBBENTECH SERVICES PVT LTD,:,,lsplltdindia@gmail.com,9503221888,128,424,2026-02-08T14:23:10.835921
MAHARASHTRA,Washim,SWASTIK ELECTRICAL WORKS,,,swastikelework@rediffmail.com,9422143947,121,415,2026-02-08T14:23:12.283106
MAHARASHTRA,Washim,FELIX SOLAR,,,felixsolar2019@gmail.com,9028373936,121,414,2026-02-08T14:23:13.904070
MAHARASHTRA,Washim,PAWAR SOLAR ENTERPRISES,,,pawarsolarenterprise@gmail.com,8208982575,116,360,2026-02-08T14:23:15.430681
MAHARASHTRA,Washim,VIDARBHA ASSOCIATE,,,botkuleshyam@gmail.com,8668625463,114,438,2026-02-08T14:23:16.996933
MAHARASHTRA,Washim,INTELL SECURITY,,,Rashipande57@gmail.com,9665751412,107,374,2026-02-08T14:23:18.471848
MAHARASHTRA,Washim,DAFE ELECTRICAL CONTRACTOR,,,dafeelectrical@gmail.com,8669031335,100,344,2026-02-08T14:23:20.107632
MAHARASHTRA,Washim,SURYODAYA SOLAR ENERGY,,,suryodayasolare@gmail.com,7620679976,97,318,2026-02-08T14:23:21.751201
MAHARASHTRA,Washim,ATUL SALES AND SERVICES AMRAVATI,,,atulgindian@gmail.com,9420274175,91,303,2026-02-08T14:23:23.262436
MAHARASHTRA,Washim,ECO SOLAR SOLUTIONS,:,,it2402@gmail.com,9404356596,89,315,2026-02-08T14:23:24.990361
MAHARASHTRA,Washim,ATTIREBUILD SOLUTION PRIVATE LIMITED,,,solutions@gmail.com,9371430881,86,284,2026-02-08T14:23:26.745002
MAHARASHTRA,Washim,ADITI SOLAR SOLUTION,,,sabaleshilpa031@gmail.com,9552137075,86,301,2026-02-08T14:23:28.178153
MAHARASHTRA,Washim,RK ELECTRICAL AND SOLAR,,,rkelectricalandsolar2020@gmail.com,8806333181,85,298,2026-02-08T14:23:29.725610
MAHARASHTRA,Washim,KKS ELECTROTECH,,,kkselectrotech@gmail.com,9665958728,85,281,2026-02-08T14:23:31.196556
MAHARASHTRA,Washim,SHARVILEX ENERGY,,,sharvilexenergy@gmail.com,9970731140,79,263,2026-02-08T14:23:32.911518
MAHARASHTRA,Washim,TECHNOTIUM TECH,:,,technotiumtech@gmail.com,8788797718,78,282,2026-02-08T14:23:34.533834
MAHARASHTRA,Washim,MEHER SOLAR SERVICES,,,mehersolarservices07@gmail.com,9923928332,77,263,2026-02-08T14:23:35.886959
MAHARASHTRA,Washim,POWER HOUSE ENERGY,,,co@gmail.com,8390831680,75,266,2026-02-08T14:23:37.523689
MAHARASHTRA,Washim,NATURALS ENTERPRISES,,,naturalssolar55@gmail.com,8805122252,75,295,2026-02-08T14:23:39.008437
MAHARASHTRA,Washim,NEELARASH ENTERPRISES,,,neelarashenterprises@gmail.com,8390387865,74,279,2026-02-08T14:23:40.551168
MAHARASHTRA,Washim,WINDSUN RENEWABLES PVT LTD,,,wrpl@gmail.com,7507472070,71,136,2026-02-08T14:23:41.989626
MAHARASHTRA,Washim,SURYA MITRA SOLAR ENERGY,:,,vickykhadse4@gmail.com,7798300501,67,222,2026-02-08T14:23:43.546830
MAHARASHTRA,Washim,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,66,220,2026-02-08T14:23:44.998643
MAHARASHTRA,Washim,SHASHVAT GLOWTECH PRIVATE LIMITED,,,nagpure@gmail.com,7875252396,63,224,2026-02-08T14:23:46.372883
MAHARASHTRA,Washim,HEATSTROM SOLAR,,,heatstromsolar@gmail.com,9975050030,63,216,2026-02-08T14:23:48.093358
MAHARASHTRA,Washim,CHAKRADHAR ENERGY PRIVATE LIMITED,,,abhishek17@gmail.com,7058391131,63,187,2026-02-08T14:23:49.723097
MAHARASHTRA,Washim,SAMARTH SOLAR ENERGY SERVICES,,,samarthdigi11@gmail.com,8421789809,59,194,2026-02-08T14:23:51.251884
MAHARASHTRA,Washim,KUSHAL TRADING,,,nilesh183@gmail.com,9372733722,56,202,2026-02-08T14:23:52.811842
