state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Yavatmal,SHRIFAL ELECTRICAL AGENCIES,,,shrifal_ajay@yahoo.co,9881268236,527,1977,2026-02-08T14:27:31.959231
MAHARASHTRA,Yavatmal,ANUSHREE ELECTRICAL AND POWER SOLUTIONS,,,gawandedipak851@gmail.com,8530813101,405,1320,2026-02-08T14:27:33.568361
MAHARASHTRA,Yavatmal,MADHUPUSHPA STONE CRUSHER,,,gajanankod@gmail.com,9423212193,377,1333,2026-02-08T14:27:35.348625
MAHARASHTRA,Yavatmal,SAMRUDDHI ELECTRICALS AND ENGINEERING,,,SOHAMJIRAPURE16@gmail.com,9011646515,360,1408,2026-02-08T14:27:36.738865
MAHARASHTRA,Yavatmal,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,334,1232,2026-02-08T14:27:37.917405
MAHARASHTRA,Yavatmal,NOVSUN SOLAR TECHNOLOGIES,,,info@novsunsolar.com,9699291105,310,1031,2026-02-08T14:27:39.723326
MAHARASHTRA,Yavatmal,NEW ROYAL SOLAR AGENCY,,,mdmuzammil366@gmail.com,8888095317,294,1032,2026-02-08T14:27:41.218400
MAHARASHTRA,Yavatmal,SRIJAL ENTERPRISES,,,srijalenterprises@yahoo.com,9822934172,289,1032,2026-02-08T14:27:42.641720
MAHARASHTRA,Yavatmal,NEXTECH INFINITY SOLAR PVT LTD,,,nextechinfinity@gmail.com,9145626999,230,842,2026-02-08T14:27:44.330536
MAHARASHTRA,Yavatmal,MEGAWATTS RESOURCES AND SOLUTIONS,,,megawattsresourcess@gmail.com,8668902899,223,746,2026-02-08T14:27:45.591687
MAHARASHTRA,Yavatmal,VED SOLAR SYSTEM WANI,,,vedsolar@gmail.com,9921026875,222,879,2026-02-08T14:27:47.099247
MAHARASHTRA,Yavatmal,MAHATMA FULE WIREMAN INDUSTRIAL CO-OPERATIVE SOCIETY,,,mahatmafuleytl@gmail.com,7350736737,220,805,2026-02-08T14:27:48.575529
MAHARASHTRA,Yavatmal,NIRMAL SOLAR AND AGRI SOLUTIONS,:,,nirmalsolar7@gmail.com,9822242618,212,807,2026-02-08T14:27:49.973720
MAHARASHTRA,Yavatmal,AMG SALE & SERVICE,,,racold@gmail.com,9423244844,204,755,2026-02-08T14:27:51.529370
MAHARASHTRA,Yavatmal,EXTREME MACHINES,,,extrememachines@rediffmail.com,9422167121,194,751,2026-02-08T14:27:53.168294
MAHARASHTRA,Yavatmal,GREEN SUN SOLARIZE,,,greensunsolarize@gmail.com,9561132922,166,687,2026-02-08T14:27:54.211520
MAHARASHTRA,Yavatmal,YASH ENTERPRISES,,,shailesh6665@gmail.com,9822561450,159,585,2026-02-08T14:27:55.548633
MAHARASHTRA,Yavatmal,MY SOLAR PLANT,,,mysolarplant@gmail.com,7020402764,146,554,2026-02-08T14:27:56.658124
MAHARASHTRA,Yavatmal,PARRIKRRAMA SOLUTIONS PRIVATE LIMITED,,,ketan@parrikrrama.com,9960717913,142,558,2026-02-08T14:27:58.390340
MAHARASHTRA,Yavatmal,PADMANABH ELECTRICALS AND TECHNOLOGIES,,,sanketdeshpande2012@gmail.com,9405502225,136,505,2026-02-08T14:27:59.764832
MAHARASHTRA,Yavatmal,GLOBAL TECHNOLOGIES,,,globalsalesamt@gmail.com,8390770470,121,426,2026-02-08T14:28:09.476657
MAHARASHTRA,Yavatmal,ECLIMATE SOLAR PVT. LTD.,,,eclimateoffice@gmail.com,9028686842,120,432,2026-02-08T14:28:11.035348
MAHARASHTRA,Yavatmal,VIDARBHA ENTERPRISES,,,vidarbhaenter@gmail.com,8007737860,119,411,2026-02-08T14:28:12.732093
MAHARASHTRA,Yavatmal,V K INFRA,,,khivasaravipul@gmail.com,7038374552,119,459,2026-02-08T14:28:14.373453
MAHARASHTRA,Yavatmal,SHRI JAL ENTERPRISES,,,shrijalwani@gmail.com,9011320012,117,458,2026-02-08T14:28:15.902162
MAHARASHTRA,Yavatmal,JAI JAGANATH ELECTRICALS AND CONTRACTORS,,,chopane@gmail.com,8888654322,111,443,2026-02-08T14:28:17.555756
MAHARASHTRA,Yavatmal,CRW ENTERPRISE,,,cwankhede26@gmail.com,9988110805,109,378,2026-02-08T14:28:19.190416
MAHARASHTRA,Yavatmal,BHARAT SALES & SERVICES,,,bharatmobilesytl@gmail.com,9156050111,105,368,2026-02-08T14:28:20.851804
MAHARASHTRA,Yavatmal,NIHAL ELECTRICAL AND ELECTRONICS,,,nihalbhalar@gmail.com,9822461325,104,340,2026-02-08T14:28:22.321899
MAHARASHTRA,Yavatmal,GS ELECTRICALS AND INFRASTRUCTURES,,,gauravsurawar137@gmail.com,8855993382,100,340,2026-02-08T14:28:23.855815
MAHARASHTRA,Yavatmal,GEETA INFRA,,,agugilwar07@gmail.com,9011853707,93,314,2026-02-08T14:28:25.166942
MAHARASHTRA,Yavatmal,SUNSEED POWER INDIA PRIVATE LIMITED,,,project@gmail.com,7058851258,90,316,2026-02-08T14:28:26.486642
MAHARASHTRA,Yavatmal,VRUNDAVAN SOLAR AND AGRI SOLUTIONS,,,vrundavansolar7@gmail.com,9067763901,89,325,2026-02-08T14:28:28.066418
MAHARASHTRA,Yavatmal,DSP BROTHERS ELECTRICAL & CONTRACTOR,,,bhopleab1@gmail.com,9890938247,83,311,2026-02-08T14:28:29.543555
MAHARASHTRA,Yavatmal,R S BATTERY AND INVERTER,,,rsbattery98@gmail.com,9823541810,81,299,2026-02-08T14:28:31.020089
MAHARASHTRA,Yavatmal,M/S K SAGAR ELECTRICALS YAVATMAL,,,pravinkshirsagar06@gmail.com,7875489966,78,280,2026-02-08T14:28:32.754276
MAHARASHTRA,Yavatmal,SURYA SOLAR ENERGY,,,suryasolarenergy369@gmail.com,7779995191,76,378,2026-02-08T14:28:34.381980
MAHARASHTRA,Yavatmal,PANKAJ AUTOMOBILES,,,bajoriasanjeev@rediffmail.com,9822234646,74,268,2026-02-08T14:28:35.945716
MAHARASHTRA,Yavatmal,SUBHAR SOLAR,,,subharsolar@gmail.com,9689198247,69,242,2026-02-08T14:28:37.428707
MAHARASHTRA,Yavatmal,"SUNSHINE ENGINEERING, AKOLA",,,solarengineering@yahoo.com,7972801871,68,239,2026-02-08T14:28:38.965457
MAHARASHTRA,Yavatmal,J H SOLAR ENERGY,,,svrathod3@gmail.com,9822608333,68,256,2026-02-08T14:28:47.656625
