state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MANIPUR,IMPHAL WEST,LUREL TARET ENTERPRISE,,,lureltaret@gmail.com,7640875380,86,342,2026-02-08T14:35:51.545775
MANIPUR,IMPHAL WEST,S.S. ELECTRONICS PROP S. SARATCHANDRA SINGH,,,sssingsse@gmail.com,8974571965,84,390,2026-02-08T14:35:53.009320
MANIPUR,IMPHAL WEST,MAAITO AND SONS PVT. LTD,,,maaitoandsons@gmail.com,6006681415,59,219,2026-02-08T14:35:54.502744
MANIPUR,IMPHAL WEST,M/S PREM TRADERS,,,premtraders2k@gmail.com,7005401458,54,227,2026-02-08T14:35:56.091761
MANIPUR,IMPHAL WEST,CRK VENTURES PRIVATE LIMITED,,,crkventurespvtltd@gmail.com,9233176366,34,134,2026-02-08T14:35:57.805947
MANIPUR,IMPHAL WEST,ELECTROCYBERNETICS,,,CARE@ELECTROCYBERNETICS.COM,6909369699,22,84,2026-02-08T14:35:59.329473
MANIPUR,IMPHAL WEST,M/S SHYAMA ENTERPRISES,,,shyamasolar@gmail.com,9910699331,21,84,2026-02-08T14:36:00.453453
MANIPUR,IMPHAL WEST,KOROU ENTERPRISES,,,nkenedyningthoujam84@gmail.com,8837432143,21,97,2026-02-08T14:36:01.593361
MANIPUR,IMPHAL WEST,M/S ANGOMCHA TRADERS,,,angomnilbirs@gmail.com,7005950262,18,77,2026-02-08T14:36:02.920296
MANIPUR,IMPHAL WEST,M/S LANCHENBI ENTERPRISES,,,shyamtoijam@gmail.com,7085971805,16,51,2026-02-08T14:36:04.097780
MANIPUR,IMPHAL WEST,SANATOMBA ENTERPRISES,,,wakambamsanatomba62@gmail.com,9774259106,15,57,2026-02-08T14:36:05.490616
