state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
NCT OF DELHI,North West,BHAMBRI SOLAR PRIVATE,:,,info@bhambrienterprises.com,9811759494,207,990,2026-02-08T15:22:25.170310
NCT OF DELHI,North West,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,190,890,2026-02-08T15:22:26.504011
NCT OF DELHI,North West,MN ENERGY AND INFRA PRIVATE LIMITED,,,info@mnenergy.in,9220131444,178,676,2026-02-08T15:22:27.912165
NCT OF DELHI,North West,GSBE SOLAR PVT.LTD.,:,,brijmohangoel1@gmail.com,9899221663,164,647,2026-02-08T15:22:29.439059
NCT OF DELHI,North West,EASTERN LIGHT AND POWER PVT. LTD.,,,netmetering@itsmysun.com,9818230950,161,704,2026-02-08T15:22:30.774927
NCT OF DELHI,North West,RUPRIBHA ELECTRICALS (OPC) PVT. LTD,,,rupribha@gmail.com,9999100180,124,485,2026-02-08T15:22:31.816224
NCT OF DELHI,North West,UPM CONSULTANCY,:,,ganpatjha@gmail.com,7011639920,113,424,2026-02-08T15:22:33.328319
NCT OF DELHI,North West,ENERGIFIC SOLAR PRIVATE LIMITED,,,energificsolar@gmail.com,9599035315,94,493,2026-02-08T15:22:34.734324
NCT OF DELHI,North West,GEOPOWER INDIA PRIVATE LIMITED,:,,GEOPOWERINDIA@GMAIL.COM,9999888118,92,408,2026-02-08T15:22:36.033154
NCT OF DELHI,North West,ROSOL ENERGY PRIVATE LIMITED,,,rosolindia@gmail.com,8448446252,85,410,2026-02-08T15:22:36.962360
NCT OF DELHI,North West,SOLARIUM GREEN ENERGY LIMITED,,,np@solariumenergy.in,9687133338,67,251,2026-02-08T15:22:38.181337
NCT OF DELHI,North West,KUBER OVERSEAS,,,kuberoverseas1991@gmail.com,8800328565,62,234,2026-02-08T15:22:39.491907
NCT OF DELHI,North West,THERMOSUN ENGINEERING & POWER INDIA PVT. LTD.,,,thermosunpower@gmail.com,8077914097,55,209,2026-02-08T15:22:40.585240
NCT OF DELHI,North West,ASTEROCK ENERGY PRIVATE LIMITED,:,,info@asterockenergy.com,8882470592,52,221,2026-02-08T15:22:42.254258
NCT OF DELHI,North West,KILOWATT SOLAR,:,,kwsolar@gmail.com,7982444915,47,162,2026-02-08T15:22:43.833090
NCT OF DELHI,North West,KGR SOLAR ENERGY PVT. LTD,,,kgrsolarenergy@gmail.com,9899334848,46,166,2026-02-08T15:22:45.513992
NCT OF DELHI,North West,ACHIEVERS (FORMERLY KNOWN AS ACHIEVERS),,,rk_achiever@yahoo.com,9990884684,45,188,2026-02-08T15:22:47.076159
NCT OF DELHI,North West,VOLTAICS ALPHA PV T LTD (FORMERLY KNOWN AS VOLTAICS ALPHA PRIVATE LIMITED),:,,mail@voltaicsalpha.com,9958419124,42,163,2026-02-08T15:22:48.539207
NCT OF DELHI,North West,ROCKER SOLAR SOLUTIONS PRIVATE LIMITED,,,mukul@rockersolar.com,9555375753,37,132,2026-02-08T15:22:49.767077
NCT OF DELHI,North West,PARBHAKAR SHAKTI SOLAR PROJECTS & TECHNICAL CONSULTANT,,,pssolarprojects@gmail.com,9810082403,37,157,2026-02-08T15:22:50.726488
NCT OF DELHI,North West,SUN POWER SOLAR SOLUTION,,,sunpowersolarsol@gmail.com,7892795018,27,94,2026-02-08T15:22:59.360313
NCT OF DELHI,North West,SUNWAVE INFRATEL,,,arungupta@sunwaveinfratel.com,7428569431,25,130,2026-02-08T15:23:00.987962
NCT OF DELHI,North West,CELRON VENTURES PVT LTD,,,jogesh@celron.in,9810271842,25,112,2026-02-08T15:23:02.449329
NCT OF DELHI,North West,VALUE PLUS RETAIL PVT LTD,,,agarwal@valueplusretail.com,9205995795,24,99,2026-02-08T15:23:04.028246
NCT OF DELHI,North West,R E ENGINEERS,,,reengineers17@gmail.com,9310251106,24,84,2026-02-08T15:23:05.610327
NCT OF DELHI,North West,SAKSHAM URJA,,,sakshamurja@gmail.com,9711131084,23,72,2026-02-08T15:23:07.275640
NCT OF DELHI,North West,JM SOLAR FARMER RENEWABLE ENERGY PVT. LTD.,:,,solarfarmer@gmail.com,9991114686,23,103,2026-02-08T15:23:08.649020
NCT OF DELHI,North West,BRIDGEWAY POWER SERVICES PVT. LTD.,,,CUSTOMERSUPPORT@BRIDGEWAYPOWER.IN,9069324494,22,87,2026-02-08T15:23:10.106619
NCT OF DELHI,North West,VIDYUT INDUSTRIAL PRODUCTS,,,infogvidyut@gmail.com,9811144404,21,87,2026-02-08T15:23:11.428179
NCT OF DELHI,North West,DIVY POWER PVT. LTD.,,,admin@divypower.com,7065028803,20,86,2026-02-08T15:23:12.992036
NCT OF DELHI,North West,FUJIYAMA POWER SYSTEMS PRIVATE LIMITED,,,kumar@fujiyama.in,9899337928,19,83,2026-02-08T15:23:14.554224
NCT OF DELHI,North West,SHRAVYA SOLAR TECHNOLOGIES PVT LTD,,,shravyasolartech@gmail.com,9588522564,18,77,2026-02-08T15:23:15.904539
NCT OF DELHI,North West,VKS POWER INDIA SYSTEM,,,vkspowerindiasystem@gmail.com,9711110136,17,52,2026-02-08T15:23:17.533097
NCT OF DELHI,North West,HS ENTERPRISES (FORMERLY KNOWN AS HS ENTERPRISES),,,hsenterprises0720@gmail.com,7827777611,17,109,2026-02-08T15:23:18.989228
NCT OF DELHI,North West,EXOLAR ENERGY PRIVATE LIMITED,,,info@exolarenergy.com,9319082512,17,77,2026-02-08T15:23:20.658925
NCT OF DELHI,North West,EKO SOLUTIONS INC,:,,Praveen@solarfieldsinc.com,9555251808,17,80,2026-02-08T15:23:22.066425
NCT OF DELHI,North West,SOLAR SMITH ENERGY PRIVATE LIMITED,,,goel@solarsmiths.com,9958121572,15,70,2026-02-08T15:23:23.551813
NCT OF DELHI,North West,Y2 SOLAR,,,nitin@y2solar.com,8889997610,14,60,2026-02-08T15:23:24.954245
NCT OF DELHI,North West,LANSISO INNOVATION TECHNOLOGY,,,sarita@lansisotech.com,9310811200,14,54,2026-02-08T15:23:26.363280
NCT OF DELHI,North West,XPANZ ENERGY SOLUTIONS LLP,,,xpanzsolar@gmail.com,9193939378,13,53,2026-02-08T15:23:27.944190
NCT OF DELHI,North West,VERDE SOLAIRE PVT LTD,,,punitnsingh@gmail.com,8826318849,13,45,2026-02-08T15:23:37.690257
NCT OF DELHI,North West,SUCCESS IMPEX PVT LTD,:,,shubhaanggupta@gmail.com,9810288787,13,54,2026-02-08T15:23:39.219415
NCT OF DELHI,North West,BLUENEBA TECHNOLOGIES PVT LTD,,,info@blueneba.com,9999277000,13,59,2026-02-08T15:23:40.886232
NCT OF DELHI,North West,T4 SOLAR SERVICES,:,,subsidy@t4solar.in,9311144511,12,61,2026-02-08T15:23:42.360659
NCT OF DELHI,North West,SUN STAR SERVICES,,,sunstar@gmail.com,8010005740,11,45,2026-02-08T15:23:44.068858
