state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
NCT OF DELHI,West,BHAMBRI SOLAR PRIVATE,:,,info@bhambrienterprises.com,9811759494,207,990,2026-02-08T15:28:23.407915
NCT OF DELHI,West,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,190,890,2026-02-08T15:28:24.840230
NCT OF DELHI,West,MN ENERGY AND INFRA PRIVATE LIMITED,,,info@mnenergy.in,9220131444,178,676,2026-02-08T15:28:25.882036
NCT OF DELHI,West,GSBE SOLAR PVT.LTD.,:,,brijmohangoel1@gmail.com,9899221663,164,647,2026-02-08T15:28:27.241991
NCT OF DELHI,West,EASTERN LIGHT AND POWER PVT. LTD.,,,netmetering@itsmysun.com,9818230950,161,704,2026-02-08T15:28:28.295996
NCT OF DELHI,West,RUPRIBHA ELECTRICALS (OPC) PVT. LTD,,,rupribha@gmail.com,9999100180,124,485,2026-02-08T15:28:29.634348
NCT OF DELHI,West,UPM CONSULTANCY,:,,ganpatjha@gmail.com,7011639920,113,424,2026-02-08T15:28:31.398499
NCT OF DELHI,West,ENERGIFIC SOLAR PRIVATE LIMITED,,,energificsolar@gmail.com,9599035315,94,493,2026-02-08T15:28:32.611416
NCT OF DELHI,West,GEOPOWER INDIA PRIVATE LIMITED,:,,GEOPOWERINDIA@GMAIL.COM,9999888118,92,408,2026-02-08T15:28:34.052785
NCT OF DELHI,West,ROSOL ENERGY PRIVATE LIMITED,,,rosolindia@gmail.com,8448446252,85,410,2026-02-08T15:28:35.578909
NCT OF DELHI,West,SOLARIUM GREEN ENERGY LIMITED,,,np@solariumenergy.in,9687133338,67,251,2026-02-08T15:28:36.695659
NCT OF DELHI,West,KUBER OVERSEAS,,,kuberoverseas1991@gmail.com,8800328565,62,234,2026-02-08T15:28:37.950222
NCT OF DELHI,West,THERMOSUN ENGINEERING & POWER INDIA PVT. LTD.,,,thermosunpower@gmail.com,8077914097,55,209,2026-02-08T15:28:39.061397
NCT OF DELHI,West,ASTEROCK ENERGY PRIVATE LIMITED,:,,info@asterockenergy.com,8882470592,52,221,2026-02-08T15:28:40.323407
NCT OF DELHI,West,KILOWATT SOLAR,:,,kwsolar@gmail.com,7982444915,47,162,2026-02-08T15:28:41.627806
NCT OF DELHI,West,KGR SOLAR ENERGY PVT. LTD,,,kgrsolarenergy@gmail.com,9899334848,46,166,2026-02-08T15:28:43.199391
NCT OF DELHI,West,ACHIEVERS (FORMERLY KNOWN AS ACHIEVERS),,,rk_achiever@yahoo.com,9990884684,45,188,2026-02-08T15:28:44.799434
NCT OF DELHI,West,VOLTAICS ALPHA PV T LTD (FORMERLY KNOWN AS VOLTAICS ALPHA PRIVATE LIMITED),:,,mail@voltaicsalpha.com,9958419124,42,163,2026-02-08T15:28:46.265340
NCT OF DELHI,West,ROCKER SOLAR SOLUTIONS PRIVATE LIMITED,,,mukul@rockersolar.com,9555375753,37,132,2026-02-08T15:28:47.895623
NCT OF DELHI,West,PARBHAKAR SHAKTI SOLAR PROJECTS & TECHNICAL CONSULTANT,,,pssolarprojects@gmail.com,9810082403,37,157,2026-02-08T15:28:48.951114
NCT OF DELHI,West,SUN POWER SOLAR SOLUTION,,,sunpowersolarsol@gmail.com,7892795018,27,94,2026-02-08T15:28:57.293588
NCT OF DELHI,West,SUNWAVE INFRATEL,,,arungupta@sunwaveinfratel.com,7428569431,25,130,2026-02-08T15:28:58.956028
NCT OF DELHI,West,CELRON VENTURES PVT LTD,,,jogesh@celron.in,9810271842,25,112,2026-02-08T15:29:00.633251
NCT OF DELHI,West,VALUE PLUS RETAIL PVT LTD,,,agarwal@valueplusretail.com,9205995795,24,99,2026-02-08T15:29:02.302784
NCT OF DELHI,West,R E ENGINEERS,,,reengineers17@gmail.com,9310251106,24,84,2026-02-08T15:29:03.947680
NCT OF DELHI,West,SAKSHAM URJA,,,sakshamurja@gmail.com,9711131084,23,72,2026-02-08T15:29:05.411455
NCT OF DELHI,West,JM SOLAR FARMER RENEWABLE ENERGY PVT. LTD.,:,,solarfarmer@gmail.com,9991114686,23,103,2026-02-08T15:29:07.066303
NCT OF DELHI,West,BRIDGEWAY POWER SERVICES PVT. LTD.,,,CUSTOMERSUPPORT@BRIDGEWAYPOWER.IN,9069324494,22,87,2026-02-08T15:29:08.695942
NCT OF DELHI,West,VIDYUT INDUSTRIAL PRODUCTS,,,infogvidyut@gmail.com,9811144404,21,87,2026-02-08T15:29:10.223334
NCT OF DELHI,West,DIVY POWER PVT. LTD.,,,admin@divypower.com,7065028803,20,86,2026-02-08T15:29:11.718432
NCT OF DELHI,West,FUJIYAMA POWER SYSTEMS PRIVATE LIMITED,,,kumar@fujiyama.in,9899337928,19,83,2026-02-08T15:29:13.466550
NCT OF DELHI,West,SHRAVYA SOLAR TECHNOLOGIES PVT LTD,,,shravyasolartech@gmail.com,9588522564,18,77,2026-02-08T15:29:15.061186
NCT OF DELHI,West,VKS POWER INDIA SYSTEM,,,vkspowerindiasystem@gmail.com,9711110136,17,52,2026-02-08T15:29:16.539376
NCT OF DELHI,West,HS ENTERPRISES (FORMERLY KNOWN AS HS ENTERPRISES),,,hsenterprises0720@gmail.com,7827777611,17,109,2026-02-08T15:29:18.235421
NCT OF DELHI,West,EXOLAR ENERGY PRIVATE LIMITED,,,info@exolarenergy.com,9319082512,17,77,2026-02-08T15:29:19.783817
NCT OF DELHI,West,EKO SOLUTIONS INC,:,,Praveen@solarfieldsinc.com,9555251808,17,80,2026-02-08T15:29:21.475703
NCT OF DELHI,West,SOLAR SMITH ENERGY PRIVATE LIMITED,,,goel@solarsmiths.com,9958121572,15,70,2026-02-08T15:29:23.036853
NCT OF DELHI,West,Y2 SOLAR,,,nitin@y2solar.com,8889997610,14,60,2026-02-08T15:29:24.582833
NCT OF DELHI,West,LANSISO INNOVATION TECHNOLOGY,,,sarita@lansisotech.com,9310811200,14,54,2026-02-08T15:29:26.221530
NCT OF DELHI,West,XPANZ ENERGY SOLUTIONS LLP,,,xpanzsolar@gmail.com,9193939378,13,53,2026-02-08T15:29:27.746957
NCT OF DELHI,West,VERDE SOLAIRE PVT LTD,,,punitnsingh@gmail.com,8826318849,13,45,2026-02-08T15:29:36.805765
NCT OF DELHI,West,SUCCESS IMPEX PVT LTD,:,,shubhaanggupta@gmail.com,9810288787,13,54,2026-02-08T15:29:38.270529
NCT OF DELHI,West,BLUENEBA TECHNOLOGIES PVT LTD,,,info@blueneba.com,9999277000,13,59,2026-02-08T15:29:39.634021
NCT OF DELHI,West,T4 SOLAR SERVICES,:,,subsidy@t4solar.in,9311144511,12,61,2026-02-08T15:29:41.122952
NCT OF DELHI,West,SUN STAR SERVICES,,,sunstar@gmail.com,8010005740,11,45,2026-02-08T15:29:42.468637
