state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Balangir,JAINAM ENERGIES,,,jainamenergies@gmail.com,9438274926,169,572,2026-02-08T15:31:36.688274
ODISHA,Balangir,SHANKAR ENTERPRISESS,,,atspatnagarh@gmail.com,9937061008,123,378,2026-02-08T15:31:38.163244
ODISHA,Balangir,SAURASHAKTI SOLAR,,,saurashaktisolar123@gmail.com,6371682657,114,379,2026-02-08T15:31:39.593615
ODISHA,Balangir,TOTAL SOLAR SOLUTIONS BPT,,,samyak21mishra@gmail.com,9999846976,104,322,2026-02-08T15:31:41.181317
ODISHA,Balangir,GREENLIGHT PLANET INDIA PRIVATE LIMITED,,,abhinash@sunking.com,9776319999,71,217,2026-02-08T15:31:42.673416
ODISHA,Balangir,SHRI RAM TEC,:,,sgriramtecodisha@gmail.com,9937130419,56,194,2026-02-08T15:31:44.137969
ODISHA,Balangir,NARAYANI DISTRIBUTORS,,,narayanidistributors0@gmail.com,8249799348,52,182,2026-02-08T15:31:45.555104
ODISHA,Balangir,BANSAL SMART SOLUTIONS,:,,bansalsmartsolutions@gmail.com,7978127483,48,157,2026-02-08T15:31:47.017018
ODISHA,Balangir,POWERTECH SOLUTIONS,:,,sbp@gmail.com,9692006611,46,144,2026-02-08T15:31:48.505600
ODISHA,Balangir,MAHALAXMI ENTERPRISES,,,tig74@gmail.com,9437362253,40,134,2026-02-08T15:31:49.875137
ODISHA,Balangir,SOLARUTION SERVICES LLP,,,ddpatel506@gmail.com,8148433464,24,80,2026-02-08T15:31:51.413670
ODISHA,Balangir,HIRAKUD ENERGY,,,hirakudenergy@gmail.com,9437980101,24,80,2026-02-08T15:31:53.021004
ODISHA,Balangir,SOLOTECH GREEN ENERGY,,,solotechgreenenergy@gmail.com,7978743425,18,59,2026-02-08T15:31:54.534035
ODISHA,Balangir,MN FURNITURES,,,mnfurnituresbgr@gmail.com,7008924386,17,58,2026-02-08T15:31:56.037179
ODISHA,Balangir,ADITYA BIRLA SOLAR ENERGY GROUP,,,tinku56@gmail.com,9438424467,15,49,2026-02-08T15:31:57.453967
ODISHA,Balangir,SAHU SALES & SERVICE,,,sahuagro57@gmail.com,9348224872,14,46,2026-02-08T15:31:59.071995
ODISHA,Balangir,PARKLANDS SOLAR PRIVATE LIMITED,:,,parklandssolar@gmail.com,9124911011,14,46,2026-02-08T15:32:00.687669
ODISHA,Balangir,ANKIT SHARMA,,,ankitsharma44001@gmail.com,9938261196,14,49,2026-02-08T15:32:02.362385
ODISHA,Balangir,JIITS EDUCARE PRIVATE LIMITED,,,jiitseducarepvtltd@gmail.com,9658988738,13,41,2026-02-08T15:32:03.722670
ODISHA,Balangir,BENIGNANT POWER PRIVATE LIMITED,,,BENIGNANTPOWER@GMAIL.COM,6371281130,13,41,2026-02-08T15:32:05.128920
ODISHA,Balangir,SHRI GANESH ELECTRICAL,,,saachiagrawal2000@gmail.com,9437292897,12,39,2026-02-08T15:32:13.288652
ODISHA,Balangir,SHIV ELECTRICAL WORK SHOP,,,shivelectrical2025@gmail.com,9438557553,11,35,2026-02-08T15:32:14.875603
ODISHA,Balangir,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,11,33,2026-02-08T15:32:16.217401
