state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Baleshwar,RANJAN INDUSTRIES,,,ranjan28496@gmail.com,9924818113,106,286,2026-02-08T15:33:04.599003
ODISHA,Baleshwar,SMARTGEN SOLUTIONS,:,,talk2smartgen@gmail.com,9040590587,90,280,2026-02-08T15:33:06.287468
ODISHA,Baleshwar,M/S BIOMETRIC SMART XS,:,,manoj@bioxsindia.com,9040037131,81,258,2026-02-08T15:33:07.781695
ODISHA,Baleshwar,DAS ENTERPRISES,,,sportsboymukesh@gmail.com,9853578030,80,248,2026-02-08T15:33:09.320242
ODISHA,Baleshwar,SAI ELECTRONICS,,,saienterprisesbaliapal@gmail.com,9938601833,79,255,2026-02-08T15:33:10.991882
ODISHA,Baleshwar,M/S AMARNATH SOLAR,,,solaramarnath@gmail.com,9583088933,75,227,2026-02-08T15:33:12.583016
ODISHA,Baleshwar,SAMRUDHI ENTERPRISES,,,samrudhi@gmail.com,7872108080,74,244,2026-02-08T15:33:13.977548
ODISHA,Baleshwar,DHRUTIK INFOTECH PRIVATE LIMITED,,,dhrutikinfotech@gmail.com,8756774488,69,211,2026-02-08T15:33:15.554419
ODISHA,Baleshwar,M/S UINNEIG TECHNOLOGIES PRIVATE LIMITED,,,info@uinneig.tech,9632268541,62,194,2026-02-08T15:33:17.010146
ODISHA,Baleshwar,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,53,165,2026-02-08T15:33:17.990517
ODISHA,Baleshwar,SUMRAJ URJA,:,,sumrajurja@waareepartners.com,9818602259,50,163,2026-02-08T15:33:19.731377
ODISHA,Baleshwar,DASTRADE INTERNATIONAL PVT LTD,,,office@stellargreen.in,7003964486,50,164,2026-02-08T15:33:21.318648
ODISHA,Baleshwar,NEW SOLAR,,,dhaibat09@gmail.com,8093183156,45,149,2026-02-08T15:33:22.861964
ODISHA,Baleshwar,ORB ENERGY PVT LTD,,,sales@orbenergy.com,9900520505,42,130,2026-02-08T15:33:23.968623
ODISHA,Baleshwar,PARKLANDS SOLAR PRIVATE LIMITED,:,,parklandssolar@gmail.com,9124911011,39,122,2026-02-08T15:33:24.918782
ODISHA,Baleshwar,ADITYA SOLAR ENTERPRISES,,,n268515@gmail.com,7077493525,37,118,2026-02-08T15:33:26.279963
ODISHA,Baleshwar,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,36,118,2026-02-08T15:33:27.848817
ODISHA,Baleshwar,POWER UP 2 0,,,0bbsr@gmail.com,9337512355,33,100,2026-02-08T15:33:29.509022
ODISHA,Baleshwar,KAPAACON ENTERPRISES PRIVATE LIMITED,,,kapaacon@gmail.com,9937251379,31,101,2026-02-08T15:33:30.919404
ODISHA,Baleshwar,EKOKRAFT ENERGY SOLUTIONS PRIVATE LIMITED,,,ekokraftenergy@gmail.com,9724529047,30,98,2026-02-08T15:33:32.104174
ODISHA,Baleshwar,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,30,96,2026-02-08T15:33:40.090550
ODISHA,Baleshwar,M/S SOLARX LINK,,,solarxlink@gmail.com,9475737775,27,86,2026-02-08T15:33:41.791618
ODISHA,Baleshwar,M/S MAHADEV ENTERPRISES,,,mahadev0582@gmail.com,9438628309,26,78,2026-02-08T15:33:43.185243
ODISHA,Baleshwar,M/S FREEDOM CONSTRUCTION,,,freedom_bhadrak@rediffmail.com,8249351868,24,67,2026-02-08T15:33:44.838740
ODISHA,Baleshwar,LIFE LINER PVT LTD,:,,lifeliner2020@gmail.com,6363654620,24,77,2026-02-08T15:33:46.302469
