state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Bargarh,KEDARNATH TRADERS,,,wallarir@gmail.com,9040606438,187,620,2026-02-08T15:35:12.314922
ODISHA,Bargarh,PURNAMASI ENTERPRISES,,,rajeshpurnamasi2@gmail.com,9937724419,167,547,2026-02-08T15:35:13.971874
ODISHA,Bargarh,KONARK TRADERS,,,konarktraders@gmail.com,9902105506,159,537,2026-02-08T15:35:15.453450
ODISHA,Bargarh,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,150,487,2026-02-08T15:35:16.736690
ODISHA,Bargarh,SOLOTECH GREEN ENERGY,,,solotechgreenenergy@gmail.com,7978743425,134,439,2026-02-08T15:35:18.526498
ODISHA,Bargarh,IND SOLPOWER,,,indsolpower94@gmail.com,9437455509,108,357,2026-02-08T15:35:20.143529
ODISHA,Bargarh,SAHU SALES & SERVICE,,,sahuagro57@gmail.com,9348224872,96,315,2026-02-08T15:35:21.755642
ODISHA,Bargarh,BENIGNANT POWER PRIVATE LIMITED,,,BENIGNANTPOWER@GMAIL.COM,6371281130,84,284,2026-02-08T15:35:23.451200
ODISHA,Bargarh,SWOSTI POWERCON PRIVATE LIMITED,,,ceo@swostipowercon.com,9438408911,82,277,2026-02-08T15:35:24.988934
ODISHA,Bargarh,ASHA SALES & SERVICE,,,ashasalesservice@gmail.com,9438766769,80,260,2026-02-08T15:35:26.643929
ODISHA,Bargarh,SOLRISE ENERGY,,,energysolrise@gmail.com,8984670810,68,223,2026-02-08T15:35:28.179176
ODISHA,Bargarh,M/S-NABAKISHOR SAHU,,,nabakishorsahu431@gmail.com,7681800861,62,204,2026-02-08T15:35:29.616251
ODISHA,Bargarh,SOLARUTION SERVICES LLP,,,ddpatel506@gmail.com,8148433464,59,192,2026-02-08T15:35:31.068664
ODISHA,Bargarh,URJACON INFRATECH PRIVATE LIMITED,,,sales@urjacon.com,8881145000,46,156,2026-02-08T15:35:32.568388
ODISHA,Bargarh,POWERTECH SOLUTIONS,:,,sbp@gmail.com,9692006611,45,148,2026-02-08T15:35:34.002531
ODISHA,Bargarh,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,44,146,2026-02-08T15:35:35.225036
ODISHA,Bargarh,RASHMI RANJAN PRADHAN,,,rashmiranjanp678@gmail.com,7978688131,35,117,2026-02-08T15:35:37.112964
ODISHA,Bargarh,RANJAN INDUSTRIES,,,ranjan28496@gmail.com,9924818113,35,114,2026-02-08T15:35:38.608572
ODISHA,Bargarh,SURYAGHAR SOLAR ENERGY,,,suryagharsolarenergy@gmail.com,8342028946,33,105,2026-02-08T15:35:40.306300
ODISHA,Bargarh,POWER TECH SOLAR,,,arpannayak38@gmail.com,9090515562,26,84,2026-02-08T15:35:41.851733
ODISHA,Bargarh,S R ENTERPRISES,,,srenterprisessolar@gmail.com,7008182099,25,80,2026-02-08T15:35:51.323312
ODISHA,Bargarh,SHRI RAM TEC,:,,sgriramtecodisha@gmail.com,9937130419,24,92,2026-02-08T15:35:52.837797
ODISHA,Bargarh,GDA SOLAR PVT LTD,,,devendrachandrakar2015@gmail.com,7987152376,22,72,2026-02-08T15:35:54.541796
ODISHA,Bargarh,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,22,72,2026-02-08T15:35:56.195163
ODISHA,Bargarh,VIDYUT SHAKTI,,,ind@gmail.com,9437393557,21,70,2026-02-08T15:35:57.768569
ODISHA,Bargarh,N. K. CONSTRUCTION,,,nkcsolar2024@gmail.com,8319593375,21,68,2026-02-08T15:36:00.101044
ODISHA,Bargarh,JAYTECH SOLAR SYSTEMS PRIVATE LIMITED,,,jaytechsolar96@gmail.com,9439365149,19,62,2026-02-08T15:36:01.562934
ODISHA,Bargarh,SUMANTA KUMAR SARANGI,:,,sumantasarangi531@gmail.com,9040610620,17,55,2026-02-08T15:36:03.167741
ODISHA,Bargarh,CLEAN & GREEN SOLAR ENERGY SOLUTIONS,:,,ssaw793@gmail.com,7978302260,16,52,2026-02-08T15:36:04.594935
ODISHA,Bargarh,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,11,35,2026-02-08T15:36:05.985484
