state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Dhenkanal,SASA ENGINEERING & ENERGY,,,dhenkanalsolar@gmail.com,7008241153,142,466,2026-02-08T15:41:29.723354
ODISHA,Dhenkanal,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,111,359,2026-02-08T15:41:31.200317
ODISHA,Dhenkanal,DUGUL DIGITAL,,,duguldigitaldkl@gmail.com,9777808080,65,203,2026-02-08T15:41:32.736705
ODISHA,Dhenkanal,MS MAHALAXMI TRADERS,,,chandansnpt@gmail.com,7008674880,55,180,2026-02-08T15:41:34.141772
ODISHA,Dhenkanal,BIJAYA ENTERPRISES,,,sales@bijaya-enterprises.com,9262626026,34,115,2026-02-08T15:41:35.573555
ODISHA,Dhenkanal,SMARTPLUS CONSULTANCY AND INFORMATICS PVT LTD,,,smartplusconsultancy@yahoo.com,9583218255,32,103,2026-02-08T15:41:36.821492
ODISHA,Dhenkanal,ORB ENERGY PVT LTD,,,sales@orbenergy.com,9900520505,32,104,2026-02-08T15:41:37.845643
ODISHA,Dhenkanal,SR INFRA,,,bipilkumarbehera77@gmail.com,9853923577,29,89,2026-02-08T15:41:39.536257
ODISHA,Dhenkanal,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,25,75,2026-02-08T15:41:40.608515
ODISHA,Dhenkanal,TARINI SOLAR,,,Tarinisolar@gmail.com,9114239240,20,59,2026-02-08T15:41:41.738101
ODISHA,Dhenkanal,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,20,64,2026-02-08T15:41:43.227192
ODISHA,Dhenkanal,ULTIMATE ENERGY,:,,prustybiswabhusan@gmail.com,7008061377,19,63,2026-02-08T15:41:44.790436
ODISHA,Dhenkanal,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,18,57,2026-02-08T15:41:46.511952
ODISHA,Dhenkanal,DHRUTIK INFOTECH PRIVATE LIMITED,,,dhrutikinfotech@gmail.com,8756774488,18,56,2026-02-08T15:41:48.192426
ODISHA,Dhenkanal,SUNERGY SOLUTION,:,,sunergysolution@gmail.com,7008066131,16,51,2026-02-08T15:41:49.911624
ODISHA,Dhenkanal,MAHALAXMI ENTERPRISE,:,,bibhutilenka72@gmail.com,8260040640,16,51,2026-02-08T15:41:51.274878
ODISHA,Dhenkanal,EKOKRAFT ENERGY SOLUTIONS PRIVATE LIMITED,,,ekokraftenergy@gmail.com,9724529047,15,49,2026-02-08T15:41:52.745724
ODISHA,Dhenkanal,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,12,40,2026-02-08T15:41:53.779858
ODISHA,Dhenkanal,PRAKRUTI ENERGY,,,prakrutisolar@gmail.com,9938814889,12,37,2026-02-08T15:41:54.935389
ODISHA,Dhenkanal,M/S SHYANTI TRADERS,,,shyantitraders@gmail.com,9778896862,12,38,2026-02-08T15:41:56.213839
ODISHA,Dhenkanal,POWER UP 2 0,,,0bbsr@gmail.com,9337512355,11,34,2026-02-08T15:42:05.495195
