state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Jagatsinghapur,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,155,500,2026-02-08T15:45:19.723557
ODISHA,Jagatsinghapur,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,75,227,2026-02-08T15:45:21.176594
ODISHA,Jagatsinghapur,S.S. CONSTRUCTION & ENGINEERING,,,ssgroup@gmail.com,9861202570,66,198,2026-02-08T15:45:22.477943
ODISHA,Jagatsinghapur,VHN SOLAR ENERGY PRIVATE LIMITED,:,,info@vihaansolar.com,8598800088,47,144,2026-02-08T15:45:23.879754
ODISHA,Jagatsinghapur,MAA BARUNEI CONSTRUCTION,,,baradarout28@gmail.com,8637256618,42,129,2026-02-08T15:45:25.310248
ODISHA,Jagatsinghapur,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,29,93,2026-02-08T15:45:26.309236
ODISHA,Jagatsinghapur,JAGAT JANANI ELECTRONICS,,,jagatjananielectronicsjspur@gmail.com,7873625990,28,88,2026-02-08T15:45:27.691956
ODISHA,Jagatsinghapur,SAHASRANSHU ENERGY PRIVATE (OPC) LIMITED,:,,sahasranshueneergy@gmail.com,9040974097,25,80,2026-02-08T15:45:29.219379
ODISHA,Jagatsinghapur,M/S.GADIBRAHAMA ENTERPRISES,,,gadibrahamaenterprises@gmail.com,9777244503,25,79,2026-02-08T15:45:30.802913
ODISHA,Jagatsinghapur,ECOPOWER CONTECH,,,ecopowercontech@gmail.com,9556700888,24,76,2026-02-08T15:45:32.346814
ODISHA,Jagatsinghapur,POWERUP2 CLEAN TECHNOLOGY PRIVATE LIMITED,,,0bbsr@gmail.com,9337512355,20,65,2026-02-08T15:45:33.770178
ODISHA,Jagatsinghapur,SHREE TRADERS,,,shreetraders615@gmail.com,7008281667,16,48,2026-02-08T15:45:35.240248
ODISHA,Jagatsinghapur,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,16,47,2026-02-08T15:45:36.362891
ODISHA,Jagatsinghapur,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,16,49,2026-02-08T15:45:37.561847
ODISHA,Jagatsinghapur,ORB ENERGY PVT LTD,,,sales@orbenergy.com,9900520505,13,40,2026-02-08T15:45:39.210193
ODISHA,Jagatsinghapur,M/S BHASKAR JYOTI POWER SOLLUTIONS,,,powersolution@gmail.com,9437454816,12,38,2026-02-08T15:45:40.820666
ODISHA,Jagatsinghapur,ELEMECH ENGINEERING,,,elemechrenewable@gmail.com,9861156987,12,38,2026-02-08T15:45:42.534961
