state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Jajapur,GOPINATH GAJAPATI BHUYAN CHARITABLE TRUST,:,,ggbcharitabletrust@gmail.com,7008310529,175,544,2026-02-08T15:46:10.301745
ODISHA,Jajapur,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,139,432,2026-02-08T15:46:11.913934
ODISHA,Jajapur,KRISHNA SOLAR,,,krishnasolar29@gmail.com,7008109782,118,378,2026-02-08T15:46:13.656846
ODISHA,Jajapur,M/S SWOSTI ENTERPRISES & CO.,,,swostienterprises1@gmail.com,9853061969,79,252,2026-02-08T15:46:15.081748
ODISHA,Jajapur,KAMINI INFRASTRUCTURE AND DEVELOPERS,,,info@kaminiinfrastructure.com,9861598382,71,228,2026-02-08T15:46:16.148910
ODISHA,Jajapur,FIVEFOLD RENEWABLE PRIVATE LIMITED,,,fivefoldsolar@gmail.com,9937665857,66,213,2026-02-08T15:46:17.675195
ODISHA,Jajapur,BIRAJA ELECTRICAL AND CONSTRUCTION,,,electrical@gmail.com,9437208018,62,204,2026-02-08T15:46:19.151264
ODISHA,Jajapur,ICON BUILDERS,,,iconbuilders2010@gmail.com,9437029222,50,158,2026-02-08T15:46:20.780828
ODISHA,Jajapur,M/S SHYANTI TRADERS,,,shyantitraders@gmail.com,9778896862,36,110,2026-02-08T15:46:22.340496
ODISHA,Jajapur,JYORTI BINDU SOLAR PARK,,,jyortibindusolarpark@gmail.com,9437784305,36,114,2026-02-08T15:46:23.529319
ODISHA,Jajapur,MANONANDA SOLAR ENERGY PVT LTD,,,manonanda2024@gmail.com,7008839978,32,98,2026-02-08T15:46:24.493497
ODISHA,Jajapur,M/S BEDIKA ENGINEERING,,,eng@gmail.com,9482173006,30,93,2026-02-08T15:46:25.950172
ODISHA,Jajapur,M/S FREEDOM CONSTRUCTION,,,freedom_bhadrak@rediffmail.com,8249351868,23,67,2026-02-08T15:46:27.631755
ODISHA,Jajapur,BHARAT RENEWABLE ENERGY,,,bharatrenewableodisha@gmail.com,9315464007,23,79,2026-02-08T15:46:29.115337
ODISHA,Jajapur,DREAM HOME INFRA AND SOLAR,:,,dreamhomeinfransolar@gmail.com,9975685426,20,66,2026-02-08T15:46:30.617171
ODISHA,Jajapur,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,16,50,2026-02-08T15:46:31.740406
ODISHA,Jajapur,M/S MAHADEV ENTERPRISES,,,mahadev0582@gmail.com,9438628309,16,48,2026-02-08T15:46:33.280501
ODISHA,Jajapur,M/S BIOMETRIC SMART XS,:,,manoj@bioxsindia.com,9040037131,16,53,2026-02-08T15:46:34.848864
ODISHA,Jajapur,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,16,51,2026-02-08T15:46:35.873553
ODISHA,Jajapur,DEVKANTI URJA PRIVATE LIMITED,,,DEVKANTIURJA@GMAIL.COM,6372909529,15,48,2026-02-08T15:46:37.601548
ODISHA,Jajapur,SVADHISHTHANA GREEN ENERGIES PRIVATE LIMITED,,,sgreenenergies@gmail.com,8144004965,13,37,2026-02-08T15:46:47.110140
ODISHA,Jajapur,SURYAPRAVA RENEWABLE ENERGY,,,info@suryapravaenergy.com,9090568960,13,43,2026-02-08T15:46:48.676553
ODISHA,Jajapur,MAHALAXMI ENTERPRISE,:,,bibhutilenka72@gmail.com,8260040640,13,41,2026-02-08T15:46:50.314473
ODISHA,Jajapur,BIJAYA ENTERPRISES,,,sales@bijaya-enterprises.com,9262626026,12,38,2026-02-08T15:46:51.875480
ODISHA,Jajapur,TRANSCORD TELSCAPE PRIVATE LIMITED,,,manoj_s_5@yahoo.com,7894459888,11,35,2026-02-08T15:46:53.600112
ODISHA,Jajapur,SHREE KRISHNA ENGINEERING SERVICES,,,debashisrout343@gmail.com,8895218033,11,36,2026-02-08T15:46:55.183840
