state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Jharsuguda,CLEAN & GREEN SOLAR ENERGY SOLUTIONS,:,,ssaw793@gmail.com,7978302260,268,863,2026-02-08T15:47:40.325692
ODISHA,Jharsuguda,PRATEEK SOLAR,:,,PRATEEKSOLAR13@GMAIL.COM,8280316530,166,543,2026-02-08T15:47:41.737084
ODISHA,Jharsuguda,BENIGNANT POWER PRIVATE LIMITED,,,BENIGNANTPOWER@GMAIL.COM,6371281130,55,174,2026-02-08T15:47:43.307681
ODISHA,Jharsuguda,SNOWBALL BUSINESS POINT,,,snowballsolar@gmail.com,7008155187,41,133,2026-02-08T15:47:44.679593
ODISHA,Jharsuguda,5S ENERGY,:,,5senergyofficial@gmail.com,9556199895,26,80,2026-02-08T15:47:46.026184
ODISHA,Jharsuguda,SAHIL TRADERS,,,sahiltraders69@gmail.com,7077009372,25,82,2026-02-08T15:47:47.562589
ODISHA,Jharsuguda,POWERTECH SOLUTIONS,:,,sbp@gmail.com,9692006611,22,78,2026-02-08T15:47:49.011982
ODISHA,Jharsuguda,M/S ROSNI ENTERPRISES,,,rosni@gmail.com,7978743099,21,68,2026-02-08T15:47:50.602565
ODISHA,Jharsuguda,BK ENERGY SOLUTIONS,,,jsg@gmail.com,9040202535,18,56,2026-02-08T15:47:52.273302
ODISHA,Jharsuguda,IND SOLPOWER,,,indsolpower94@gmail.com,9437455509,15,50,2026-02-08T15:47:53.814608
ODISHA,Jharsuguda,SOLOTECH GREEN ENERGY,,,solotechgreenenergy@gmail.com,7978743425,14,45,2026-02-08T15:47:55.151781
ODISHA,Jharsuguda,S.S. TRADING,,,santasa04@gmail.com,9861809879,13,42,2026-02-08T15:47:56.775227
ODISHA,Jharsuguda,POWER TECH SOLAR,,,arpannayak38@gmail.com,9090515562,13,42,2026-02-08T15:47:58.244972
ODISHA,Jharsuguda,ARJI ENTERPRISES,:,,solar@gmail.com,9692530356,11,41,2026-02-08T15:47:59.863350
