state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Kendujhar,M/S ALPHA ENTERPRISES,:,,alphaenterprises@gmail.com,9040090004,169,527,2026-02-08T15:51:41.299484
ODISHA,Kendujhar,GREENOVATION INDIA,,,greenovation@gmail.com,9938163293,59,194,2026-02-08T15:51:42.848838
ODISHA,Kendujhar,GENESIS ENGINEERING,,,pms@genesisengineering.online,9937252461,42,124,2026-02-08T15:51:44.642232
ODISHA,Kendujhar,MANONANDA SOLAR ENERGY PVT LTD,,,manonanda2024@gmail.com,7008839978,38,103,2026-02-08T15:51:46.142129
ODISHA,Kendujhar,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,36,108,2026-02-08T15:51:47.616834
ODISHA,Kendujhar,SUNERGY,:,,kjr@gmail.com,8260260509,34,115,2026-02-08T15:51:48.889420
ODISHA,Kendujhar,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,33,103,2026-02-08T15:51:49.847827
ODISHA,Kendujhar,M/S. SUBHAM SALES,,,subhamsolar@gmail.com,7776066155,32,103,2026-02-08T15:51:51.372645
ODISHA,Kendujhar,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,28,84,2026-02-08T15:51:52.701311
ODISHA,Kendujhar,DSAN MULTILINK SERVICES PRIVATE LIMITED,,,dipanshu@dsan.co,9439085809,24,76,2026-02-08T15:51:54.389541
ODISHA,Kendujhar,SAI BUSINESS SOLUTION,,,solar5@gmail.com,9090970988,21,71,2026-02-08T15:51:56.106497
ODISHA,Kendujhar,WORQO SOLUTIONS PRIVATE LIMITED,,,worqosolutions@gmail.com,6371449932,20,62,2026-02-08T15:51:57.650302
ODISHA,Kendujhar,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,20,64,2026-02-08T15:51:58.745258
ODISHA,Kendujhar,PARKLANDS SOLAR PRIVATE LIMITED,:,,parklandssolar@gmail.com,9124911011,17,50,2026-02-08T15:52:00.273950
ODISHA,Kendujhar,M/S JHADESWAR ELECTRICAL & ERECTORS,,,sahoogb55@yahoo.com,9437650490,16,51,2026-02-08T15:52:01.804344
ODISHA,Kendujhar,ORB ENERGY PVT LTD,,,sales@orbenergy.com,9900520505,14,42,2026-02-08T15:52:03.413374
ODISHA,Kendujhar,M/S AGARWALLA CONSTRUCTIONS,:,,pawanagarwalla2021@gmail.com,8103053776,13,36,2026-02-08T15:52:04.980947
ODISHA,Kendujhar,SMART HOME SOLAR SYSTEM,,,smarthomesolarsystem@gmail.com,7540836582,11,33,2026-02-08T15:52:06.656683
