state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Mayurbhanj,NEW SOLAR,,,dhaibat09@gmail.com,8093183156,263,891,2026-02-08T15:58:19.421510
ODISHA,Mayurbhanj,OOMKAR TECHNICAL SERVICES PVT LTD,,,otsplodisha@gmail.com,9437774260,141,459,2026-02-08T15:58:20.956624
ODISHA,Mayurbhanj,ANVIL ENERGY PVT. LTD,,,project@anvil.energy,9147387882,102,342,2026-02-08T15:58:22.397053
ODISHA,Mayurbhanj,JAYAJIT SAHU,,,jayservice2025@gmail.com,9938267197,101,333,2026-02-08T15:58:23.895010
ODISHA,Mayurbhanj,KGDC ENTERPRISES LLP,:,,mail@kgdc.in,9431300837,75,247,2026-02-08T15:58:25.402931
ODISHA,Mayurbhanj,M/S BHASKAR JYOTI POWER SOLLUTIONS,,,powersolution@gmail.com,9437454816,74,246,2026-02-08T15:58:26.814693
ODISHA,Mayurbhanj,KRISHNA SOLAR SOLUTIONS,,,krishnamoharana011@gmail.com,8117845317,58,182,2026-02-08T15:58:28.335034
ODISHA,Mayurbhanj,MANONANDA SOLAR ENERGY PVT LTD,,,manonanda2024@gmail.com,7008839978,53,157,2026-02-08T15:58:29.850165
ODISHA,Mayurbhanj,SPACE SOLAR,,,info@spacesolar.co,9937337036,50,168,2026-02-08T15:58:31.414940
ODISHA,Mayurbhanj,CHAKADOLA ELECTRICAL,,,2660@gmail.com,9438272245,50,165,2026-02-08T15:58:32.954191
ODISHA,Mayurbhanj,M/S AGARWALLA CONSTRUCTIONS,:,,pawanagarwalla2021@gmail.com,8103053776,47,144,2026-02-08T15:58:34.638861
ODISHA,Mayurbhanj,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,32,102,2026-02-08T15:58:36.422871
ODISHA,Mayurbhanj,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,30,94,2026-02-08T15:58:37.468671
ODISHA,Mayurbhanj,LIFE LINER PVT LTD,:,,lifeliner2020@gmail.com,6363654620,24,74,2026-02-08T15:58:39.235956
ODISHA,Mayurbhanj,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,23,75,2026-02-08T15:58:40.914335
ODISHA,Mayurbhanj,TIKI ENGINEERING (OPC) PRIVATE LIMITED,,,energybhoomi@gmail.com,7008666847,22,72,2026-02-08T15:58:42.366384
ODISHA,Mayurbhanj,VHN SOLAR ENERGY PRIVATE LIMITED,:,,info@vihaansolar.com,8598800088,19,61,2026-02-08T15:58:43.470321
ODISHA,Mayurbhanj,M/S BEDIKA ENGINEERING,,,eng@gmail.com,9482173006,17,54,2026-02-08T15:58:44.984956
ODISHA,Mayurbhanj,VISHWARAJA ENTERPRISES,:,,vishwarajaent@gmail.com,8249675658,16,54,2026-02-08T15:58:46.491817
ODISHA,Mayurbhanj,M/S BIOMETRIC SMART XS,:,,manoj@bioxsindia.com,9040037131,16,44,2026-02-08T15:58:48.051712
ODISHA,Mayurbhanj,ELEMECH ENGINEERING,,,elemechrenewable@gmail.com,9861156987,13,42,2026-02-08T15:58:56.870313
ODISHA,Mayurbhanj,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,13,42,2026-02-08T15:58:58.445101
ODISHA,Mayurbhanj,M/S MAHABIR MOTORS,,,bhagyabatipradhan76@gmail.com,9937121679,12,38,2026-02-08T15:58:59.932133
ODISHA,Mayurbhanj,DS ENGINEERING & CONSTRUCTION,,,satyabratasam@gmail.com,9953022054,12,39,2026-02-08T15:59:01.436705
ODISHA,Mayurbhanj,M/S MOHANTA TRADERS,:,,microstepbkm@gmail.com,9937331662,11,36,2026-02-08T15:59:03.215459
