state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Nayagarh,SUSTAINABLE YIELD ENGINEERING DYNAMICS PRIVATE LIMITED,,,solar@sustyield.com,7077895222,109,282,2026-02-08T16:00:40.743479
ODISHA,Nayagarh,OMM SHIV BABA TRUST,,,ommshivbabatrust2024@gmail.com,9776243455,109,296,2026-02-08T16:00:42.377769
ODISHA,Nayagarh,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,58,172,2026-02-08T16:00:43.486561
ODISHA,Nayagarh,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,28,84,2026-02-08T16:00:44.876858
ODISHA,Nayagarh,AB INFOTECH,,,admin@abinfotech.org,7008946006,27,84,2026-02-08T16:00:46.266143
ODISHA,Nayagarh,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,24,75,2026-02-08T16:00:47.679886
ODISHA,Nayagarh,LIFE LINER PVT LTD,:,,lifeliner2020@gmail.com,6363654620,20,62,2026-02-08T16:00:49.307559
ODISHA,Nayagarh,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,18,55,2026-02-08T16:00:50.573619
ODISHA,Nayagarh,MAA SARASWATI ENTERPRISE,,,solar@gmail.com,9090432923,16,52,2026-02-08T16:00:52.134922
ODISHA,Nayagarh,FIVEFOLD RENEWABLE PRIVATE LIMITED,,,fivefoldsolar@gmail.com,9937665857,15,46,2026-02-08T16:00:53.642987
ODISHA,Nayagarh,SURYAM INTERNATIONAL PRIVATE LIMITED,,,marketing@groupsurya.co,8093011632,13,38,2026-02-08T16:00:55.326770
ODISHA,Nayagarh,POWER UP 2 0,,,0bbsr@gmail.com,9337512355,12,36,2026-02-08T16:00:56.908985
ODISHA,Nayagarh,SOLAR SACK,,,jk@solarsack.in,9238412384,11,36,2026-02-08T16:00:58.369164
ODISHA,Nayagarh,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,11,33,2026-02-08T16:00:59.364695
ODISHA,Nayagarh,APN SOLAR ENERGY PVT LTD,,,nationalportal@apnsolar.com,9702034043,11,29,2026-02-08T16:01:00.890484
