state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Sambalpur,POWERTECH SOLUTIONS,:,,sbp@gmail.com,9692006611,190,647,2026-02-08T16:04:08.868376
ODISHA,Sambalpur,5S ENERGY,:,,5senergyofficial@gmail.com,9556199895,167,516,2026-02-08T16:04:10.390498
ODISHA,Sambalpur,SOLOTECH GREEN ENERGY,,,solotechgreenenergy@gmail.com,7978743425,147,494,2026-02-08T16:04:11.993496
ODISHA,Sambalpur,TRIX SOLAR PVT LTD,,,trix@gmail.com,8763002294,127,397,2026-02-08T16:04:13.768565
ODISHA,Sambalpur,BENIGNANT POWER PRIVATE LIMITED,,,BENIGNANTPOWER@GMAIL.COM,6371281130,116,363,2026-02-08T16:04:15.375481
ODISHA,Sambalpur,ORB ENERGY PVT LTD,,,sales@orbenergy.com,9900520505,56,193,2026-02-08T16:04:16.802803
ODISHA,Sambalpur,CLEAN & GREEN SOLAR ENERGY SOLUTIONS,:,,ssaw793@gmail.com,7978302260,56,176,2026-02-08T16:04:18.335843
ODISHA,Sambalpur,OJAS CIVCON,:,,2010@gmail.com,8917428523,49,163,2026-02-08T16:04:19.866202
ODISHA,Sambalpur,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,43,121,2026-02-08T16:04:21.341273
ODISHA,Sambalpur,BIJAYA ENTERPRISES,,,sales@bijaya-enterprises.com,9262626026,41,140,2026-02-08T16:04:22.981988
ODISHA,Sambalpur,KD POWER AND SOLAR,,,kdpowerandsolar@gmail.com,7548987752,39,129,2026-02-08T16:04:24.296906
ODISHA,Sambalpur,PRADHAN DISTRIBUTOR,:,,sp3080872@gmail.com,9668470812,38,133,2026-02-08T16:04:25.962667
ODISHA,Sambalpur,PADHI BROTHERS ENTERPRISERS,,,bichipadhi@gmail.com,9938618433,38,129,2026-02-08T16:04:27.367898
ODISHA,Sambalpur,PRATEEK SOLAR,:,,PRATEEKSOLAR13@GMAIL.COM,8280316530,37,122,2026-02-08T16:04:29.000235
ODISHA,Sambalpur,ENERZON SYSTEM,,,patra@enerzonsystem.com,9348039990,35,113,2026-02-08T16:04:30.535697
ODISHA,Sambalpur,POWER TECH SOLAR,,,arpannayak38@gmail.com,9090515562,34,109,2026-02-08T16:04:31.901863
ODISHA,Sambalpur,MUKESH ENTERPRISES,,,mukeshenterprises101@gmail.com,9937057134,32,104,2026-02-08T16:04:33.530287
ODISHA,Sambalpur,PRABHATKIRAN SAUR URJA PRIVATE LIMITED,,,psupl@prabhatkiranenergy.com,9518511944,28,109,2026-02-08T16:04:35.262221
ODISHA,Sambalpur,EKOKRAFT ENERGY SOLUTIONS PRIVATE LIMITED,,,ekokraftenergy@gmail.com,9724529047,17,55,2026-02-08T16:04:36.275826
ODISHA,Sambalpur,SRI RAJA RAJESWARI AGRO,,,surreddy778@gmail.com,8249163812,16,52,2026-02-08T16:04:37.693163
ODISHA,Sambalpur,PRATAP KUMAR BEHERA,,,9861266063@gmail.com,7008154633,16,51,2026-02-08T16:04:46.398826
ODISHA,Sambalpur,MNP GLOBAL ENTERPRISES,:,,mnpglobalenterprises@gmail.com,9828167007,16,53,2026-02-08T16:04:47.980139
ODISHA,Sambalpur,SOLAR BEE,,,contactsolarbee@gmail.com,8105549974,15,48,2026-02-08T16:04:49.601576
ODISHA,Sambalpur,SAURASHAKTI SOLAR,,,saurashaktisolar123@gmail.com,6371682657,14,47,2026-02-08T16:04:51.209506
ODISHA,Sambalpur,VERIONEX ENERGY PRIVATE LIMITED,,,info@verionexenergy.com,7008972608,13,42,2026-02-08T16:04:52.846783
ODISHA,Sambalpur,MFINS SERVICES PVT. LTD.,,,vidya@m-fins.in,8356843342,13,42,2026-02-08T16:04:54.387027
ODISHA,Sambalpur,KONARK TRADERS,,,konarktraders@gmail.com,9902105506,13,43,2026-02-08T16:04:56.012476
ODISHA,Sambalpur,RELIABLE SOLAR SOLUTION,,,sikan91@gmail.com,8249145352,12,38,2026-02-08T16:04:57.696714
ODISHA,Sambalpur,SURYASATHI ENERGY,,,suryasathienergy@gmail.com,9090403044,11,35,2026-02-08T16:04:59.064325
ODISHA,Sambalpur,RADIANT POWER SOLUTION,,,solutionradiantpower@gmail.com,9777819199,11,34,2026-02-08T16:05:00.613228
ODISHA,Sambalpur,M/S SHIBANI ENTERPRISES,,,shibanientprises55@gmail.com,7978671446,11,35,2026-02-08T16:05:02.191611
