state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Amritsar,DYNEX SOLAR PRIVATE LIMITED,,,SUMITARORA1266555@GMAIL.COM,7888352440,166,643,2026-02-08T16:12:44.050507
PUNJAB,Amritsar,AANCHAL SOLAR SYSTEM,,,aanchalsolar@gmail.com,9888314056,59,347,2026-02-08T16:12:45.582117
PUNJAB,Amritsar,DINKAR PV TECHNOLOGIES,,,dinkarsolar@gmail.com,7837870786,58,222,2026-02-08T16:12:47.143968
PUNJAB,Amritsar,NATIONAL SOLAR SOLUTIONS,,,indsolar@gmail.com,9872837607,54,277,2026-02-08T16:12:48.797442
PUNJAB,Amritsar,AADI ANANT ENTERPRISES,,,info@aadianant.com,7888434951,53,219,2026-02-08T16:12:50.423465
PUNJAB,Amritsar,STAR POWER DISTRIBUTION PVT. LTD,:,,info@stardistribution.co,9872521654,51,295,2026-02-08T16:12:51.840564
PUNJAB,Amritsar,SPN SOLAR ENERGIES PVT. LTD.,,,karan16@yahoo.com,9915192928,44,185,2026-02-08T16:12:53.489054
PUNJAB,Amritsar,RAHIL ENTERPRISES,,,rahilushasolar@gmail.com,9876024001,42,256,2026-02-08T16:12:55.135362
PUNJAB,Amritsar,APNA BAZAAR MULTIBRAND STORE,,,apnabazaar05@gmail.com,9872892614,36,147,2026-02-08T16:12:56.773684
PUNJAB,Amritsar,AKAL SAHAYE GROUP,,,akalsolarshakti@gmail.com,9814137313,24,81,2026-02-08T16:12:58.333128
PUNJAB,Amritsar,SUNRISE SOLAR AMRITSAR,,,sunrisesolarasr@gmail.com,6239714106,23,118,2026-02-08T16:12:59.843519
PUNJAB,Amritsar,BANSAL SOLAR ENERGY & CONSTRUCTION CO.,:,,BANSALSOLARENERGY@GMAIL.COM,7009576746,23,119,2026-02-08T16:13:01.428090
PUNJAB,Amritsar,HB ELECTRIC CO.,,,ASR@GMAIL.COM,9814882689,13,51,2026-02-08T16:13:02.802873
PUNJAB,Amritsar,G T ENERGY,,,GTENERGYSOLAR@GMAIL.COM,9814443525,13,84,2026-02-08T16:13:04.195689
