state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Barnala,STAR SOLAR SOLUTION,,,starsolarsolutions4@gmail.com,9878730041,122,633,2026-02-08T16:13:37.230032
PUNJAB,Barnala,VINAYAK SOLAR HUB & ELECTRONICS,:,,VINAYGARG382@GMAIL.COM,9814161770,102,443,2026-02-08T16:13:38.666166
PUNJAB,Barnala,SUNLIGHT SOLAR SYSTEMS,,,SUNLIGHTSOLAR7@GMAIL.COM,9463563475,59,260,2026-02-08T16:13:40.409060
PUNJAB,Barnala,SUN POWER SOLAR SYSTEM,,,spsolar2025@gmail.com,9803700098,58,290,2026-02-08T16:13:41.871569
PUNJAB,Barnala,GLOBAL SOLAR SOLUTIONS,,,BARNALA@GMAIL.COM,7888319445,44,226,2026-02-08T16:13:43.530154
PUNJAB,Barnala,SHRI SAI SOLAR SOLUTIONS,:,,shrisaisolars@gmail.com,9316270001,38,185,2026-02-08T16:13:45.178428
PUNJAB,Barnala,CHANNI HEALTH CARE SYSTEMS,,,PRESIDENT@GMAIL.COM,9855562340,37,172,2026-02-08T16:13:46.763975
PUNJAB,Barnala,KRISHNA SOLAR ENTERPRISES,,,ksolar456@gmail.com,9815870028,34,171,2026-02-08T16:13:48.297696
PUNJAB,Barnala,PUNJAB SOLAR CITY,,,punjabsolarcity2@gmail.com,9517114000,22,82,2026-02-08T16:13:49.630102
PUNJAB,Barnala,KRISHNA SOLAR SOLUTIONS,,,solutions1981@gmail.com,9463294000,22,112,2026-02-08T16:13:51.245561
PUNJAB,Barnala,BPS ENERGY LLP,,,bestpowersolutions1@gmail.com,7000691350,21,105,2026-02-08T16:13:52.842009
PUNJAB,Barnala,SHRI SAI SOLAR,,,shrisaisolar24@gmail.com,8591600055,17,88,2026-02-08T16:13:54.308628
PUNJAB,Barnala,SHRI G S TRADERS DHURI,,,gstraders643@gmail.com,9888493234,17,70,2026-02-08T16:13:55.787085
PUNJAB,Barnala,PRATEEK GUPTA,,,PVTECHENGG@GMAIL.COM,9779067555,12,64,2026-02-08T16:13:57.213267
PUNJAB,Barnala,NARINDER ENTERPRISES,,,NARINDERENTERPRISES71@GMAIL.COM,9781317007,11,54,2026-02-08T16:13:58.775439
