state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Bathinda,VINAYAK SOLAR HUB & ELECTRONICS,:,,VINAYGARG382@GMAIL.COM,9814161770,151,663,2026-02-08T16:14:29.712500
PUNJAB,Bathinda,CHAHAL TRADING COMPANY,:,,chahaltradingco1@gmail.com,9872792640,128,668,2026-02-08T16:14:31.337069
PUNJAB,Bathinda,YVR SOLAR SOLUTIONS,,,YVRSOLAR@GMAIL.COM,9888748320,112,481,2026-02-08T16:14:32.785337
PUNJAB,Bathinda,GLOBAL ENTERPRISES,,,COME2PARAM@GMAIL.COM,9501636000,90,356,2026-02-08T16:14:34.124287
PUNJAB,Bathinda,KRISHNA ENTERPRISES,,,krishnasolarhut@gmail.com,9888751746,66,282,2026-02-08T16:14:35.575473
PUNJAB,Bathinda,GREEN ENERGY & ORGANICS,,,org59@gmail.com,9173600000,65,326,2026-02-08T16:14:36.650157
PUNJAB,Bathinda,BANGI POWER CONTROLLER,,,bangipowercontroller@gmail.com,9501300975,44,239,2026-02-08T16:14:38.012169
PUNJAB,Bathinda,AGGARWAL MACHINARY STORE,,,AGGARWALMACHINARYSTORRE@GMAIL.COM,9872623358,41,132,2026-02-08T16:14:39.422708
PUNJAB,Bathinda,GANPATI ENTERPRISES,,,kumar60@yahoo.com,9317220006,34,131,2026-02-08T16:14:40.955533
PUNJAB,Bathinda,DS POWER SOLUTIONS,,,kissansolar8@gmail.com,7696698167,34,163,2026-02-08T16:14:42.194851
PUNJAB,Bathinda,EXCELLENT SOLAR KOTKAPURA,:,,EXCELLENTSOLARKKP@GMAIL.COM,7719652727,29,133,2026-02-08T16:14:43.191640
PUNJAB,Bathinda,SHRI SAI SOLAR SOLUTIONS,:,,shrisaisolars@gmail.com,9316270001,27,125,2026-02-08T16:14:44.305836
PUNJAB,Bathinda,NAV ENGINEERING SERVICES,,,nespunjab@gmail.com,9876599099,23,121,2026-02-08T16:14:45.599067
PUNJAB,Bathinda,SUNLIGHT ENERGY,,,SUNLIGHTENERGY2021@GMAIL.COM,9872603104,22,89,2026-02-08T16:14:47.075142
PUNJAB,Bathinda,SOLARZEN ENTERPRISES,,,ENTERPRISES@GMAIL.COM,9807730003,20,115,2026-02-08T16:14:48.710137
PUNJAB,Bathinda,SHRI SHYAM ENTERPRISES,,,SAHILBANSAL322@GMAIL.COM,7888622740,18,89,2026-02-08T16:14:50.255253
PUNJAB,Bathinda,NEO ENERGY SOLUTIONS,,,Fatehwalia6@gmail.com,9914153365,16,72,2026-02-08T16:14:51.364480
PUNJAB,Bathinda,AGGARWAL ENTERPRISES,,,nandkamal2005@gmail.com,9417841646,15,66,2026-02-08T16:14:52.950613
PUNJAB,Bathinda,KRISHANLAL SURINDER PAL,,,sonu@gmail.com,9417173058,14,71,2026-02-08T16:14:54.469449
PUNJAB,Bathinda,SUNLIGHT SOLAR SYSTEMS,,,SUNLIGHTSOLAR7@GMAIL.COM,9463563475,12,42,2026-02-08T16:14:55.537647
PUNJAB,Bathinda,SOLAR4EVER,,,SOLAR4EVERBATHINDA@GMAIL.COM,9758183000,12,60,2026-02-08T16:15:04.188997
PUNJAB,Bathinda,GANESH PIPE STORE,:,,ganeshp2004@gmail.com,7988131586,12,47,2026-02-08T16:15:05.657898
PUNJAB,Bathinda,ELFROSUN SOLAR INFRA & SERVICES,:,,solarelfrosun@gmail.com,8725012340,12,61,2026-02-08T16:15:07.057738
PUNJAB,Bathinda,SHREE JEE SOLAR ENTERPRISES,,,shreejeesolarent@gmail.com,9915666007,11,52,2026-02-08T16:15:08.655412
PUNJAB,Bathinda,APEX SOLAR ENERGY,,,APEXJAITU1234@GMAIL.COM,9041400462,11,52,2026-02-08T16:15:10.316868
