state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Ludhiana,SHREE BALAJI TRADING CO.,,,jatinder9814100058@gmail.com,9814100058,68,245,2026-02-08T16:22:47.288806
PUNJAB,Ludhiana,SHINESOLAR ENERGY SOLUTIONS PVT LTD,,,info@shinesolarenergy.com,8872045945,57,332,2026-02-08T16:22:48.678539
PUNJAB,Ludhiana,DEEP MICRO IRRIGATION SYSTEM,,,gv@gmail.com,8437011009,54,244,2026-02-08T16:22:50.378040
PUNJAB,Ludhiana,STELLAR SOLAR SOLUTIONS,:,,sarth@gmail.com,9814102500,51,206,2026-02-08T16:22:51.946853
PUNJAB,Ludhiana,DEEDS,:,,deedsolar@gmail.com,9814169647,49,229,2026-02-08T16:22:53.458095
PUNJAB,Ludhiana,B & B METAL KRAFTS,:,,bbmetalkrafts96@gmail.com,9988700150,35,270,2026-02-08T16:22:54.844319
PUNJAB,Ludhiana,DOLPHIN ENTERPRISES,,,DOLPHIN@GMAIL.COM,9872727614,27,120,2026-02-08T16:22:56.401627
PUNJAB,Ludhiana,MOHAN MACHINERY MART,:,,m3kirloskar@gmail.com,9316904601,25,124,2026-02-08T16:22:57.966583
PUNJAB,Ludhiana,TECSA SOLAR SYSTEMS,,,tecsasolar@gmail.com,9821465584,24,80,2026-02-08T16:22:59.201692
PUNJAB,Ludhiana,RISING STAR,,,STARRISING1019@GMAIL.COM,8568827002,19,123,2026-02-08T16:23:00.223041
PUNJAB,Ludhiana,NEW ERA COMPUTERS,,,newera_solar@yahoo.com,8427590018,17,89,2026-02-08T16:23:01.644859
PUNJAB,Ludhiana,LIFEMAX ENTERPRISES,,,kanishqbansal@yahoo.in,9915066000,15,91,2026-02-08T16:23:03.101084
PUNJAB,Ludhiana,DELTA POWER CONTROL,,,PC05@GMAIL.COM,9041456350,14,62,2026-02-08T16:23:04.764505
PUNJAB,Ludhiana,SUNREFORMS ENERGY PRIVATE LIMITED,,,info@srenergy.co,9214887700,13,53,2026-02-08T16:23:06.197655
PUNJAB,Ludhiana,POWER SOLAR SYSTEM,:,,POWERSOLAR28@GMAIL.COM,9815902800,13,71,2026-02-08T16:23:07.768526
PUNJAB,Ludhiana,NORTHERN SOLAR,,,northernsolar87@gmail.com,7888458293,13,60,2026-02-08T16:23:09.234716
PUNJAB,Ludhiana,A.P TECHNOLOGIES,:,,technologies98@gmail.com,9815438251,13,46,2026-02-08T16:23:10.861477
PUNJAB,Ludhiana,ULTRA SOLUTIONS,,,ultrasolutions01@gmail.com,9988116169,12,51,2026-02-08T16:23:12.440962
PUNJAB,Ludhiana,PERMESHER ELECTRICALS,,,PERMESHERELECTRICALS@GMAIL.COM,7986502113,12,60,2026-02-08T16:23:13.927376
PUNJAB,Ludhiana,ECO SOLAR ENERGIES,,,ECOSOLARENERGIES77@GMAIL.COM,7837223202,12,58,2026-02-08T16:23:15.441996
PUNJAB,Ludhiana,PREET ENERGIES,,,amriktibbi@gmail.com,9814221784,11,59,2026-02-08T16:23:23.156409
PUNJAB,Ludhiana,MAHAVIR INDUSTRIES,,,MAHAVIRGARG265@GMAIL.COM,9465205001,11,42,2026-02-08T16:23:24.586597
