state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Mansa,AGGARWAL ENTERPRISES,,,nandkamal2005@gmail.com,9417841646,114,466,2026-02-08T16:25:04.271806
PUNJAB,Mansa,AGGARWAL MACHINARY STORE,,,AGGARWALMACHINARYSTORRE@GMAIL.COM,9872623358,61,208,2026-02-08T16:25:05.920131
PUNJAB,Mansa,ECOSOLAR POWER MARKETING PVT LTD,:,,DPKGARG80@GMAIL.COM,9155300030,52,225,2026-02-08T16:25:07.374014
PUNJAB,Mansa,PP SOLAR,:,,ppsolar0@gmail.com,7009712138,49,213,2026-02-08T16:25:09.113570
PUNJAB,Mansa,VINAYAK SOLAR HUB & ELECTRONICS,:,,VINAYGARG382@GMAIL.COM,9814161770,43,183,2026-02-08T16:25:10.409019
PUNJAB,Mansa,AON SOLAR,,,malvindersingh233@gmail.com,9779402341,43,183,2026-02-08T16:25:11.882916
PUNJAB,Mansa,SHAKTI SALES,,,shaktisales14@gmail.com,8699110023,25,96,2026-02-08T16:25:13.366838
PUNJAB,Mansa,NEW FRIENDS SOLAR ENERGY,:,,gurbaxmakha2013@gmail.com,9872407002,25,137,2026-02-08T16:25:14.874200
PUNJAB,Mansa,SINGLA SOLAR SYSTEM,,,SUNILINSA9887@GMAIL.COM,9914332821,22,72,2026-02-08T16:25:16.294067
PUNJAB,Mansa,POWER TRADING COMPANY,,,hardevsinghchahal@rediffmail.com,9478100685,21,93,2026-02-08T16:25:17.774656
PUNJAB,Mansa,KRISHNA SOLAR ENERGY,,,krishnasolarenergy@yahoo.com,9872563711,17,54,2026-02-08T16:25:19.376406
PUNJAB,Mansa,GLOBAL ENTERPRISES,,,COME2PARAM@GMAIL.COM,9501636000,17,57,2026-02-08T16:25:20.987188
PUNJAB,Mansa,SUNLIGHT SOLAR SYSTEMS,,,SUNLIGHTSOLAR7@GMAIL.COM,9463563475,14,52,2026-02-08T16:25:22.735017
PUNJAB,Mansa,ARSH ELECTRICAL WORKS,,,supandeepsingh103@gmail.com,9592798276,12,38,2026-02-08T16:25:24.112161
