state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Sangrur,SHRI G S TRADERS DHURI,,,gstraders643@gmail.com,9888493234,147,566,2026-02-08T16:31:45.317345
PUNJAB,Sangrur,PUNJAB SOLAR CITY,,,punjabsolarcity2@gmail.com,9517114000,101,393,2026-02-08T16:31:46.607842
PUNJAB,Sangrur,MAHAVIR INDUSTRIES,,,MAHAVIRGARG265@GMAIL.COM,9465205001,60,191,2026-02-08T16:31:48.161881
PUNJAB,Sangrur,SANGRUR SOLAR,,,manojgoyalmanojgoyal18@gmail.com,9056638709,45,188,2026-02-08T16:31:49.820928
PUNJAB,Sangrur,KARAIL TRADING COMPANY,:,,nirmalsinghkarail@gmail.com,9855362800,35,143,2026-02-08T16:31:51.506783
PUNJAB,Sangrur,LS ENTERPRISES,,,lsenterprisessangrur@gmail.com,9646110019,31,127,2026-02-08T16:31:53.083982
PUNJAB,Sangrur,UMEED INFRASTRUCTURES AND REAL ESTATES,,,umeedinfra@yahoo.com,9855961396,26,101,2026-02-08T16:31:54.453222
PUNJAB,Sangrur,STAR SOLAR SOLUTION,,,starsolarsolutions4@gmail.com,9878730041,26,128,2026-02-08T16:31:55.925898
PUNJAB,Sangrur,PRATEEK GUPTA,,,PVTECHENGG@GMAIL.COM,9779067555,20,107,2026-02-08T16:31:57.287075
PUNJAB,Sangrur,M/S SINGH ELECTRICALS,,,singhelectricals92@gmail.com,7888351330,19,73,2026-02-08T16:31:58.914996
PUNJAB,Sangrur,A.M TRADER,,,TRADERLEHRAGAGA@GMAIL.COM,9463127784,18,96,2026-02-08T16:32:00.543485
PUNJAB,Sangrur,EVERGREEN ENERGY SOLAR SOLUTIONS,,,EVERGREENENERGYSOLAR@GMAIL.COM,9914064282,17,74,2026-02-08T16:32:01.831933
PUNJAB,Sangrur,SHRIBALAJI VISION,,,Ssanjay8082@gmail.com,9988008884,14,67,2026-02-08T16:32:03.258491
PUNJAB,Sangrur,POWER TRADING COMPANY,,,hardevsinghchahal@rediffmail.com,9478100685,14,58,2026-02-08T16:32:04.751997
PUNJAB,Sangrur,DC SOLAR,,,dcsolarpunjab@gmail.com,9463992277,14,65,2026-02-08T16:32:06.386161
PUNJAB,Sangrur,VINAYAK SOLAR HUB & ELECTRONICS,:,,VINAYGARG382@GMAIL.COM,9814161770,13,58,2026-02-08T16:32:07.890565
PUNJAB,Sangrur,ARIHANT INDUSTRIES,,,UCBSOLAR@GMAIL.COM,9988801440,12,49,2026-02-08T16:32:09.429447
