state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Ajmer,SORATAN ENTERPRISES,,,soratanenterprises@gmail.com,9414042484,595,2261,2026-02-08T16:35:15.251250
RAJASTHAN,Ajmer,MAHAGURU MARKETING,,,madhavmaheshwari1992@gmail.com,9414415624,247,961,2026-02-08T16:35:16.839558
RAJASTHAN,Ajmer,NEOTERIX SOLUTION PVT. LTD.,:,,neoterixsolutions@gmail.com,9414010579,228,1063,2026-02-08T16:35:18.544977
RAJASTHAN,Ajmer,ALISHA SOLAR SOLUTION,:,,alishaelectricals086@gmail.com,9166716699,228,765,2026-02-08T16:35:19.988039
RAJASTHAN,Ajmer,POWER NEXT SOLUTIONS,,,powernextsolutions@gmail.com,7737664155,204,697,2026-02-08T16:35:21.600407
RAJASTHAN,Ajmer,PEONY ENERGY PVT LTD,,,bansallanuraag@gmail.com,8239002111,175,586,2026-02-08T16:35:23.282113
RAJASTHAN,Ajmer,M B CONSTRUCTION COMPANY,:,,mahendra3247@gmail.com,9610569909,169,600,2026-02-08T16:35:24.826562
RAJASTHAN,Ajmer,PRIMUS ENERGY SOLUTIONS PVT. LTD.,,,anilraao@gmail.com,9899125125,140,592,2026-02-08T16:35:26.515685
RAJASTHAN,Ajmer,MS CITY SOLAR,,,citysolar50@gmail.com,9784116404,134,516,2026-02-08T16:35:28.006567
RAJASTHAN,Ajmer,INDIA ELECTRICALS,,,indiaelectricalskekri@gmail.com,9414375950,132,440,2026-02-08T16:35:29.607982
RAJASTHAN,Ajmer,SOLAR CIRCLE ENRGY,,,info@mysolarcircle.in,9799998489,128,498,2026-02-08T16:35:31.070121
RAJASTHAN,Ajmer,TRAURJA SOLUTIONS LLP,:,,traurja@gmail.com,9717945951,124,563,2026-02-08T16:35:32.664161
RAJASTHAN,Ajmer,RUDRA ELECTRICALS,,,komal04@gmail.com,9413490911,120,407,2026-02-08T16:35:34.308123
RAJASTHAN,Ajmer,RONAK SOLAR ENTERPRISES,,,ronaksolar@gmail.com,8290565371,120,447,2026-02-08T16:35:35.976501
RAJASTHAN,Ajmer,KHANDELWAL EQUIPMENT,,,vipinkhandelwalajmer@gmail.com,9352030529,104,338,2026-02-08T16:35:37.553275
RAJASTHAN,Ajmer,SMART SUN POWER,,,indiansmartsunpower@gmail.com,7240004188,99,440,2026-02-08T16:35:39.245369
RAJASTHAN,Ajmer,AMARWAL AGENCIES,,,vamarwal85@gmail.com,9214658673,95,321,2026-02-08T16:35:41.020647
RAJASTHAN,Ajmer,BHUPENDRA SOLAR POWER SOLUTION,:,,solar00@gmail.com,8619706162,94,341,2026-02-08T16:35:42.442019
RAJASTHAN,Ajmer,SUN PRISE ENTERPRISES,,,solarsunprise@gmail.com,9660629304,91,327,2026-02-08T16:35:43.922824
RAJASTHAN,Ajmer,SACHET ADVISORY SERVICES PVT. LTD.,,,solars4u@gmail.com,9414015129,85,398,2026-02-08T16:35:45.493155
RAJASTHAN,Ajmer,POWER INDIA SOLAR,,,pisolar10@gmail.com,8952812158,82,295,2026-02-08T16:35:54.529850
RAJASTHAN,Ajmer,GREEN WAY SOLAR ENERGY,,,ravikantgupta22@gmail.com,8503810442,81,306,2026-02-08T16:35:55.839210
RAJASTHAN,Ajmer,SUNLIGHT SOLAR ENTERPRISES,,,samhusain97@gmail.com,9001233323,75,268,2026-02-08T16:35:57.494185
RAJASTHAN,Ajmer,SATWIK SUNGREEN CORPORATION,:,,satwiksungreen@gmail.com,7023705040,69,284,2026-02-08T16:35:59.151726
RAJASTHAN,Ajmer,SUNSHINE ENERGY INC.,,,renewableenergy@gmail.com,9971119724,67,245,2026-02-08T16:36:00.895731
RAJASTHAN,Ajmer,K P ELECTRICALS,,,udr@gmail.com,9887400005,66,266,2026-02-08T16:36:02.446597
RAJASTHAN,Ajmer,SOLIS POWER SOLUTIONS,,,PROJECTS@SOLISPOWER.IN,9785654000,64,264,2026-02-08T16:36:04.217775
RAJASTHAN,Ajmer,SHREE RADHE ENTERPRISES,,,shreeradheenterprises708@gmail.com,8306733665,60,241,2026-02-08T16:36:05.785456
RAJASTHAN,Ajmer,SOLARIUM GREEN ENERGY LIMITED,,,np@solariumenergy.in,9687133338,58,236,2026-02-08T16:36:07.118092
RAJASTHAN,Ajmer,NAAZ SOLAR,,,naazsolarsales@gmail.com,9784537867,57,263,2026-02-08T16:36:08.616229
RAJASTHAN,Ajmer,SOLFIT ENERGY PRIVATE LIMITED,,,in@gmail.com,8619309598,54,191,2026-02-08T16:36:10.207029
RAJASTHAN,Ajmer,ANIL JAIN CONTRACTOR,,,aniljaincontractor@gmail.com,9214339831,50,173,2026-02-08T16:36:11.651631
RAJASTHAN,Ajmer,SOLAR PLANET,,,solarplanet@gmail.com,7737905787,46,177,2026-02-08T16:36:12.968509
RAJASTHAN,Ajmer,MV SOLAR,,,mvsolar01@gmail.com,6395531430,45,146,2026-02-08T16:36:14.483856
RAJASTHAN,Ajmer,VIVAAN ENTERPRISES,,,vivanenterprise68@gmail.com,9571211118,43,143,2026-02-08T16:36:15.914905
RAJASTHAN,Ajmer,STABLE ENERGY PRIVATE LIMITED,,,energysolutions2022@gmail.com,7014920144,42,135,2026-02-08T16:36:17.351754
RAJASTHAN,Ajmer,SOLAR POWER SOLUTIONS,,,thesolarpower31@gmail.com,9772041431,40,154,2026-02-08T16:36:18.821182
RAJASTHAN,Ajmer,YUVRAJ ENGINEER & SERVICES PVT. LTD.,,,harshvardhansinghrathore557@gmail.com,8739930704,39,131,2026-02-08T16:36:20.564508
RAJASTHAN,Ajmer,DHAKER ELECTRONICS,,,hansrajdhakar24148@gmail.com,9001547768,39,129,2026-02-08T16:36:22.147888
RAJASTHAN,Ajmer,VERSHA ELECTRICALS,,,vershaelectricals@gmail.com,9799947295,38,130,2026-02-08T16:36:23.632014
RAJASTHAN,Ajmer,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,38,134,2026-02-08T16:36:33.528439
RAJASTHAN,Ajmer,SHREE GURUKRIPA ENTERPRISES,,,INVERTERGURUKRIPA@GMAIL.COM,9414204030,37,150,2026-02-08T16:36:35.005640
RAJASTHAN,Ajmer,LEELMAX POWER SOLUTION PVT LTD,,,leelmax2016@gmail.com,9587514401,33,109,2026-02-08T16:36:36.482164
RAJASTHAN,Ajmer,RATAN ELECTRIC & MACHINERY STORE,,,ratanelectrickekri@gmail.com,9887404403,31,96,2026-02-08T16:36:38.316362
RAJASTHAN,Ajmer,PINAKA POWER AND ELECTRICALS,,,pinakapower@gmail.com,7737802499,31,127,2026-02-08T16:36:39.833995
RAJASTHAN,Ajmer,RAGHAV RANEWABLE ENERGY INDUSTRIES PVT. LTD.,,,INFO-RAGHAVENERGY@RRIPL.COM,9529450285,30,106,2026-02-08T16:36:41.576130
RAJASTHAN,Ajmer,GREEN ENERGY ENGINEER'S & TECHNOLOGIES LLP,,,greenenergyengineersllp@gmail.com,9929666281,29,102,2026-02-08T16:36:43.259241
RAJASTHAN,Ajmer,AAKASH URJA PRIVATE LIMITED,,,nvnajm@gmail.com,8209780318,29,112,2026-02-08T16:36:44.732801
RAJASTHAN,Ajmer,TIRUPATI SOLAR ENTERPRISES,,,tirupatisolarenterprises12@gmail.com,9602308328,28,90,2026-02-08T16:36:46.470491
RAJASTHAN,Ajmer,KAMANDA MAHADEV ENGINEERING,,,kamandamahadevengineering@gmail.com,9929966884,24,84,2026-02-08T16:36:48.150235
RAJASTHAN,Ajmer,AURASUN SOLAR ELECTRO SOLUTIONS LLP,,,solar@gmail.com,7877142576,24,86,2026-02-08T16:36:49.746388
RAJASTHAN,Ajmer,KESHAV CONSTRUCTIONS,,,keshavconst3@gmail.com,8439213000,23,73,2026-02-08T16:36:51.331968
RAJASTHAN,Ajmer,RAWAT SOLAR ENERGY COMPANY,,,rawatsolarenergycompany@gmail.com,8852825744,22,61,2026-02-08T16:36:52.794321
RAJASTHAN,Ajmer,DEVSHREE GREEN ENERGY,,,Poonamswami20121@gmail.com,6376008867,22,85,2026-02-08T16:36:54.220673
RAJASTHAN,Ajmer,AJMER SOLAR ENTERPRISES,,,bhanwar1@gmail.com,9468897115,22,72,2026-02-08T16:36:55.761890
RAJASTHAN,Ajmer,UDAAN SOLAR POWER SOLUTIONS,,,dildadheech77@gmail.com,8875480793,21,68,2026-02-08T16:36:57.536917
RAJASTHAN,Ajmer,KRISHNA AGROTECH,,,krishnaagrotechdlp@GMAIL.COM,9414885838,19,65,2026-02-08T16:36:59.390576
RAJASTHAN,Ajmer,SHREE SHYAM POWER PROJECT PRIVATE LIMITED,,,solarwalajpr@gmail.com,9828111187,18,66,2026-02-08T16:37:01.120293
RAJASTHAN,Ajmer,ECOPULSE ENERGY PRIVATE LIMITED,:,,ecopulseenergy@gmail.com,8561073457,18,80,2026-02-08T16:37:02.612849
RAJASTHAN,Ajmer,SAURON ENERGY,,,sauronenergy@gmail.com,8583073226,17,71,2026-02-08T16:37:04.474159
RAJASTHAN,Ajmer,RATAN GREEN ENERGY SERVICE PVT. LTD,,,sales@ratangreenenergy.com,9024889886,16,103,2026-02-08T16:37:12.606786
RAJASTHAN,Ajmer,LOKESH ENTERPRISES,,,KHAROLLOKESH@GMAIL.COM,7568999200,15,52,2026-02-08T16:37:14.140534
RAJASTHAN,Ajmer,JOGMAYA ELECTRO CONSTRUCTIONS,,,jagdamba@gmail.com,8875468999,15,48,2026-02-08T16:37:15.788855
RAJASTHAN,Ajmer,STAR ENERGY SYSTEMS,,,starenergyindia@gmail.com,9825014314,13,70,2026-02-08T16:37:17.267470
RAJASTHAN,Ajmer,MONIKA ENTERPRISES,:,,monikaenterprises03@gmail.com,8209413101,13,60,2026-02-08T16:37:18.952482
RAJASTHAN,Ajmer,M/S G P GROUP,,,gpgroupmtc@gmail.com,7597413131,13,44,2026-02-08T16:37:20.692008
RAJASTHAN,Ajmer,CRAFT SOLUTIONS,,,jpr@gmail.com,9352183937,13,42,2026-02-08T16:37:22.288598
RAJASTHAN,Ajmer,URJAX,,,satwikchhangani16@gmail.com,9530191790,12,57,2026-02-08T16:37:23.932047
RAJASTHAN,Ajmer,SUNCITY SOLAR TECHNOLOGY SOLAR WALA,,,solarwalababa@gmail.com,9782255582,12,44,2026-02-08T16:37:25.765244
RAJASTHAN,Ajmer,SUHANI ENTERPRISES,,,sanjayjainswm71@gmail.com,9587351111,12,41,2026-02-08T16:37:27.401760
RAJASTHAN,Ajmer,GOLECHA OVERSEAS,,,golechavishaljain@gmail.com,7014767891,12,38,2026-02-08T16:37:28.985956
RAJASTHAN,Ajmer,M.K. SOLAR ENERGY,,,mksolarenergy87@gmail.com,9785514441,11,44,2026-02-08T16:37:30.528209
