state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Alwar,SORATAN ENTERPRISES,,,soratanenterprises@gmail.com,9414042484,595,2261,2026-02-08T16:38:07.747234
RAJASTHAN,Alwar,MAHAGURU MARKETING,,,madhavmaheshwari1992@gmail.com,9414415624,247,961,2026-02-08T16:38:09.270691
RAJASTHAN,Alwar,NEOTERIX SOLUTION PVT. LTD.,:,,neoterixsolutions@gmail.com,9414010579,228,1063,2026-02-08T16:38:10.697702
RAJASTHAN,Alwar,ALISHA SOLAR SOLUTION,:,,alishaelectricals086@gmail.com,9166716699,228,765,2026-02-08T16:38:12.473436
RAJASTHAN,Alwar,POWER NEXT SOLUTIONS,,,powernextsolutions@gmail.com,7737664155,204,697,2026-02-08T16:38:13.945044
RAJASTHAN,Alwar,PEONY ENERGY PVT LTD,,,bansallanuraag@gmail.com,8239002111,175,586,2026-02-08T16:38:15.435125
RAJASTHAN,Alwar,M B CONSTRUCTION COMPANY,:,,mahendra3247@gmail.com,9610569909,169,600,2026-02-08T16:38:16.975233
RAJASTHAN,Alwar,PRIMUS ENERGY SOLUTIONS PVT. LTD.,,,anilraao@gmail.com,9899125125,140,592,2026-02-08T16:38:18.681715
RAJASTHAN,Alwar,MS CITY SOLAR,,,citysolar50@gmail.com,9784116404,134,516,2026-02-08T16:38:20.568607
RAJASTHAN,Alwar,INDIA ELECTRICALS,,,indiaelectricalskekri@gmail.com,9414375950,132,440,2026-02-08T16:38:22.096688
RAJASTHAN,Alwar,SOLAR CIRCLE ENRGY,,,info@mysolarcircle.in,9799998489,128,498,2026-02-08T16:38:23.544388
RAJASTHAN,Alwar,TRAURJA SOLUTIONS LLP,:,,traurja@gmail.com,9717945951,124,563,2026-02-08T16:38:25.142571
RAJASTHAN,Alwar,RUDRA ELECTRICALS,,,komal04@gmail.com,9413490911,120,407,2026-02-08T16:38:26.790689
RAJASTHAN,Alwar,RONAK SOLAR ENTERPRISES,,,ronaksolar@gmail.com,8290565371,120,447,2026-02-08T16:38:28.326174
RAJASTHAN,Alwar,KHANDELWAL EQUIPMENT,,,vipinkhandelwalajmer@gmail.com,9352030529,104,338,2026-02-08T16:38:29.756043
RAJASTHAN,Alwar,SMART SUN POWER,,,indiansmartsunpower@gmail.com,7240004188,99,440,2026-02-08T16:38:31.591855
