state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Balotra,MARWAR GLOBAL POWER SOLUTIONS,,,marwargps@gmail.com,9928142674,125,458,2026-02-08T16:42:02.057701
RAJASTHAN,Balotra,RAM ENGINEERING AND HARDWARE,,,ramsolarworks@gmail.com,7568114448,53,224,2026-02-08T16:42:03.820888
RAJASTHAN,Balotra,RAJASTHAN SOLAR SOLUTION,,,nehra2706@gmail.com,9462741022,25,132,2026-02-08T16:42:05.536536
RAJASTHAN,Balotra,MARUDHAR SOLAR SOLUTION,,,Marudharsolarsolution@gmail.com,8209220621,24,90,2026-02-08T16:42:07.030051
RAJASTHAN,Balotra,SHREE VIKRAMADITIYA ENTERPRISES,,,chotusinghsodha21@gmail.com,8209738577,23,100,2026-02-08T16:42:08.755003
RAJASTHAN,Balotra,SR HORIZON PRIVATE LIMITED,,,srhorizon@outlook.com,8947998570,21,84,2026-02-08T16:42:10.357887
RAJASTHAN,Balotra,URAVASHI SOLAR ENTERPRISES LLP,,,info@uesolar.in,7737365473,20,67,2026-02-08T16:42:12.018538
RAJASTHAN,Balotra,SOLFIT ENERGY PRIVATE LIMITED,,,in@gmail.com,8619309598,19,92,2026-02-08T16:42:13.389249
RAJASTHAN,Balotra,EFARM INTERNATIONAL PRIVATE LIMITED,:,,info@efarmenergy.com,9723610012,16,72,2026-02-08T16:42:14.740653
RAJASTHAN,Balotra,HYSUN SOLAR PRIVATE LIMITED,,,prajapatiomaram62@gmail.com,7573999961,14,56,2026-02-08T16:42:16.213712
