state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Banswara,RATHORE ELECTRICALS,,,ronakraja89@gmail.com,9413945983,171,590,2026-02-08T16:42:57.065720
RAJASTHAN,Banswara,TRAURJA SOLUTIONS LLP,:,,traurja@gmail.com,9717945951,144,657,2026-02-08T16:42:58.676556
RAJASTHAN,Banswara,SHAKTI TECHNOLOGY,,,shaktitechnologybsw@gmail.com,9601946762,95,382,2026-02-08T16:43:00.318607
RAJASTHAN,Banswara,ADVITMAXX ENERGY PRIVATE LIMITED,,,advitmaxx@gmail.com,9636294017,76,306,2026-02-08T16:43:01.897046
RAJASTHAN,Banswara,K P ELECTRICALS,,,udr@gmail.com,9887400005,52,170,2026-02-08T16:43:03.296886
RAJASTHAN,Banswara,MGR CONSTRUCTION,,,govindchampawat@gmail.com,9929987766,50,171,2026-02-08T16:43:04.810103
RAJASTHAN,Banswara,RIZEL GROUP,,,rizelgroup@gmail.com,9672525744,39,147,2026-02-08T16:43:06.349038
RAJASTHAN,Banswara,UMIYA ENTERPRISES,:,,umiyaenterprisesrajasthan@gmail.com,9723301316,27,90,2026-02-08T16:43:07.752622
RAJASTHAN,Banswara,SOLIS POWER SOLUTIONS,,,PROJECTS@SOLISPOWER.IN,9785654000,25,110,2026-02-08T16:43:09.520235
RAJASTHAN,Banswara,SOLFIT ENERGY PRIVATE LIMITED,,,in@gmail.com,8619309598,19,69,2026-02-08T16:43:11.085300
RAJASTHAN,Banswara,ARUNAM BUSINESS SOLUTIONS PVT LTD,,,solar@gmail.com,9784139103,18,62,2026-02-08T16:43:12.857998
RAJASTHAN,Banswara,MUNDRA ELECTRICALS,,,deepak_mundra73@rediffmail.com,9414354412,16,45,2026-02-08T16:43:14.187604
RAJASTHAN,Banswara,GULABJI KASIMJI & BROS,,,gkbpower@gmail.com,8209659143,16,55,2026-02-08T16:43:15.758114
RAJASTHAN,Banswara,SHREE RAM ENTERPRISES,:,,solarnikhil@gmail.com,8233926666,15,57,2026-02-08T16:43:17.305305
RAJASTHAN,Banswara,BN ENTERPRISES,,,bnenterprises348@gmail.com,8003100222,12,46,2026-02-08T16:43:18.934031
RAJASTHAN,Banswara,HR GLOBAL COMPANY,,,companyhrglobal@gmail.com,9461777287,11,38,2026-02-08T16:43:20.576601
