state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Baran,MILAN ELECTRICALS SOLUTION,,,milanelectricalssolution@gmail.com,9413102267,151,606,2026-02-08T16:43:49.720897
RAJASTHAN,Baran,ADITYA SOLARS,,,RAJKUMARMEENA10680@GMAIL.COM,8306170662,101,477,2026-02-08T16:43:51.383019
RAJASTHAN,Baran,SS NEXT VISION,,,ssnextvision@gmail.com,7891411666,77,269,2026-02-08T16:43:52.863997
RAJASTHAN,Baran,GENIUS SN ENTERPRISES,,,Geniussnenterprises@gmail.com,9672777880,55,212,2026-02-08T16:43:54.404176
RAJASTHAN,Baran,REVERENCE SOLUTIONS,,,vikasmalav28@gmail.com,7231001119,36,130,2026-02-08T16:43:55.864444
RAJASTHAN,Baran,K P ELECTRICALS,,,udr@gmail.com,9887400005,35,117,2026-02-08T16:43:57.478784
RAJASTHAN,Baran,AVN ENERGY,,,avnenergyindia@gmail.com,8306795399,31,123,2026-02-08T16:43:58.946813
RAJASTHAN,Baran,LEELMAX POWER SOLUTION PVT LTD,,,leelmax2016@gmail.com,9587514401,25,106,2026-02-08T16:44:00.431273
RAJASTHAN,Baran,VINAYAKAM SOLUTION,,,vinayakamsolution@gmail.com,8003535060,23,87,2026-02-08T16:44:01.854345
RAJASTHAN,Baran,GLOBAL H.D. SOURCES,:,,globalhdsourcess@gmail.com,8005828446,17,56,2026-02-08T16:44:03.345986
RAJASTHAN,Baran,SOLAR TECHNOCRATS,:,,solartechnocrats@gmail.com,9503896769,16,75,2026-02-08T16:44:05.075029
RAJASTHAN,Baran,SHREE PITRA KRIPA TRADERS,,,vinodmewara95@gmail.com,7615014748,15,51,2026-02-08T16:44:06.651793
RAJASTHAN,Baran,AURASUN SOLAR ELECTRO SOLUTIONS LLP,,,solar@gmail.com,7877142576,15,48,2026-02-08T16:44:08.527172
RAJASTHAN,Baran,V R ENTERPRISES,,,VRENTERPRISESKOTA@GMAIL.COM,6378715235,14,45,2026-02-08T16:44:10.143230
RAJASTHAN,Baran,SHIVSHAKTI GREEN TECH,,,shivshaktigreentech@gmail.com,9521548151,13,55,2026-02-08T16:44:11.869858
RAJASTHAN,Baran,VIDHYA SOLAR SOLUTIONS,,,yogeshsirotha44@gmail.com,7976040495,11,37,2026-02-08T16:44:13.251843
RAJASTHAN,Baran,INTERNATIONAL TECHNO ENGINEER,:,,PIYUSH9885@GMAIL.COM,9829690026,11,40,2026-02-08T16:44:14.887924
