state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Barmer,VIVAAN ENTERPRISES,,,vivanenterprise68@gmail.com,9571211118,151,558,2026-02-08T16:44:43.092198
RAJASTHAN,Barmer,MAGNITUDEFOR RENEWABLE PRIVATE LIMITED,,,mgodara839@gmail.com,9680114884,114,488,2026-02-08T16:44:44.618746
RAJASTHAN,Barmer,GODARA IRRIGATION SYSTEM,:,,dpbishnoi1980@gmail.com,9828888529,81,484,2026-02-08T16:44:46.154366
RAJASTHAN,Barmer,MARWAR GLOBAL POWER SOLUTIONS,,,marwargps@gmail.com,9928142674,77,300,2026-02-08T16:44:47.701311
RAJASTHAN,Barmer,NEW INDIA ENERGY SOLUTIONS,,,nies1219@gmail.com,8290961432,60,232,2026-02-08T16:44:49.287778
RAJASTHAN,Barmer,HARI OM SOLAR BARMER,,,hariomsolarbarmer@gmail.com,6377643422,47,159,2026-02-08T16:44:50.660891
RAJASTHAN,Barmer,SUNRISE SOLAR ENERGY,,,solar19@gmail.com,9460803002,46,271,2026-02-08T16:44:52.022790
RAJASTHAN,Barmer,BABA RAMDEV ENTERPRISES,,,babaramdevutl@gmail.com,9460375019,46,195,2026-02-08T16:44:53.503926
RAJASTHAN,Barmer,SHREE SOLAR VENTURE PVT LTD,,,shreesolarventure@gmail.com,9571211118,37,163,2026-02-08T16:44:55.244282
RAJASTHAN,Barmer,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,30,119,2026-02-08T16:44:56.930584
RAJASTHAN,Barmer,HYSUN SOLAR PRIVATE LIMITED,,,prajapatiomaram62@gmail.com,7573999961,26,117,2026-02-08T16:44:58.766177
RAJASTHAN,Barmer,SOLFIT ENERGY PRIVATE LIMITED,,,in@gmail.com,8619309598,25,94,2026-02-08T16:44:59.786417
RAJASTHAN,Barmer,SOLARONEV CONSULTING AND TRADING SOLUTIONS,,,pankaj1jan@gmail.com,9216501940,23,96,2026-02-08T16:45:01.552915
RAJASTHAN,Barmer,RAJASTHAN GREEN ENERGY,,,haripatel1784@gmail.com,9680712217,23,77,2026-02-08T16:45:03.052331
RAJASTHAN,Barmer,SERVOTECH POWER SYSTEMS LIMITED,,,pmsuryaghar@servotechindia.com,9266918120,19,59,2026-02-08T16:45:04.696862
RAJASTHAN,Barmer,ANMOL TRADING COMPANY,,,anmolsolarjodhpur@gmail.com,7339741352,18,61,2026-02-08T16:45:06.254448
RAJASTHAN,Barmer,V K SOLAR AND WIND ENERGY,,,vksolar405@gmail.com,7737790405,16,104,2026-02-08T16:45:07.744029
RAJASTHAN,Barmer,OV ENTERPRISES,:,,ovsolarenergy@gmail.com,9717459459,16,66,2026-02-08T16:45:09.436993
