state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Bharatpur,SMART SUN POWER,,,indiansmartsunpower@gmail.com,7240004188,135,520,2026-02-08T16:47:08.072085
RAJASTHAN,Bharatpur,PEPA SOLAR ENERGY OPC PRIVATE LIMITED,,,pepasolarenergy@gmail.com,9462000397,130,457,2026-02-08T16:47:09.552469
RAJASTHAN,Bharatpur,MV SOLAR,,,mvsolar01@gmail.com,6395531430,71,227,2026-02-08T16:47:10.971383
RAJASTHAN,Bharatpur,RAJASTHAN GREEN ENERGY SOLAR POWER PRIVATE LIMITED,,,rajasthansolaroffice@gmail.com,8302652021,58,251,2026-02-08T16:47:12.423525
RAJASTHAN,Bharatpur,CHOUDHARY ENTERPRISES,:,,munesjaat00@gmail.com,9828626218,57,234,2026-02-08T16:47:14.134092
RAJASTHAN,Bharatpur,SKYPE SOLAR PVT. LTD,,,skypesolar21@gmail.com,9166677798,42,169,2026-02-08T16:47:15.614942
RAJASTHAN,Bharatpur,CHITRA ENTERPRISES,,,chitrapowerhouse@gmail.com,7791039565,40,170,2026-02-08T16:47:17.262276
RAJASTHAN,Bharatpur,JAI BAJRANGWALI ELECTRICALS,,,narendrarup@gmail.com,9928217221,37,129,2026-02-08T16:47:18.687901
RAJASTHAN,Bharatpur,NEWTECH INDUSTRIES,,,awr@gmail.com,8890753043,31,133,2026-02-08T16:47:20.265394
RAJASTHAN,Bharatpur,RK SOLAR,,,rksolarbharatpur@gmail.com,8005744490,30,104,2026-02-08T16:47:21.698048
RAJASTHAN,Bharatpur,THE GREATSUN SOLAR ENERGY,,,info@greatsunpower.com,9829418919,29,94,2026-02-08T16:47:23.287921
RAJASTHAN,Bharatpur,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,28,107,2026-02-08T16:47:24.464754
RAJASTHAN,Bharatpur,SHREE SHYAM POWER PROJECT PRIVATE LIMITED,,,solarwalajpr@gmail.com,9828111187,26,95,2026-02-08T16:47:25.977191
RAJASTHAN,Bharatpur,REZANGLA ENTERPRISES,,,anily9898@gmail.com,9413305004,22,96,2026-02-08T16:47:27.548672
RAJASTHAN,Bharatpur,LEELMAX POWER SOLUTION PVT LTD,,,leelmax2016@gmail.com,9587514401,22,74,2026-02-08T16:47:29.070269
RAJASTHAN,Bharatpur,KARSONS SOLAR SERVICES,,,karsonsolarservices@gmail.com,8955621366,22,85,2026-02-08T16:47:30.517780
RAJASTHAN,Bharatpur,DISHANT INFOTECH,,,sushilbekool@gmail.com,9649058058,17,60,2026-02-08T16:47:32.123517
RAJASTHAN,Bharatpur,GHASUN ENERGY,,,kumhersingh12061998@gmail.com,7665168524,16,55,2026-02-08T16:47:33.858011
RAJASTHAN,Bharatpur,URJASVINI SOLUTION OPC PRIVATE LIMITED,,,contactletsgosolar@gmail.com,9929977033,15,47,2026-02-08T16:47:35.298031
RAJASTHAN,Bharatpur,AGRAWAL SOLAR ENERGY LLP,:,,AGRAWALSOLARENERGY@GMAIL.COM,7300003982,14,53,2026-02-08T16:47:37.027778
RAJASTHAN,Bharatpur,SHIVA SOLAR,,,shivasolardausa@gmail.com,9314297540,13,51,2026-02-08T16:47:45.166408
