state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Bhilwara,BALAJI SOLAR ENERGY,,,bhl@gmail.com,9413355388,509,1546,2026-02-08T16:48:37.871419
RAJASTHAN,Bhilwara,NAMA BATTERIES AND SOLAR POWER,,,namasolarenergy@gmail.com,9413322667,399,1544,2026-02-08T16:48:39.360389
RAJASTHAN,Bhilwara,SUNLIGHT SOLAR ENTERPRISES,,,samhusain97@gmail.com,9001233323,333,1182,2026-02-08T16:48:41.090087
RAJASTHAN,Bhilwara,POWER INDIA SOLAR,,,pisolar10@gmail.com,8952812158,243,888,2026-02-08T16:48:42.615113
RAJASTHAN,Bhilwara,KANTA SOLAR,:,,kantasolar@gmail.com,9887711110,205,1050,2026-02-08T16:48:44.143426
RAJASTHAN,Bhilwara,SUN PRISE ENTERPRISES,,,solarsunprise@gmail.com,9660629304,191,659,2026-02-08T16:48:45.487450
RAJASTHAN,Bhilwara,LEELMAX POWER SOLUTION PVT LTD,,,leelmax2016@gmail.com,9587514401,169,569,2026-02-08T16:48:47.157017
RAJASTHAN,Bhilwara,M/S HINGLAJ POWER PROJECTS PRIVATE LIMITED,,,hinglajpowerprojects@gmail.com,8619932018,166,582,2026-02-08T16:48:48.728709
RAJASTHAN,Bhilwara,VINI ENTERPRISES,:,,ashishprajapat565@gmail.com,9214369821,159,661,2026-02-08T16:48:50.405022
RAJASTHAN,Bhilwara,RONAK SOLAR ENTERPRISES,,,ronaksolar@gmail.com,8290565371,155,534,2026-02-08T16:48:52.076141
RAJASTHAN,Bhilwara,DHAKER ELECTRONICS,,,hansrajdhakar24148@gmail.com,9001547768,133,465,2026-02-08T16:48:53.665366
RAJASTHAN,Bhilwara,S R ENERGY,,,sahuraghuveer7@gmail.com,9783840638,131,439,2026-02-08T16:48:55.140256
RAJASTHAN,Bhilwara,GALAXY ENTERPRISES,,,afrojquazi@gmail.com,9460753786,121,435,2026-02-08T16:48:56.757584
RAJASTHAN,Bhilwara,SUN SWITCH,,,sunswitch5@gmail.com,9667770305,119,424,2026-02-08T16:48:58.285450
RAJASTHAN,Bhilwara,PANSEN INFRASTRUCTURE PRIVATE LIMITED,,,panseninfrastructure@gmail.com,9799912727,118,459,2026-02-08T16:48:59.632737
RAJASTHAN,Bhilwara,RIZEL GROUP,,,rizelgroup@gmail.com,9672525744,113,452,2026-02-08T16:49:01.382020
RAJASTHAN,Bhilwara,SOLIS POWER SOLUTIONS,,,PROJECTS@SOLISPOWER.IN,9785654000,104,409,2026-02-08T16:49:03.004435
RAJASTHAN,Bhilwara,NEW RAJ ENTERPRISES,,,yogesh89@gmail.com,9784009274,101,346,2026-02-08T16:49:04.556874
RAJASTHAN,Bhilwara,G ENGINEERS,,,gengineers0004@gmail.com,9680284604,94,325,2026-02-08T16:49:06.004365
RAJASTHAN,Bhilwara,SHREE SARERI SHYAM ELECTRICAL ENTERPRISES,:,,enterprizes@gmail.com,8386032889,90,334,2026-02-08T16:49:07.378172
RAJASTHAN,Bhilwara,UDAAN SOLAR POWER SOLUTIONS,,,dildadheech77@gmail.com,8875480793,81,269,2026-02-08T16:49:15.008648
RAJASTHAN,Bhilwara,SHUBHAM MINCHEM PRIVATE LIMITED,:,,akb56347@gmail.com,7073773084,74,297,2026-02-08T16:49:16.398109
RAJASTHAN,Bhilwara,OJAS INFRA GROUP,:,,ojasenergyinfra@gmail.com,9414284064,49,220,2026-02-08T16:49:17.887451
RAJASTHAN,Bhilwara,M/S BALAJI ELECTRICALS,,,balajisolarasd@gmail.com,8000848024,49,186,2026-02-08T16:49:19.468790
RAJASTHAN,Bhilwara,SHREEJI SOLAR SOLUTIONS,,,PANDEY01@GMAIL.COM,9001071236,45,152,2026-02-08T16:49:21.134192
RAJASTHAN,Bhilwara,APS ROOFTOP SOLAR PRIVATE LIMITED,:,,info@apsrooftopsolar.co,7966009900,44,166,2026-02-08T16:49:22.651330
RAJASTHAN,Bhilwara,SHREE SANWARIYA SETH SOLAR SERVICES,,,sanwariyasethsolar@gmail.com,7014041245,36,118,2026-02-08T16:49:24.053968
RAJASTHAN,Bhilwara,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,36,124,2026-02-08T16:49:25.596759
RAJASTHAN,Bhilwara,SHIVAM ENTERPRISES,,,shivpratapsingh80@gmail.com,9829340188,32,111,2026-02-08T16:49:27.016229
RAJASTHAN,Bhilwara,SAARTHI SOLAR SOLUTION,,,saarthisolar2016@gmail.com,7665088000,30,98,2026-02-08T16:49:28.727999
RAJASTHAN,Bhilwara,S K SOLAR & ELECTRICALS,,,sksolarbundi@gmail.com,9828542277,30,105,2026-02-08T16:49:30.168849
RAJASTHAN,Bhilwara,RADHEY KRISHNA RENEWABLE PRIVATE LIMITED,,,infosolarrk@gmail.com,9462600029,28,107,2026-02-08T16:49:31.654445
RAJASTHAN,Bhilwara,SOLARIUM GREEN ENERGY LIMITED,,,np@solariumenergy.in,9687133338,27,94,2026-02-08T16:49:33.185805
RAJASTHAN,Bhilwara,SUNRISE SOLAR SALE & SERVICES,,,tc@gmail.com,7737401410,26,105,2026-02-08T16:49:34.727435
RAJASTHAN,Bhilwara,SMART SUN POWER,,,indiansmartsunpower@gmail.com,7240004188,23,90,2026-02-08T16:49:36.124903
RAJASTHAN,Bhilwara,K. K. POWER SOLUTIONS,,,kkpower45@gmail.com,9928186029,22,77,2026-02-08T16:49:37.487572
RAJASTHAN,Bhilwara,AMAN ELECTRICALS,,,amanelectrical14@gmail.com,9414282596,17,67,2026-02-08T16:49:39.000274
RAJASTHAN,Bhilwara,ADITYA SOLARS,,,RAJKUMARMEENA10680@GMAIL.COM,8306170662,16,63,2026-02-08T16:49:40.545710
RAJASTHAN,Bhilwara,ADITI SOLAR CHITTOR,,,aditisolarchittor@gmail.com,7014618321,16,52,2026-02-08T16:49:42.170089
RAJASTHAN,Bhilwara,VATSAR POWER OPC PVT. LTD.,:,,vatsarindia@gmail.com,9610404999,15,55,2026-02-08T16:49:43.945701
RAJASTHAN,Bhilwara,SHREE SHYAM POWER PROJECT PRIVATE LIMITED,,,solarwalajpr@gmail.com,9828111187,15,48,2026-02-08T16:49:52.834253
RAJASTHAN,Bhilwara,MAYUR SOLAR,,,mayursolarnkt@gmail.com,9928683397,14,52,2026-02-08T16:49:54.213127
RAJASTHAN,Bhilwara,MS DEVIKA ENERGY SOLUTIONS,,,lalchandsuman719@gmail.com,9529015528,13,49,2026-02-08T16:49:55.759349
RAJASTHAN,Bhilwara,HYSUN SOLAR PRIVATE LIMITED,,,prajapatiomaram62@gmail.com,7573999961,11,44,2026-02-08T16:49:57.279707
