state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Bikaner,ECO TECH & ENGINEERING,:,,rathi@eco-techengineering.com,9636528979,867,3782,2026-02-08T16:50:45.118741
RAJASTHAN,Bikaner,VIVAAN ENTERPRISES,,,vivanenterprise68@gmail.com,9571211118,576,2108,2026-02-08T16:50:46.623682
RAJASTHAN,Bikaner,PERFECT SOLAR,,,perfectsolar01@gmail.com,9706577668,390,1852,2026-02-08T16:50:48.089174
RAJASTHAN,Bikaner,DAMINI SOLAR,,,daminisolarbkn@gmail.com,9829226027,330,1577,2026-02-08T16:50:49.715471
RAJASTHAN,Bikaner,SOLAR HOUSE,:,,solar_house@yahoo.com,7737335414,263,1218,2026-02-08T16:50:51.285471
RAJASTHAN,Bikaner,BULL POWER ENERGY PRIVATE LIMITED,,,bullpowersolutions@gmail.com,9610241024,234,1154,2026-02-08T16:50:52.840630
RAJASTHAN,Bikaner,SUNCEPLUS SOLAR PRIVATE LIMITED,,,sunceplus@gmail.com,7665024555,200,749,2026-02-08T16:50:54.325659
RAJASTHAN,Bikaner,POWERXP CONSULTANTS PRIVATE LIMITED,:,,amanverma@powerxpconsultants.com,7726884770,182,833,2026-02-08T16:50:55.917077
RAJASTHAN,Bikaner,RYAN NETWORK,,,ryankhilji@gmail.com,9928499189,178,625,2026-02-08T16:50:57.656222
RAJASTHAN,Bikaner,OM CONSTRUCTION COMPANY,,,prajapat69@gmail.com,8209151439,162,640,2026-02-08T16:50:59.236141
RAJASTHAN,Bikaner,R K AND COMPANY,,,karnani27@gmail.com,9024239852,152,591,2026-02-08T16:51:00.966355
RAJASTHAN,Bikaner,NISHAANK SOLAR ENERGY AND SUPPLIERS,,,1384@gmail.com,9782942305,113,675,2026-02-08T16:51:02.538698
RAJASTHAN,Bikaner,MADHAV ENERGY,,,msmadhavenergy@gmail.com,9782111413,103,394,2026-02-08T16:51:04.227208
RAJASTHAN,Bikaner,KURESHI & BROTHERS,,,bkn@gmail.com,9950520819,95,420,2026-02-08T16:51:05.600575
RAJASTHAN,Bikaner,MARUDHAR SOLAR ENERGY,,,marudharsolarbkn@gmail.com,8946805172,91,336,2026-02-08T16:51:07.351605
RAJASTHAN,Bikaner,R&A SOLAR SOLUTIONS LLP,,,oswalsec2008@gmail.com,9828125252,86,452,2026-02-08T16:51:08.770318
RAJASTHAN,Bikaner,SUNNY ENTERPRISES,,,suratgarh@gmail.com,8005913870,85,366,2026-02-08T16:51:10.238186
RAJASTHAN,Bikaner,M/S DIAMOND SOLAR,,,diamondsolar551@gmail.com,9310028202,78,332,2026-02-08T16:51:11.633167
RAJASTHAN,Bikaner,INDIAN ENGINEERING COMPANY,,,iecrajasthan1@gmail.com,8824578900,76,348,2026-02-08T16:51:13.286833
RAJASTHAN,Bikaner,HAMMIRDE ENERGY SOLUTIONS,,,hammirde@gmail.com,7976319500,65,349,2026-02-08T16:51:14.912608
RAJASTHAN,Bikaner,JBN CONSTRUCTION COMPANY,,,jbnconstructioncom@gmail.com,9079252883,64,237,2026-02-08T16:51:24.189923
RAJASTHAN,Bikaner,SATYAM TRADING COMPANY,,,insolation@gmail.com,7357555526,63,241,2026-02-08T16:51:25.880579
RAJASTHAN,Bikaner,SITREN SOLAR,,,sitrensolar@gmail.com,9460847366,61,203,2026-02-08T16:51:27.539674
RAJASTHAN,Bikaner,RAYS POWER EXPERTS PVT. LTD.,,,info@raysexperts.com,9013679976,60,206,2026-02-08T16:51:28.953896
RAJASTHAN,Bikaner,RJ TECHNO,,,rjtechnobkn@gmail.com,9001014564,57,178,2026-02-08T16:51:30.427155
RAJASTHAN,Bikaner,SOLAR SHAKTI EMPORIUM,,,solarshaktiemporium@gmail.com,9571146323,53,194,2026-02-08T16:51:32.049491
RAJASTHAN,Bikaner,MAHADEV AGRO AGENCY,,,rampratapchoudhary00@gmail.com,8306694895,50,177,2026-02-08T16:51:33.600375
RAJASTHAN,Bikaner,JAI SOLAR HUB AND COMPANY,,,bhumeshwaracharya88@gmail.com,9351209879,50,208,2026-02-08T16:51:35.179475
RAJASTHAN,Bikaner,ARKAA GRENERGY CONSULTING PRIVATE LIMITED,,,arkaa@gmail.com,9928829210,50,238,2026-02-08T16:51:36.956817
RAJASTHAN,Bikaner,M/S OM SOLAR ENERGY,,,omsolarenergy64@gmail.com,6375464133,48,176,2026-02-08T16:51:38.548207
RAJASTHAN,Bikaner,RAM SOLAR POINT,,,Ramsolarpoint@gmail.com,8233490745,46,155,2026-02-08T16:51:40.082848
RAJASTHAN,Bikaner,BHADOO TRADERS,,,bhadootraders@gmail.com,9414653109,40,183,2026-02-08T16:51:41.602866
RAJASTHAN,Bikaner,DHARMA SOLAR,,,in@gmail.com,8239031056,39,155,2026-02-08T16:51:43.266346
RAJASTHAN,Bikaner,SOLARIUM GREEN ENERGY LIMITED,,,np@solariumenergy.in,9687133338,37,154,2026-02-08T16:51:44.718648
RAJASTHAN,Bikaner,AK SOLAR,,,aksolar25@gmail.com,9928008889,37,117,2026-02-08T16:51:45.973528
RAJASTHAN,Bikaner,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,35,144,2026-02-08T16:51:47.680574
RAJASTHAN,Bikaner,GODARA IRRIGATION SYSTEM,:,,dpbishnoi1980@gmail.com,9828888529,31,122,2026-02-08T16:51:49.064118
RAJASTHAN,Bikaner,SHREE BALAJI SOLAR,,,krishnshree2378@gmail.com,7850907982,29,97,2026-02-08T16:51:50.619840
RAJASTHAN,Bikaner,KSK RENEWABLE & AGRO SOLUTION,,,kskrenewables@gmail.com,8104708678,25,145,2026-02-08T16:51:52.196736
RAJASTHAN,Bikaner,SUNLIGHT SOLAR ENERGY,:,,arvindmali988@gmail.com,9829648894,19,87,2026-02-08T16:51:53.833436
RAJASTHAN,Bikaner,SITREN SOLAR,,,jamdagnijoshi@gmail.com,7297900803,19,68,2026-02-08T16:52:03.615437
RAJASTHAN,Bikaner,MAHADEV CONSTRUCTION & SUPPLIERS,,,shriramchander111@gmail.com,8302465809,18,69,2026-02-08T16:52:04.970424
RAJASTHAN,Bikaner,JUPITER SOLAR,,,info@jupitersolarenergy.com,9773371436,18,83,2026-02-08T16:52:06.727083
RAJASTHAN,Bikaner,ZERO BILL SOLAR ENERGY,:,,zerobillsolar@waareepartners.com,9548595485,15,45,2026-02-08T16:52:08.354679
RAJASTHAN,Bikaner,SHREE VINAYAK ENTERPRISES,,,shreevinayakenterprises121@gmail.com,8769060247,15,58,2026-02-08T16:52:09.704407
RAJASTHAN,Bikaner,M/S LAXMI LOOM SOLAR,,,laxmiloomsolars@gmail.com,9699335476,15,83,2026-02-08T16:52:11.147606
RAJASTHAN,Bikaner,JAI SHREE BALAJI IRON STORE,,,Vikasbansal460@gmail.com,9928404502,14,44,2026-02-08T16:52:12.588878
RAJASTHAN,Bikaner,SHREE SWAMI AND COMPANY,,,spgc@gmail.com,9414365540,13,50,2026-02-08T16:52:14.113540
RAJASTHAN,Bikaner,BHARAT SOLAR & COMPANY,,,BHARATSOLAR2026@GMAIL.COM,9462601842,13,42,2026-02-08T16:52:15.849003
RAJASTHAN,Bikaner,MAHIYA AKSHAY UJALA PRIVATE LIMITED,,,info@akshayujala.com,9887519548,12,64,2026-02-08T16:52:17.522976
RAJASTHAN,Bikaner,M/S BHAMBU CONSTRRUCTION COMPANY,:,,Bhambujat74@gmail.com,9784947919,12,37,2026-02-08T16:52:18.846815
