state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Bundi,S K SOLAR & ELECTRICALS,,,sksolarbundi@gmail.com,9828542277,200,841,2026-02-08T16:52:56.743471
RAJASTHAN,Bundi,APJ BRIGHT IDEA SOLAR ENERGY & CONSULTANCY,,,smart777@gmail.com,9828728887,91,399,2026-02-08T16:52:58.348764
RAJASTHAN,Bundi,POOJA SALES,:,,smart161291@gmail.com,9829149300,56,206,2026-02-08T16:52:59.879255
RAJASTHAN,Bundi,ADITYA SOLARS,,,RAJKUMARMEENA10680@GMAIL.COM,8306170662,33,114,2026-02-08T16:53:01.379735
RAJASTHAN,Bundi,SAMEVA ENERGY PRIVATE LIMITED,,,samevaenergy@gmail.com,9214088682,28,104,2026-02-08T16:53:02.951350
RAJASTHAN,Bundi,LEELMAX POWER SOLUTION PVT LTD,,,leelmax2016@gmail.com,9587514401,28,120,2026-02-08T16:53:04.446649
RAJASTHAN,Bundi,SUNFUSE POWER LLP,,,sunfusepower@gmail.com,8003904007,26,102,2026-02-08T16:53:05.962801
RAJASTHAN,Bundi,SS NEXT VISION,,,ssnextvision@gmail.com,7891411666,26,110,2026-02-08T16:53:07.502297
RAJASTHAN,Bundi,GODAWERI ENGINEERS,,,godaweriengineers@gmail.com,9950382013,19,91,2026-02-08T16:53:09.157611
RAJASTHAN,Bundi,SOLARMITRA ENERGY PRIVATE LIMITED,,,solarmitraenergy@gmail.com,9649173707,17,62,2026-02-08T16:53:10.638735
RAJASTHAN,Bundi,SAMRAT SOLAR ENERGY,,,samratsolarenergy@gmail.com,9887900501,17,72,2026-02-08T16:53:12.093412
RAJASTHAN,Bundi,BREAK POINT SYSTEM LLP,,,breakpointsystem@gmail.com,9024768560,15,60,2026-02-08T16:53:13.538435
RAJASTHAN,Bundi,AVN ENERGY,,,avnenergyindia@gmail.com,8306795399,15,75,2026-02-08T16:53:15.099456
RAJASTHAN,Bundi,MAA KUSUM ENTERPRISES,:,,bansiwal06@gmail.com,9983355777,14,53,2026-02-08T16:53:16.796001
RAJASTHAN,Bundi,SHREEJI SOLAR SOLUTIONS,,,PANDEY01@GMAIL.COM,9001071236,13,56,2026-02-08T16:53:18.418649
RAJASTHAN,Bundi,VINAYAKAM SOLUTION,,,vinayakamsolution@gmail.com,8003535060,11,43,2026-02-08T16:53:19.802538
RAJASTHAN,Bundi,SHRI RAM ENTERPRISES,,,enterprises0528@gmail.com,9929927733,11,34,2026-02-08T16:53:21.510889
RAJASTHAN,Bundi,SHRI RADHA KRISHNA ELECTRICALS,,,vimleshsaini844@gmail.com,9664155912,11,41,2026-02-08T16:53:22.959536
RAJASTHAN,Bundi,INTERNATIONAL TECHNO ENGINEER,:,,PIYUSH9885@GMAIL.COM,9829690026,11,50,2026-02-08T16:53:24.437626
