state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Churu,MS CHURU SOLAR ENERGY,,,churusolarenergy10@gmail.com,7297051697,261,946,2026-02-08T16:55:57.908654
RAJASTHAN,Churu,M/S OM SOLAR ENERGY,,,omsolarenergy64@gmail.com,6375464133,225,854,2026-02-08T16:55:59.330488
RAJASTHAN,Churu,SITREN SOLAR,,,jamdagnijoshi@gmail.com,7297900803,196,747,2026-02-08T16:56:00.766353
RAJASTHAN,Churu,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,190,728,2026-02-08T16:56:02.242097
RAJASTHAN,Churu,VH GREEN ENERGY SOLUTIONS,,,omprakashgurhe@gmail.com,8078635509,185,618,2026-02-08T16:56:03.896690
RAJASTHAN,Churu,SHREE DEV SOLAR LIGHT CHURU,,,shridevsolarlightchuru@gmail.com,9783391088,141,627,2026-02-08T16:56:05.573368
RAJASTHAN,Churu,A ONE SOLAR ENERGY,,,aonesolarenergy@gmail.com,8503005051,137,556,2026-02-08T16:56:07.123591
RAJASTHAN,Churu,SHREE MANSA MANUFACTURERS (FORMERLY KNOWN AS MANSA MANUFACTURERS),:,,jat@gmail.com,8306890465,111,457,2026-02-08T16:56:08.570292
RAJASTHAN,Churu,POONIA TRADING COMPANY,,,mangilalpoonia22@gmail.com,9015989915,105,421,2026-02-08T16:56:10.141913
RAJASTHAN,Churu,M.K. SOLAR ENERGY,,,mksolarenergy87@gmail.com,9785514441,97,396,2026-02-08T16:56:11.719742
RAJASTHAN,Churu,SHAKTI SOLAR,,,TANUSHAGGARWAL04@GMAIL.COM,7014610032,87,312,2026-02-08T16:56:13.303258
RAJASTHAN,Churu,CHURU TRADERS,:,,churutraders@gmail.com,9024011222,82,373,2026-02-08T16:56:14.899244
RAJASTHAN,Churu,M/S SUNRISE ENERGY,,,rajpalruhil@gmail.com,9461967855,81,319,2026-02-08T16:56:16.500740
