state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Dausa,R D SOLAR POWER,,,rdutlsolar@gmail.com,7792888900,145,493,2026-02-08T16:59:02.386006
RAJASTHAN,Dausa,ATLANTIC POWER SOLUTIONS,,,atlanticpowersolutions@gmail.com,9928425332,144,544,2026-02-08T16:59:03.915092
RAJASTHAN,Dausa,M.K. SOLAR ENERGY,,,mksolarenergy87@gmail.com,9785514441,122,514,2026-02-08T16:59:05.418814
RAJASTHAN,Dausa,ADITYA SOLAR,,,avdeshupadhyay99@gmail.com,8619194819,118,428,2026-02-08T16:59:07.052674
RAJASTHAN,Dausa,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,78,272,2026-02-08T16:59:08.820840
RAJASTHAN,Dausa,SATYARAM ELECTRICALS,,,Satyaramelectricals25@gmail.com,7357577307,69,291,2026-02-08T16:59:10.330074
RAJASTHAN,Dausa,SHREE SHYAM POWER PROJECT PRIVATE LIMITED,,,solarwalajpr@gmail.com,9828111187,50,185,2026-02-08T16:59:11.748917
RAJASTHAN,Dausa,SHIVA SOLAR,,,shivasolardausa@gmail.com,9314297540,50,176,2026-02-08T16:59:13.200110
RAJASTHAN,Dausa,VISIBLE ENERGY SOLUTIONS,,,visibleenergy@gmail.com,7014066390,43,172,2026-02-08T16:59:14.823014
RAJASTHAN,Dausa,S M INFRASTRUCTURE,,,meenasuresh794@gmail.com,9928350352,39,139,2026-02-08T16:59:16.485641
RAJASTHAN,Dausa,ADITYA SOLARS,,,RAJKUMARMEENA10680@GMAIL.COM,8306170662,29,101,2026-02-08T16:59:18.072976
RAJASTHAN,Dausa,PRIYANSHU SOLAR POWER SOLUTIONS,,,lekhrajsaini9166@gmail.com,9166959110,27,96,2026-02-08T16:59:19.573573
RAJASTHAN,Dausa,M B CONSTRUCTION COMPANY,:,,mahendra3247@gmail.com,9610569909,27,90,2026-02-08T16:59:21.213030
RAJASTHAN,Dausa,LEELMAX POWER SOLUTION PVT LTD,,,leelmax2016@gmail.com,9587514401,19,96,2026-02-08T16:59:22.792002
RAJASTHAN,Dausa,URJASTROT PRIVATE LIMITED,,,urjastrotenterprise@gmail.com,7621010012,17,50,2026-02-08T16:59:24.436785
RAJASTHAN,Dausa,AGRAWAL SOLAR ENERGY LLP,:,,AGRAWALSOLARENERGY@GMAIL.COM,7300003982,16,54,2026-02-08T16:59:25.919008
RAJASTHAN,Dausa,AGARWAL CORPORATE ALLIANCE,,,luminiouslalsot@gmail.com,9351606388,16,69,2026-02-08T16:59:27.316326
RAJASTHAN,Dausa,SMART SUN POWER,,,indiansmartsunpower@gmail.com,7240004188,15,61,2026-02-08T16:59:28.801329
RAJASTHAN,Dausa,SITVIK RENEW PRIVATE LIMITED,,,sitvikrenew@gmail.com,9660375982,15,53,2026-02-08T16:59:30.292048
RAJASTHAN,Dausa,MAHI ENTERPRISES,,,mahendrasolet17@gmail.com,9468589403,15,49,2026-02-08T16:59:31.710258
RAJASTHAN,Dausa,MADHAV SOLAR ENERGY,,,ankimodi911674@gmail.com,9116740857,15,49,2026-02-08T16:59:40.710199
RAJASTHAN,Dausa,VEERMANN ENERGIES,,,arvindsindhawa@gmail.com,9214444400,13,45,2026-02-08T16:59:42.197721
RAJASTHAN,Dausa,M M AGENCIES,,,soni@gmail.com,9929345639,12,43,2026-02-08T16:59:43.733024
RAJASTHAN,Dausa,MAHA SHAKTI TRADERS,,,mpdimond@gmail.com,9214025826,11,46,2026-02-08T16:59:45.232760
