state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Didwana Kuchaman,LUCKY ENTERPRISES,,,luckyenterprises00007@gmail.com,7023777259,202,719,2026-02-08T17:01:25.651488
RAJASTHAN,Didwana Kuchaman,SITARAM SMART SOLUTION PRIVATE LIMITED,,,sunilkumarbawari@gmail.com,9950062796,165,600,2026-02-08T17:01:27.229161
RAJASTHAN,Didwana Kuchaman,KESHAR ELECTRICAL AND SOLAR PROJECT,:,,kesharsolar12@gmail.com,7014643259,130,536,2026-02-08T17:01:28.937730
RAJASTHAN,Didwana Kuchaman,SMART SUN POWER,,,indiansmartsunpower@gmail.com,7240004188,116,419,2026-02-08T17:01:30.500130
RAJASTHAN,Didwana Kuchaman,INDIAN SOLAR POWER SYSTEM,,,indiansmartsunpower@gmail.com,9413043007,116,374,2026-02-08T17:01:32.165554
RAJASTHAN,Didwana Kuchaman,MS AADITYA ENTERPRISES,,,mahipal93@gmail.com,9772945204,89,305,2026-02-08T17:01:33.473916
RAJASTHAN,Didwana Kuchaman,MS SHIV KRIPA VENTURE,:,,shivkripaventure@gmail.com,7737849015,79,305,2026-02-08T17:01:34.866261
RAJASTHAN,Didwana Kuchaman,M/S OM SOLAR ENERGY,,,omsolarenergy64@gmail.com,6375464133,74,249,2026-02-08T17:01:36.332254
RAJASTHAN,Didwana Kuchaman,KARNI SOLAR POWER,,,skamwar21121981@gmail.com,8118857409,60,240,2026-02-08T17:01:37.820539
RAJASTHAN,Didwana Kuchaman,SANKHLA ELECTRIC STORE,,,premrajsankhla@rediffmail.com,9928044300,57,205,2026-02-08T17:01:39.441998
RAJASTHAN,Didwana Kuchaman,SHREE SHYAM ELECTRICALS & SUPPLIERS,,,bakaliarocl@gmail.com,9414985030,56,211,2026-02-08T17:01:40.990465
RAJASTHAN,Didwana Kuchaman,SOLIS POWER SOLUTIONS,,,PROJECTS@SOLISPOWER.IN,9785654000,53,196,2026-02-08T17:01:42.557824
RAJASTHAN,Didwana Kuchaman,MGS RENEWABLE ENERGY PRIVATE LIMITED,,,mgsrenewableenergy@gmail.com,9519663607,37,138,2026-02-08T17:01:44.121606
RAJASTHAN,Didwana Kuchaman,ECOPULSE ENERGY PRIVATE LIMITED,:,,ecopulseenergy@gmail.com,8561073457,37,147,2026-02-08T17:01:45.570193
RAJASTHAN,Didwana Kuchaman,KAVYA ENTERPRISES,,,enterprises0824@gmail.com,9358435068,36,127,2026-02-08T17:01:47.033905
RAJASTHAN,Didwana Kuchaman,SHREE RAM IRRIGATION,,,sbiladnun@gmail.com,7976831083,34,127,2026-02-08T17:01:48.559870
RAJASTHAN,Didwana Kuchaman,ADVITMAXX ENERGY PRIVATE LIMITED,,,advitmaxx@gmail.com,9636294017,34,109,2026-02-08T17:01:50.143233
RAJASTHAN,Didwana Kuchaman,NAGAUR DISCOM SOLAR GREEN ENERGY ENTERPRISES,,,devaram3393@gmail.com,9462002469,33,129,2026-02-08T17:01:51.646196
RAJASTHAN,Didwana Kuchaman,KAMAL ELECTRICALS,,,khandelwalmayank40@gmail.com,7734075140,31,117,2026-02-08T17:01:53.155636
RAJASTHAN,Didwana Kuchaman,MS RANAJI ENTERPRISE,,,ranajienterprise2024@gmail.com,9511322526,29,146,2026-02-08T17:01:54.571601
RAJASTHAN,Didwana Kuchaman,VIDIT SOLAR ENERGY,:,,viditsolar@gmail.com,7737183237,21,73,2026-02-08T17:02:02.884021
RAJASTHAN,Didwana Kuchaman,SHREE SAI SUN SOLAR ENERGY,,,jaipee86sikar@gmail.com,9667373926,21,87,2026-02-08T17:02:04.597112
RAJASTHAN,Didwana Kuchaman,DUDI ENTERPRISES,,,dudienterprises11@gmail.com,8949389947,21,74,2026-02-08T17:02:06.060228
RAJASTHAN,Didwana Kuchaman,DHAKA GREEN POWER,,,Dhakagreenpower@gmail.com,7734096772,21,79,2026-02-08T17:02:07.569408
RAJASTHAN,Didwana Kuchaman,RAJASTHAN GREEN ENERGY SOLAR POWER PRIVATE LIMITED,,,rajasthansolaroffice@gmail.com,8302652021,20,71,2026-02-08T17:02:09.066247
RAJASTHAN,Didwana Kuchaman,CK SOLAR TECHNOLOGIES LLP,,,chetan5100@gmail.com,8769435100,19,61,2026-02-08T17:02:10.771261
RAJASTHAN,Didwana Kuchaman,NAAZ SOLAR,,,naazsolarsales@gmail.com,9784537867,17,60,2026-02-08T17:02:12.215128
RAJASTHAN,Didwana Kuchaman,STABLE ENERGY PRIVATE LIMITED,,,energysolutions2022@gmail.com,7014920144,16,52,2026-02-08T17:02:13.882133
RAJASTHAN,Didwana Kuchaman,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,16,61,2026-02-08T17:02:15.402950
RAJASTHAN,Didwana Kuchaman,SHRI BALAJI ENTERPRISES,,,kamalkachhawa@gmail.com,9413075335,14,56,2026-02-08T17:02:16.966339
RAJASTHAN,Didwana Kuchaman,ALISHA SOLAR SOLUTION,:,,alishaelectricals086@gmail.com,9166716699,14,49,2026-02-08T17:02:18.381783
RAJASTHAN,Didwana Kuchaman,SOLFIT ENERGY PRIVATE LIMITED,,,in@gmail.com,8619309598,13,48,2026-02-08T17:02:19.925522
RAJASTHAN,Didwana Kuchaman,RP DREAMS INFRATECH PVT.LTD.,,,RPDREAMSINFRA@GMAIL.COM,7610002627,13,46,2026-02-08T17:02:21.452571
RAJASTHAN,Didwana Kuchaman,OJAS INFRA GROUP,:,,ojasenergyinfra@gmail.com,9414284064,12,42,2026-02-08T17:02:23.017314
RAJASTHAN,Didwana Kuchaman,SORZA,,,teamsorza@gmail.com,9119329529,11,39,2026-02-08T17:02:24.581268
RAJASTHAN,Didwana Kuchaman,SHRI BALAJI MOTOR VINDING WORKSHOP,,,ramkaranchoyal@gmail.com,9414244268,11,38,2026-02-08T17:02:26.021425
RAJASTHAN,Didwana Kuchaman,GOURI ENTERPRISES,,,abdulrehman3896@gmail.com,9950438966,11,40,2026-02-08T17:02:27.717348
RAJASTHAN,Didwana Kuchaman,DWARKADHISH ENTERPRISES,,,dwarkadhishenterprises2004@gmail.com,9799815033,11,38,2026-02-08T17:02:29.286645
