state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Dungarpur,VARSHIL SOLAR,:,,nrgxprt123@gmail.com,7597515598,231,988,2026-02-08T17:03:48.006924
RAJASTHAN,Dungarpur,UMIYA ENTERPRISES,:,,umiyaenterprisesrajasthan@gmail.com,9723301316,136,559,2026-02-08T17:03:49.652903
RAJASTHAN,Dungarpur,GLOBAL GREEN,,,BNBGLOBALGREEN@GMAIL.COM,8754518538,71,263,2026-02-08T17:03:51.366828
RAJASTHAN,Dungarpur,PRATIGYA ENTERPRISES,,,hiteshbpatidar@gmail.com,8094959654,63,224,2026-02-08T17:03:52.856297
RAJASTHAN,Dungarpur,SOLIS POWER SOLUTIONS,,,PROJECTS@SOLISPOWER.IN,9785654000,54,220,2026-02-08T17:03:54.443549
RAJASTHAN,Dungarpur,K P ELECTRICALS,,,udr@gmail.com,9887400005,48,164,2026-02-08T17:03:56.143540
RAJASTHAN,Dungarpur,M/S HINGLAJ POWER PROJECTS PRIVATE LIMITED,,,hinglajpowerprojects@gmail.com,8619932018,46,191,2026-02-08T17:03:57.683817
RAJASTHAN,Dungarpur,RAJ AUTO MOBILES AND BATTERIES,,,huzefasgerali@gmail.com,8107705609,41,166,2026-02-08T17:03:59.129756
RAJASTHAN,Dungarpur,MUNDRA ELECTRICALS,,,deepak_mundra73@rediffmail.com,9414354412,31,109,2026-02-08T17:04:00.696751
RAJASTHAN,Dungarpur,BDG INFRA PROJECTS PRIVATE LIMITED,,,Bdgsolarinfraprojects@gmail.com,8005901026,31,113,2026-02-08T17:04:02.305937
RAJASTHAN,Dungarpur,MASCOT GROUP SOLAR SOLUTIONS,,,mascotsolarsolution2010@gmail.com,8078684061,29,117,2026-02-08T17:04:03.810724
RAJASTHAN,Dungarpur,RATHORE ELECTRICALS,,,ronakraja89@gmail.com,9413945983,23,84,2026-02-08T17:04:05.470220
RAJASTHAN,Dungarpur,M B CONSTRUCTION COMPANY,:,,mahendra3247@gmail.com,9610569909,21,68,2026-02-08T17:04:07.231269
RAJASTHAN,Dungarpur,LIBRA SUNTECH,:,,LIBRA2RAJESH@GMAIL.COM,8209237479,19,79,2026-02-08T17:04:08.893179
RAJASTHAN,Dungarpur,PRABHU ENTERPRISES,:,,prabhu_paliwal@yahoo.com,9414397142,15,60,2026-02-08T17:04:10.470248
RAJASTHAN,Dungarpur,RIZEL GROUP,,,rizelgroup@gmail.com,9672525744,14,54,2026-02-08T17:04:12.099138
RAJASTHAN,Dungarpur,SARVODAY ELECTROMART,,,sarvodaygroup@gmail.com,8107924471,11,55,2026-02-08T17:04:13.637159
RAJASTHAN,Dungarpur,MGR CONSTRUCTION,,,govindchampawat@gmail.com,9929987766,11,45,2026-02-08T17:04:15.260299
RAJASTHAN,Dungarpur,APPLIED ELECTRONICS & ELECTRICALS,,,naresh@appliedelectronics.in,9929109293,11,35,2026-02-08T17:04:16.848993
