state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Ganganagar,SURYA BATTERIES,:,,amitmittal55555@gmail.com,9414948441,752,2570,2026-02-08T17:04:42.294959
RAJASTHAN,Ganganagar,ZERO BILL SOLAR ENERGY,:,,zerobillsolar@waareepartners.com,9548595485,719,2419,2026-02-08T17:04:43.706607
RAJASTHAN,Ganganagar,ANKUR ENTERPRISES,,,ankurenterprises123@gmail.com,9414246569,642,2087,2026-02-08T17:04:45.144263
RAJASTHAN,Ganganagar,GANPATI TRADERS,,,ganpatitraders1301@gmail.com,8947858536,607,1994,2026-02-08T17:04:46.622628
RAJASTHAN,Ganganagar,NDJ SOLAR POWER PRIVATE LIMITED,,,ndjsolar@gmail.com,9829255292,605,1855,2026-02-08T17:04:48.093237
RAJASTHAN,Ganganagar,SUNLIGHT SOLAR & ELECTRICALS,,,ravindergaidar222@gmail.com,9460646398,555,1992,2026-02-08T17:04:49.627277
RAJASTHAN,Ganganagar,CHOUDHARY ENTERPRISES,,,pdp@gmail.com,9509411118,509,1813,2026-02-08T17:04:51.043285
RAJASTHAN,Ganganagar,SUN EAST ENERGY PVT. LTD.,:,,suneastsolar2019@gmail.com,9549446000,356,1253,2026-02-08T17:04:52.432990
RAJASTHAN,Ganganagar,PREET SOLAR,,,preetenergy@gmail.com,9351855555,298,1019,2026-02-08T17:04:53.917070
RAJASTHAN,Ganganagar,PNP NEXT POWER LLP,,,PNPNEXTPOWERLLP@GMAIL.COM,8233810628,271,1078,2026-02-08T17:04:55.623988
RAJASTHAN,Ganganagar,R.K.SOLAR SYSTEM,,,kumarravi15064@gmail.com,7611021114,259,924,2026-02-08T17:04:57.270089
RAJASTHAN,Ganganagar,VIVAAN ENTERPRISES,,,vivanenterprise68@gmail.com,9571211118,251,835,2026-02-08T17:04:58.817227
RAJASTHAN,Ganganagar,KISHAN SOLAR PUMP,,,kishansolarpumpsog@gmail.com,7014145186,231,807,2026-02-08T17:05:00.401442
RAJASTHAN,Ganganagar,UNIK AND HPR SOLAR,,,unikhpr@gmail.com,9461316105,219,733,2026-02-08T17:05:01.782900
RAJASTHAN,Ganganagar,SHREE RADHEY BROTHERS,,,radheysolar1@gmail.com,9929927942,217,941,2026-02-08T17:05:03.296850
RAJASTHAN,Ganganagar,SURYADEV SOLAR SOLUTION,,,SURYADEVSOLAR46@GMAIL.COM,9667365190,209,648,2026-02-08T17:05:04.889158
RAJASTHAN,Ganganagar,SANWARIA SOLAR SOLUTION,,,tarungoyal2205@gmail.com,8094042620,208,652,2026-02-08T17:05:06.335774
RAJASTHAN,Ganganagar,KSK RENEWABLE & AGRO SOLUTION,,,kskrenewables@gmail.com,8104708678,207,656,2026-02-08T17:05:07.858923
RAJASTHAN,Ganganagar,NISHAANK SOLAR ENERGY AND SUPPLIERS,,,1384@gmail.com,9782942305,205,1213,2026-02-08T17:05:09.440475
RAJASTHAN,Ganganagar,SUNRISE SOLAR SOLUTIONS,,,solarabhinavkalra1986@gmail.com,8946857786,172,527,2026-02-08T17:05:10.984367
RAJASTHAN,Ganganagar,SUNRISE SERVICES,,,sunriseservices007@gmail.com,9660938485,171,567,2026-02-08T17:05:18.831295
RAJASTHAN,Ganganagar,NITYAM SOLAR,,,nityamsolar@gmail.com,9166721222,165,735,2026-02-08T17:05:20.423253
RAJASTHAN,Ganganagar,M/S RISING TRADERS,,,sgodara2424@gmail.com,6377411019,154,562,2026-02-08T17:05:21.982183
RAJASTHAN,Ganganagar,SHAKTI SOLAR,,,TANUSHAGGARWAL04@GMAIL.COM,7014610032,144,652,2026-02-08T17:05:23.491754
RAJASTHAN,Ganganagar,SUN TECH POWER SYSTEM,,,suntechsgnr@gmail.com,8239777717,140,493,2026-02-08T17:05:24.927677
RAJASTHAN,Ganganagar,STABLE ENERGY PRIVATE LIMITED,,,energysolutions2022@gmail.com,7014920144,134,478,2026-02-08T17:05:26.456827
RAJASTHAN,Ganganagar,SHYAM SOLAR SYSTEM,,,ankitkukkarsog@gmail.com,8104765683,131,448,2026-02-08T17:05:27.968704
RAJASTHAN,Ganganagar,KISANSMARIDHI NATURAL ENERGY PRIVATE LIMITED,,,kisansmaridhi@gmail.com,9928025892,122,445,2026-02-08T17:05:29.522254
RAJASTHAN,Ganganagar,SURESH KUMAR HARBANS LAL,,,nagpalsuresh74@gmail.com,9460390977,116,496,2026-02-08T17:05:30.989545
RAJASTHAN,Ganganagar,GODARA IRRIGATION SYSTEM,:,,dpbishnoi1980@gmail.com,9828888529,116,559,2026-02-08T17:05:32.425025
RAJASTHAN,Ganganagar,SHIVAM CONSTRUCTION COMPANY,,,vickygodara27@gmail.com,9216792193,111,374,2026-02-08T17:05:33.937505
RAJASTHAN,Ganganagar,DAMINI SOLAR,,,daminisolarbkn@gmail.com,9829226027,110,385,2026-02-08T17:05:35.229643
RAJASTHAN,Ganganagar,AGARWAL SOLAR,,,C82203@GMAIL.COM,9414382203,106,351,2026-02-08T17:05:36.778530
RAJASTHAN,Ganganagar,SUNNY ENTERPRISES,,,suratgarh@gmail.com,8005913870,104,363,2026-02-08T17:05:38.116354
RAJASTHAN,Ganganagar,KISAN SOLAR SERVICES,,,Sutharumesh0001@gmail.com,7691076911,104,317,2026-02-08T17:05:39.750516
RAJASTHAN,Ganganagar,R D SOLAR SOLUTION,,,rdmahiya@gmail.com,9309415000,98,364,2026-02-08T17:05:41.368108
RAJASTHAN,Ganganagar,SUNSAFE INFRA PRIVATE LIMITED,:,,np@gmail.com,7227050091,97,294,2026-02-08T17:05:42.850166
RAJASTHAN,Ganganagar,SORZA,,,teamsorza@gmail.com,9119329529,89,326,2026-02-08T17:05:44.576124
RAJASTHAN,Ganganagar,ADITYA SOLAR ENERGY,,,adityasolarenergy47@gmail.com,7014825347,88,335,2026-02-08T17:05:46.091931
RAJASTHAN,Ganganagar,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,81,289,2026-02-08T17:05:47.655186
RAJASTHAN,Ganganagar,OCULA SECURITY SERVICES PRIVATE LIMITED,,,oculasservices@gmail.com,9828609770,77,234,2026-02-08T17:05:55.461892
RAJASTHAN,Ganganagar,SKY SOLAR AGENCY,,,yogisushil1@gmail.com,9828139620,71,229,2026-02-08T17:05:56.937151
RAJASTHAN,Ganganagar,INFINITY SOLAR SERVICES,,,solarinfinity@gmail.com,8000799826,71,231,2026-02-08T17:05:58.373248
RAJASTHAN,Ganganagar,TERRALIGHT SOLAR ENERGY AND AGRO SOLUTIONS,,,as@gmail.com,9815718408,67,206,2026-02-08T17:05:59.983343
RAJASTHAN,Ganganagar,TCL CONTRACTOR,,,manojladha90@gmail.com,8058775807,65,216,2026-02-08T17:06:01.526818
RAJASTHAN,Ganganagar,KAISHDEEP ENTERPRISES,,,jagseer445@gmail.com,9982662068,65,194,2026-02-08T17:06:02.981884
RAJASTHAN,Ganganagar,BHAMA SOLAR SOLUTION,,,Bhamasolar@gmail.com,9119164606,62,322,2026-02-08T17:06:04.526238
RAJASTHAN,Ganganagar,DASHMESH SOLAR ENERGY,,,amriksingh231988@gmail.com,8875680888,59,246,2026-02-08T17:06:05.948086
RAJASTHAN,Ganganagar,MADAN LAL RAM SWAROOP,,,rajsolarsgnr@gmail.com,9414305550,58,217,2026-02-08T17:06:07.651887
RAJASTHAN,Ganganagar,SHREE SHYAM SOLAR SOLUTION,,,raj9928260418@gmail.com,8058533661,57,189,2026-02-08T17:06:09.282092
RAJASTHAN,Ganganagar,INDIA ELECTRICALS,,,indiaelectricalskekri@gmail.com,9414375950,57,203,2026-02-08T17:06:10.945949
RAJASTHAN,Ganganagar,GOLYAN SUN SHINE,,,hiteshgolyan0@gmail.com,9351087465,57,179,2026-02-08T17:06:12.347806
RAJASTHAN,Ganganagar,HYBRID SOLAR SYSTEM,:,,hybridsolar29@gmail.com,9414504232,54,232,2026-02-08T17:06:14.010196
RAJASTHAN,Ganganagar,LAXITA ENTERPRISES,,,laxitaenterpriseshmh@gmail.com,9252744444,53,181,2026-02-08T17:06:15.540624
RAJASTHAN,Ganganagar,SAM TECH,:,,samtechenergy@gmail.com,9414131543,52,164,2026-02-08T17:06:17.098857
RAJASTHAN,Ganganagar,SHREE SHYAM POWER PROJECT PRIVATE LIMITED,,,solarwalajpr@gmail.com,9828111187,50,225,2026-02-08T17:06:18.879572
RAJASTHAN,Ganganagar,RADHEY KRISHNA ENTERPRISES,,,rahdheykrishnaenterprises@gmail.com,7014148829,49,155,2026-02-08T17:06:20.313913
RAJASTHAN,Ganganagar,MAHADEV SOLAR SYSTEM,,,mahadevsolarsystemsgnr@gmai.com,9309080808,48,142,2026-02-08T17:06:22.058917
RAJASTHAN,Ganganagar,GIGAWATT ENERGY PRIVATE LIMITED,,,energygigawatt@gmail.com,9549390009,48,145,2026-02-08T17:06:23.887748
RAJASTHAN,Ganganagar,M/S GREENTECH ENERGY,,,sog@gmail.com,9079120577,47,183,2026-02-08T17:06:25.433757
RAJASTHAN,Ganganagar,SKYPE SOLAR PVT. LTD,,,skypesolar21@gmail.com,9166677798,46,159,2026-02-08T17:06:34.254438
RAJASTHAN,Ganganagar,PAYLESS SOLAR POWER,,,Shreemangalsolar@gmail.com,9509777333,45,135,2026-02-08T17:06:35.840735
RAJASTHAN,Ganganagar,RADICAL ENGINEER,,,lovedeepsekhonj@gmail.com,7976386501,44,150,2026-02-08T17:06:37.534187
