state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Hanumangarh,SHAKTI SOLAR,,,TANUSHAGGARWAL04@GMAIL.COM,7014610032,1351,5006,2026-02-08T17:09:36.885171
RAJASTHAN,Hanumangarh,RADHEY KRISHNA ENTERPRISES,,,rahdheykrishnaenterprises@gmail.com,7014148829,785,2592,2026-02-08T17:09:38.325855
RAJASTHAN,Hanumangarh,LAXITA ENTERPRISES,,,laxitaenterpriseshmh@gmail.com,9252744444,586,1956,2026-02-08T17:09:40.000411
RAJASTHAN,Hanumangarh,SUNRISE SERVICES,,,sunriseservices007@gmail.com,9660938485,286,996,2026-02-08T17:09:41.399515
RAJASTHAN,Hanumangarh,SHRI SHYAM SALES CORPORATION,,,sonisubhash07@gmail.com,7062753370,220,867,2026-02-08T17:09:42.925444
RAJASTHAN,Hanumangarh,TCL CONTRACTOR,,,manojladha90@gmail.com,8058775807,218,699,2026-02-08T17:09:44.405804
RAJASTHAN,Hanumangarh,DINESH INDUSTRIES,,,dineshpahwa9@gmail.com,9414223647,173,696,2026-02-08T17:09:45.916295
RAJASTHAN,Hanumangarh,VINAYAK SOLAR SYSTEM,,,maan9@gmail.com,9929155837,168,660,2026-02-08T17:09:47.589739
RAJASTHAN,Hanumangarh,RAMYUG ENTERPRISES,,,kishanlal311020@gmail.com,9413711882,165,506,2026-02-08T17:09:49.115487
RAJASTHAN,Hanumangarh,RAMA ENERGY,,,ramaenergyhmo@gmail.com,8005982686,163,574,2026-02-08T17:09:50.623610
RAJASTHAN,Hanumangarh,GIRDHAR INFRA AND AGRI INVESTMENT,,,girdharinfra@gmail.com,7793090001,156,542,2026-02-08T17:09:52.137899
RAJASTHAN,Hanumangarh,ANKUR ENTERPRISES,,,ankurenterprises123@gmail.com,9414246569,152,497,2026-02-08T17:09:53.823064
RAJASTHAN,Hanumangarh,ADITYA ELECTRO SOLUTIONS,,,adityaelectrosolutionsplb@gmail.com,9782603225,145,502,2026-02-08T17:09:55.169180
RAJASTHAN,Hanumangarh,M N SOLAR ENERGY,,,mnsolar80@gmail.com,9461567378,141,552,2026-02-08T17:09:56.893424
