state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,JALORE,SUNLIGHT SOLAR ENERGY,:,,arvindmali988@gmail.com,9829648894,235,868,2026-02-08T17:13:04.006199
RAJASTHAN,JALORE,SUNRISE SOLAR ENERGY,,,solar19@gmail.com,9460803002,162,631,2026-02-08T17:13:05.368350
RAJASTHAN,JALORE,SKYSPACE ENTERPRISES,,,Skyspacetraders@gmail.com,9460276737,112,415,2026-02-08T17:13:06.944302
RAJASTHAN,JALORE,PURVAM ENTERPRISES,,,enterprises@gmail.com,9460773257,79,289,2026-02-08T17:13:08.472277
RAJASTHAN,JALORE,"NEHA SOLAR ENERGY & SUPPLIERS,",,,nehasolarenergy39@gmail.com,9799735250,69,241,2026-02-08T17:13:10.006477
RAJASTHAN,JALORE,HARSHALI POWER SOLUTION,,,harshalipowersolution@gmail.com,6350575759,63,247,2026-02-08T17:13:11.377787
RAJASTHAN,JALORE,RAM KRISHI BHANDAR,:,,ramsanchore@gmail.com,9610403500,61,215,2026-02-08T17:13:12.997663
RAJASTHAN,JALORE,MAHALAXMI TRADERS,,,sirohi@gmail.com,9214473588,58,238,2026-02-08T17:13:14.598981
RAJASTHAN,JALORE,KINETIC ENERGY SOLUTION,,,solutionkineticenergy@gmail.com,9772811008,42,145,2026-02-08T17:13:16.116245
RAJASTHAN,JALORE,KIRA ENERGY,,,kiraenergy99@gmail.com,6377014757,27,127,2026-02-08T17:13:17.769747
RAJASTHAN,JALORE,V-GUARD INDUSTRIES LIMITED,,,solar@vguard.in,9895550313,20,82,2026-02-08T17:13:19.257626
RAJASTHAN,JALORE,MARUDHARA RENEWABLE ENERGY,,,marudhara1001@gmail.com,7742828768,20,69,2026-02-08T17:13:20.666450
RAJASTHAN,JALORE,MANSA ENTERPRISES,,,mansaenterprises1966@gmail.com,9928850344,20,64,2026-02-08T17:13:22.036785
RAJASTHAN,JALORE,M.K. SOLAR ENERGY,,,mksolarenergy87@gmail.com,9785514441,19,76,2026-02-08T17:13:23.705479
RAJASTHAN,JALORE,HARIOM SOLAR ENERGY,:,,hariomsolarenergy1@gmail.com,9116473363,19,77,2026-02-08T17:13:25.251448
RAJASTHAN,JALORE,RENUKA ENTERPRISES,:,,renukasolarenterprises@gmail.com,9214416817,18,69,2026-02-08T17:13:26.666901
RAJASTHAN,JALORE,OV ENTERPRISES,:,,ovsolarenergy@gmail.com,9717459459,18,85,2026-02-08T17:13:28.046786
RAJASTHAN,JALORE,AAS POWER SOLUTION,,,aaspowersolution@gmail.com,9649927082,18,79,2026-02-08T17:13:29.701632
RAJASTHAN,JALORE,ASHAPURA CONSTRUCTION,,,tano29solar@gmail.com,8769331936,16,68,2026-02-08T17:13:31.296867
RAJASTHAN,JALORE,ATAL ENTERPRISES,:,,anandchoudharymuli@gmail.com,9828505064,12,50,2026-02-08T17:13:32.940431
